Month,TOTAL,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,Yes,No,A,B,C1,C2,D,E
Weighted Base,12122,6433,5689,1137,2021,2704,2651,1904,1705,3559,8563,801,3588,4078,2205,966,484
Jan 2013,653,400,253,72,135,152,152,82,59,151,502,15,232,172,149,62,22
Feb 2013,647,331,316,65,88,142,161,108,84,175,471,35,202,228,106,57,19
Mar 2013,853,342,512,60,138,122,247,144,141,285,569,37,291,269,145,64,47
Apr 2013,1135,718,417,75,180,353,251,138,138,377,758,66,245,336,372,99,17
May 2013,1095,521,574,95,128,226,248,198,200,336,760,68,346,385,136,110,51
Jun 2013,1157,620,538,117,217,188,221,233,182,258,899,35,319,470,229,82,22
Jul 2013,1395,596,798,133,169,497,264,151,180,602,793,132,479,373,227,123,59
Aug 2013,1507,748,760,166,182,331,313,301,215,382,1126,141,449,490,240,117,71
Sep 2013,1108,658,451,135,200,203,215,164,191,271,837,69,337,434,160,71,37
Oct 2013,878,558,320,65,202,169,183,169,91,224,655,66,256,306,171,50,29
Nov 2013,795,387,408,45,186,145,225,96,98,194,600,62,184,283,128,76,60
Dec 2013,898,555,343,108,197,176,169,121,127,306,592,76,246,331,142,53,50
