"Start month of trip"
"Base : Total trips (including child trips)"

"All Scotland"
"All figures shown in thousands - except unweighted base"
"Tables based on start date of trip"
"","","SEX",,"AGE",,,,,,"CHILDREN IN HOUSEHOLD",,"SOCIAL CLASS OF HOUSEHOLD",,,,,,
"","TOTAL","Male","Female","16-24","25-34","35-44","45-54","55-64","65+","Yes","No","A","B","C1","C2","D","E",
"Unweighted Base","1745","862","884","183","258","375","344","277","308","583","1162","123","414","509","366","165","167",
"","","","","","","","","","","","","","","","","","",""

"Weighted Base","12095","6408","5687","1234","1875","2894","2638","1882","1572","3643","8452","1077","3410","3527","2429","1038","614",
"","","","","","","","","","","","","","","","","","",""

"Jan 2010","589","339","250","127","86","145","92","103","36","115","474","18","118","233","154","41","24",
"","5%","5%","4%","10%","5%","5%","3%","5%","2%","3%","6%","2%","3%","7%","6%","4%","4%",""

"Feb 2010","710","355","355","90","79","222","155","99","64","230","480","107","137","230","116","84","36",
"","6%","6%","6%","7%","4%","8%","6%","5%","4%","6%","6%","10%","4%","7%","5%","8%","6%",""

"Mar 2010","967","579","388","85","111","189","324","146","111","280","687","174","271","232","151","109","30",
"","8%","9%","7%","7%","6%","7%","12%","8%","7%","8%","8%","16%","8%","7%","6%","11%","5%",""

"Apr 2010","1296","701","595","131","220","415","171","205","155","408","888","129","362","290","273","166","75",
"","11%","11%","10%","11%","12%","14%","6%","11%","10%","11%","11%","12%","11%","8%","11%","16%","12%",""

"May 2010","990","465","525","78","227","243","185","101","155","287","703","62","291","265","227","116","28",
"","8%","7%","9%","6%","12%","8%","7%","5%","10%","8%","8%","6%","9%","8%","9%","11%","5%",""

"Jun 2010","1115","570","545","67","154","203","324","221","147","264","852","99","400","294","177","95","51",
"","9%","9%","10%","5%","8%","7%","12%","12%","9%","7%","10%","9%","12%","8%","7%","9%","8%",""

"Jul 2010","1267","619","648","139","182","322","261","197","166","506","761","60","269","435","341","63","99",
"","10%","10%","11%","11%","10%","11%","10%","10%","11%","14%","9%","6%","8%","12%","14%","6%","16%",""

"Aug 2010","1126","510","616","105","181","227","263","172","178","373","753","120","323","304","207","101","70",
"","9%","8%","11%","9%","10%","8%","10%","9%","11%","10%","9%","11%","9%","9%","9%","10%","11%",""

"Sep 2010","1170","659","512","88","151","293","287","179","172","348","822","128","266","364","245","86","82",
"","10%","10%","9%","7%","8%","10%","11%","10%","11%","10%","10%","12%","8%","10%","10%","8%","13%",""

"Oct 2010","1117","579","538","71","222","243","233","217","131","364","753","108","335","303","200","126","45",
"","9%","9%","9%","6%","12%","8%","9%","12%","8%","10%","9%","10%","10%","9%","8%","12%","7%",""

"Nov 2010","766","425","341","89","96","213","143","84","141","215","551","23","312","216","149","17","48",
"","6%","7%","6%","7%","5%","7%","5%","4%","9%","6%","7%","2%","9%","6%","6%","2%","8%",""

"Dec 2010","980","608","373","164","165","178","201","156","116","253","727","48","325","361","189","33","24",
"","8%","9%","7%","13%","9%","6%","8%","8%","7%","7%","9%","4%","10%","10%","8%","3%","4%",""
