"Start month of trip"
"Base: Total trip"

"All Scotland"
""," ","Gender",,"Working status",,,"Age",,,,,,,,,"SEC",,,,,,"Marital status",,,
"","Total","Male","Female","Full time","Part time","Other","16-24","25-34","35-44","45-54","55-64","55+","65+","16-34","35-54","A","B","C1","C2","D","E","Married","Single","Separated/Widowed/Divorced",
"Unweighted Base","1410","722","688","616","179","615","123","207","208","194","294","678","384","330","402","127","409","434","244","102","94","905","287","217",
"","","","","","","","","","","","","","","","","","","","","","","","","",""

"Total","13810.3","7043.0","6767.3","7001.3","1981.3","4827.6","1169.5","2243.9","2532.3","2438.0","2923.2","5426.6","2503.4","3413.4","4970.2","1537.7","4925.0","3954.3","2055.6","873.0","464.7","9577.5","2561.0","1656.4",
"","","","","","","","","","","","","","","","","","","","","","","","","",""

" Start month of trip","13810.3","7043.0","6767.3","7001.3","1981.3","4827.6","1169.5","2243.9","2532.3","2438.0","2923.2","5426.6","2503.4","3413.4","4970.2","1537.7","4925.0","3954.3","2055.6","873.0","464.7","9577.5","2561.0","1656.4",
"","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%",""

"January-2019","598.6","303.3","295.3","351.9","83.7","163.0","113.6","107.1","78.1","87.2","90.0","212.6","122.7","220.7","165.3","116.7","172.1","197.0","85.8","23.1","4.0","383.0","162.6","53.0",
"","4.3%","4.3%","4.4%","5.0%","4.2%","3.4%","9.7%","4.8%","3.1%","3.6%","3.1%","3.9%","4.9%","6.5%","3.3%","7.6%","3.5%","5.0%","4.2%","2.6%","0.9%","4.0%","6.4%","3.2%",""

"February-2019","953.6","512.8","440.8","657.1","95.4","201.1","117.7","172.9","152.5","197.7","199.5","312.8","113.2","290.6","350.2","144.1","304.2","290.7","116.8","73.7","24.1","576.0","248.8","128.7",
"","6.9%","7.3%","6.5%","9.4%","4.8%","4.2%","10.1%","7.7%","6.0%","8.1%","6.8%","5.8%","4.5%","8.5%","7.0%","9.4%","6.2%","7.4%","5.7%","8.4%","5.2%","6.0%","9.7%","7.8%",""

"March-2019","1062.0","590.0","472.1","551.8","204.8","305.4","29.1","226.5","174.0","250.4","179.2","382.1","202.9","255.6","424.4","134.5","366.9","328.2","136.4","53.5","42.6","798.2","151.3","112.5",
"","7.7%","8.4%","7.0%","7.9%","10.3%","6.3%","2.5%","10.1%","6.9%","10.3%","6.1%","7.0%","8.1%","7.5%","8.5%","8.7%","7.4%","8.3%","6.6%","6.1%","9.2%","8.3%","5.9%","6.8%",""

"April-2019","1427.8","740.6","687.2","738.6","267.8","421.5","98.5","273.0","267.8","268.8","353.1","519.8","166.7","371.5","536.5","185.5","628.0","243.6","210.1","76.6","84.1","971.1","305.3","151.4",
"","10.3%","10.5%","10.2%","10.5%","13.5%","8.7%","8.4%","12.2%","10.6%","11.0%","12.1%","9.6%","6.7%","10.9%","10.8%","12.1%","12.8%","6.2%","10.2%","8.8%","18.1%","10.1%","11.9%","9.1%",""

"May-2019","1205.2","621.5","583.6","623.3","181.8","400.1","100.4","179.6","251.5","222.1","219.9","451.7","231.7","279.9","473.6","81.2","413.0","354.3","233.5","66.8","56.4","906.8","188.1","110.3",
"","8.7%","8.8%","8.6%","8.9%","9.2%","8.3%","8.6%","8.0%","9.9%","9.1%","7.5%","8.3%","9.3%","8.2%","9.5%","5.3%","8.4%","9.0%","11.4%","7.6%","12.1%","9.5%","7.3%","6.7%",""

"June-2019","952.9","470.0","482.9","506.5","100.6","345.8","70.4","149.9","135.6","138.4","273.6","458.6","185.0","220.3","274.0","100.2","323.7","245.7","188.0","69.4","25.7","650.3","179.1","123.5",
"","6.9%","6.7%","7.1%","7.2%","5.1%","7.2%","6.0%","6.7%","5.4%","5.7%","9.4%","8.5%","7.4%","6.5%","5.5%","6.5%","6.6%","6.2%","9.1%","8.0%","5.5%","6.8%","7.0%","7.5%",""

"July-2019","1916.0","1064.7","851.3","1104.0","286.7","525.3","133.3","292.2","389.3","399.6","398.4","701.5","303.1","425.5","789.0","254.2","773.0","406.2","325.0","114.3","43.3","1365.0","293.4","257.7",
"","13.9%","15.1%","12.6%","15.8%","14.5%","10.9%","11.4%","13.0%","15.4%","16.4%","13.6%","12.9%","12.1%","12.5%","15.9%","16.5%","15.7%","10.3%","15.8%","13.1%","9.3%","14.3%","11.5%","15.6%",""

