year,month,16-24,25-34,35-44,45-54,55-64,65+
2011,january,1.8,1.2,1.6,2.6,1.3,1.8
2011,february,1.2,2.3,1.8,2.2,0.9,1.5
2011,march,1.4,1.7,1.7,1.7,1.3,2.2
2011,april,1.9,1.4,3.2,2.3,3.2,2.2
2011,may,1.9,1.6,2.6,4.0,2.0,3.0
2011,june,2.6,1.7,2.2,1.6,1.7,2.3
2011,july,5.0,3.6,2.1,3.0,1.4,2.0
2011,august,2.8,3.9,2.5,3.2,2.6,2.5
2011,september,2.9,2.8,1.5,1.3,1.3,2.1
2011,october,2.3,2.2,1.7,2.3,1.5,1.7
2011,november,4.2,2.2,1.4,1.7,2.7,0.7
2011,december,2.5,3.5,1.3,2.3,2.0,0.0
2012,january,2.6,2.8,2.1,2.1,1.7,2.4
2012,february,1.6,2.1,1.4,2.9,1.0,3.9
2012,march,1.4,3.3,1.0,3.4,0.9,0.0
2012,april,2.9,2.7,2.0,2.5,2.4,2.2
2012,may,1.6,2.1,1.8,1.1,3.0,3.9
2012,june,2.3,2.3,2.1,2.9,2.1,2.1
2012,july,3.5,3.1,1.1,1.2,3.5,2.3
2012,august,1.1,4.1,2.5,3.8,2.4,3.2
2012,september,2.9,2.2,1.7,2.1,2.1,3.1
2012,october,2.9,2.6,1.6,2.2,2.0,1.9
2012,november,1.5,2.2,1.0,2.0,1.6,2.4
2012,december,2.3,3.0,1.6,2.5,2.3,3.1
2013,january,2.2,1.1,2.0,1.6,1.4,2.3
2013,february,1.7,1.3,1.7,2.5,1.0,3.4
2013,march,1.9,2.5,1.2,1.9,1.7,1.4
2013,april,2.8,2.1,1.4,1.5,1.6,2.3
2013,may,2.3,2.5,1.3,2.4,2.3,2.2
2013,june,3.2,2.6,2.3,2.1,2.0,2.9
2013,july,2.3,2.4,2.2,2.1,1.2,1.9
2013,august,1.8,2.1,1.3,3.4,1.9,1.9
2013,september,0.9,2.0,2.0,2.7,1.6,2.7
2013,october,1.6,2.0,1.5,1.6,3.4,2.3
2013,november,2.3,1.6,0.9,1.7,1.2,2.3
2013,december,2.1,2.1,2.6,1.5,2.1,1.3
2014, ,,,,,,
