year,month,16-24,25-34,35-44,45-54,55-64,65+
2011,1,1.8,1.2,1.6,2.6,1.3,1.8
2011,2,1.2,2.3,1.8,2.2,0.9,1.5
2011,3,1.4,1.7,1.7,1.7,1.3,2.2
2011,4,1.9,1.4,3.2,2.3,3.2,2.2
2011,5,1.9,1.6,2.6,4.0,2.0,3.0
2011,6,2.6,1.7,2.2,1.6,1.7,2.3
2011,7,5.0,3.6,2.1,3.0,1.4,2.0
2011,8,2.8,3.9,2.5,3.2,2.6,2.5
2011,9,2.9,2.8,1.5,1.3,1.3,2.1
2011,10,2.3,2.2,1.7,2.3,1.5,1.7
2011,11,4.2,2.2,1.4,1.7,2.7,0.7
2011,12,2.5,3.5,1.3,2.3,2.0,0.0
2012,1,2.6,2.8,2.1,2.1,1.7,2.4
2012,2,1.6,2.1,1.4,2.9,1.0,3.9
2012,3,1.4,3.3,1.0,3.4,0.9,0.0
2012,4,2.9,2.7,2.0,2.5,2.4,2.2
2012,5,1.6,2.1,1.8,1.1,3.0,3.9
2012,6,2.3,2.3,2.1,2.9,2.1,2.1
2012,7,3.5,3.1,1.1,1.2,3.5,2.3
2012,8,1.1,4.1,2.5,3.8,2.4,3.2
2012,9,2.9,2.2,1.7,2.1,2.1,3.1
2012,10,2.9,2.6,1.6,2.2,2.0,1.9
2012,11,1.5,2.2,1.0,2.0,1.6,2.4
2012,12,2.3,3.0,1.6,2.5,2.3,3.1
2013,1,2.2,1.1,2.0,1.6,1.4,2.3
2013,2,1.7,1.3,1.7,2.5,1.0,3.4
2013,3,1.9,2.5,1.2,1.9,1.7,1.4
2013,4,2.8,2.1,1.4,1.5,1.6,2.3
2013,5,2.3,2.5,1.3,2.4,2.3,2.2
2013,6,3.2,2.6,2.3,2.1,2.0,2.9
2013,7,2.3,2.4,2.2,2.1,1.2,1.9
2013,8,1.8,2.1,1.3,3.4,1.9,1.9
2013,9,0.9,2.0,2.0,2.7,1.6,2.7
2013,10,1.6,2.0,1.5,1.6,3.4,2.3
2013,11,2.3,1.6,0.9,1.7,1.2,2.3
2013,12,2.1,2.1,2.6,1.5,2.1,1.3
2014,1,2.3,1.8,2.2,2.4,1.8,1.7
2014,2,1.5,1.3,0.9,1.6,1.4,1.5
2014,3,1.9,1.6,1.8,1.5,1.4,2.1
2014,4,2.4,1.7,2.9,2.1,1.2,1.7
2014,5,1.8,1.4,2.3,1.2,2.1,0.9
2014,6,1.7,2.1,2.2,2.0,2.1,3.5
2014,7,3.4,2.8,2.5,2.8,2.1,2.4
2014,8,5.3,2.1,1.9,1.5,4.9,3.5
2014,9,1.9,2.5,1.9,0.7,2.5,2.4
2014,10,2.3,1.2,2.4,1.5,2.5,3.0
2014,11,1.1,0.7,1.4,0.9,2.4,1.8
2014,12,2.2,1.5,1.6,1.9,2.3,2.2
2015,1,3.5,1.4,1.4,1.2,1.3,1.4
2015,2,1.3,1.8,1.0,1.3,1.1,1.8
2015,3,1.3,1.0,2.1,1.3,1.1,1.8
2015,4,3.0,2.0,1.8,1.6,2.3,2.3
2015,5,1.6,2.3,1.2,1.6,1.3,1.4
2015,6,2.3,3.8,1.8,1.7,2.8,2.2
2015,7,1.8,4.7,1.5,1.4,1.8,1.7
2015,8,5.2,3.0,2.9,2.1,2.5,3.5
2015,9,5.1,2.1,1.5,1.5,2.2,2.3
2015,10,1.7,1.8,2.0,1.5,1.9,1.1
2015,11,2.3,1.9,0.9,0.9,1.8,1.7
2015,12,1.4,2.3,3.0,1.5,2.4,1.5
2016,1,3.6,1.5,3.1,1.4,1.1,0.9
2016,2,0.6,1.6,0.9,1.1,1.2,2.1
2016,3,1.7,2.5,2.0,1.2,2.8,4.3
2016,4,2.0,2.2,1.4,1.4,3.0,1.2
2016,5,2.3,1.9,1.8,1.4,2.0,2.2
2016,6,1.8,1.3,1.5,1.4,1.6,2.5
2016,7,1.0,2.2,3.4,1.9,3.3,2.1
2016,8,2.1,2.3,1.9,1.6,2.1,3.1
2016,9,2.9,2.5,3.1,1.5,2.5,1.6
2016,10,0.9,1.8,1.4,1.2,2.2,3.0
2016,11,1.5,1.4,2.1,2.0,1.5,2.4
2016,12,3.4,1.8,2.5,1.0,2.4,2.0
2017,1,1.7,2.9,1.4,1.5,1.9,1.4
2017,2,1.6,2.5,1.0,1.8,0.9,1.1
2017,3,3.4,3.2,1.6,1.5,2.0,2.1
2017,4,3.2,2.4,1.9,2.5,1.9,2.1
2017,5,2.5,2.3,2.2,2.4,1.5,2.4
2017,6,2.9,1.1,1.8,1.3,3.2,1.4
2017,7,2.8,3.0,1.3,1.7,2.1,2.0
2017,8,6.8,2.3,1.9,2.5,2.4,3.2
2017,9,3.6,1.3,1.2,0.9,2.1,1.8
2017,10,1.3,4.3,1.0,1.7,2.1,2.9
2017,11,1.4,3.1,1.8,1.0,1.8,1.5
2017,12,2.4,2.3,2.2,1.3,2.1,1.3
2018,1,1.7,2.9,1.4,1.4,1.4,1.4
2018,2,2.1,2.8,0.8,1.2,0.8,2.2
2018,3,1.6,2.3,1.8,1.5,1.8,1.4
2018,4,1.3,2.3,1.7,1.5,1.5,2.3
2018,5,2.3,1.8,0.9,1.2,2.8,1.2
2018,6,3.2,3.4,1.3,1.0,2.6,2.0
2018,7,1.5,2.4,1.7,1.3,2.0,2.1
2018,8,1.7,1.5,1.7,1.9,2.7,2.0
2018,9,3.0,2.9,1.9,1.3,1.9,2.7
2018,10,4.2,2.3,1.0,2.2,1.6,1.7
2018,11,1.6,2.2,1.7,1.5,2.5,1.9
2018,12,3.2,2.9,1.6,1.3,1.4,2.0
2019,1,2.4,1.7,1.3,1.4,2.1,1.7
2019,2,1.5,1.2,1.3,1.5,1.4,2.0
2019,3,3.0,2.5,1.0,0.6,1.4,1.3
