month,16-24,25-34,35-44,45-54,55-64,65+
january-2017,92.0,93.2,108.7,70.5,108.9,90.5
february-2017,50.5,74.4,159.4,105.5,65.0,59.2
march-2017,54.9,106.2,111.2,149.5,146.3,133.4
april-2017,124.7,160.9,226.1,302.5,162.7,301.0
may-2017,125.3,99.8,197.6,192.2,149.1,203.5
june-2017,53.4,128.7,118.6,108.3,183.8,135.1
july-2017,69.2,142.4,194.7,275.0,146.8,203.5
august-2017,153.7,214.9,227.2,307.9,219.7,204.1
september-2017,66.4,145.6,161.4,272.2,277.5,258.0
october-2017,123.2,211.1,199.9,217.2,272.0,186.6
november-2017,149.3,223.4,194.0,236.0,130.3,119.7
december-2017,102.0,268.5,154.6,227.8,220.2,135.3
