year,type,action,16-24,25-34,35-44,45-54,55-64,65+
2011,activity,visited friends or family for leisure,11.5,9.8,7.7,8.7,7.1,9.2
2011,activity,'special' shopping for items that you do not regularly buy,2.5,2.0,2.3,3.4,2.2,1.0
2011,activity,went out for a meal,5.3,5.7,4.8,8.6,5.8,8.9
2011,activity,"went on a night out to a bar, pub and/or club",6.1,5.8,3.0,5.7,1.8,1.7
2011,activity,"went out for entertainment – to a cinema, concert or theatre",3.0,3.0,1.6,1.9,0.8,1.0
2011,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",3.0,3.2,4.7,5.6,5.5,3.9
2011,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",2.9,1.7,0.7,0.9,0.7,1.2
2011,activity,"took part in sports, including exercise classes, going to the gym",1.2,1.4,1.6,0.8,0.5,0.8
2011,activity,watched live sporting event (not on tv),1.5,1.7,1.3,1.9,1.2,0.6
2011,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",1.9,2.4,2.1,2.3,1.5,0.8
2011,activity,"went to a special public event such as a festival, exhibition, etc.",1.7,1.2,0.9,1.4,0.7,0.8
2011,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",0.7,1.0,0.7,1.3,1.1,0.5
2011,activity,"went on days out to a beauty/health centre/spa, etc.",0.3,1.3,0.8,0.3,0.4,0.3
2011,activity,went on general days out/ to explore an area,4.2,3.3,2.8,3.4,3.5,2.8
2011,activity,went on day trips/excursions for another leisure purpose not mentioned above,1.6,1.2,1.3,1.5,1.3,1.5
2012,activity,visited friends or family for leisure,9.8,11.8,6.8,9.3,6.9,10.9
2012,activity,'special' shopping for items that you do not regularly buy,2.4,3.6,2.1,5.2,4.1,4.2
2012,activity,went out for a meal,5.7,7.0,4.4,7.0,6.9,11.4
2012,activity,"went on a night out to a bar, pub and/or club",6.5,6.5,2.6,4.7,3.1,2.3
2012,activity,"went out for entertainment – to a cinema, concert or theatre",4.3,3.6,1.6,2.4,1.8,2.6
2012,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",4.0,5.6,4.0,5.4,4.7,5.5
2012,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",2.3,1.8,1.4,1.9,1.7,1.5
2012,activity,"took part in sports, including exercise classes, going to the gym",1.0,2.5,0.8,1.4,1.0,0.2
2012,activity,watched live sporting event (not on tv),1.5,3.1,1.6,2.4,1.5,1.7
2012,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",1.8,2.2,1.7,1.1,2.9,2.4
2012,activity,"went to a special public event such as a festival, exhibition, etc.",1.3,1.3,0.9,0.9,1.1,0.2
2012,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",0.8,1.6,0.8,1.1,0.9,1.1
2012,activity,"went on days out to a beauty/health centre/spa, etc.",0.2,0.4,0.2,0.3,0.4,0.0
2012,activity,went on general days out/ to explore an area,3.3,3.8,2.8,4.3,3.4,2.7
2012,activity,went on day trips/excursions for another leisure purpose not mentioned above,1.4,1.8,0.8,1.5,2.9,1.0
2013,activity,visited friends or family for leisure,7.3,8.6,5.8,8.0,8.1,9.3
2013,activity,'special' shopping for items that you do not regularly buy,2.7,2.8,2.6,3.1,3.3,2.8
