year,type,16-24,25-34,35-44,45-54,55-64,65+
2011,transport,14.9,18.5,17.9,20.0,16.1,16.2
2011,transport,13.8,17.6,17.6,20.0,15.9,16.0
2011,transport,1.1,0.8,0.2,0.0,0.1,0.1
2011,transport,8.0,5.1,2.4,4.2,2.6,3.3
2011,transport,3.9,3.5,1.3,2.1,1.5,0.4
2011,transport,4.0,1.7,1.1,2.0,1.1,2.9
2011,transport,0.3,0.3,0.2,0.6,0.2,0.6
2011,transport,1.3,0.7,1.1,1.0,0.5,0.2
2011,transport,3.6,2.6,0.8,1.8,2.0,1.0
2011,transport,0.1,0.1,0.3,0.2,0.0,0.0
2011,transport,0.3,0.0,0.1,0.2,0.0,0.2
2011,transport,0.2,0.3,0.0,0.0,0.1,0.0
2011,transport,0.4,0.2,0.0,0.1,0.1,0.0
2011,transport,0.0,0.0,0.5,0.0,0.0,0.0
2011,transport,0.4,0.0,0.0,0.0,0.2,0.0
2011,transport,0.6,0.2,0.3,0.1,0.0,0.4
2011,transport,0.3,0.0,0.0,0.0,0.1,0.0
2011,transport,0.0,0.1,0.1,0.0,0.0,0.0
2011,transport,0.1,0.0,0.0,0.1,0.1,0.0
2012,transport,12.7,21.1,14.1,21.1,18.6,23.3
2012,transport,12.5,20.6,13.8,20.8,18.4,23.3
2012,transport,0.2,0.5,0.2,0.2,0.3,0.0
2012,transport,7.3,5.8,2.6,4.4,3.8,4.9
2012,transport,4.2,3.2,1.5,1.8,1.8,2.1
2012,transport,3.1,2.6,1.1,2.7,2.0,2.8
2012,transport,0.2,0.5,0.2,0.1,0.6,0.2
2012,transport,1.0,0.8,0.7,0.7,0.4,0.2
2012,transport,1.8,2.9,1.6,1.8,1.0,1.4
2012,transport,1.2,0.2,0.3,0.1,0.2,0.0
2012,transport,0.0,0.1,0.1,0.2,0.1,0.0
2012,transport,0.0,0.1,0.0,0.0,0.1,0.0
2012,transport,0.3,0.2,0.0,0.0,0.0,0.0
2012,transport,0.0,0.1,0.0,0.0,0.0,0.0
2012,transport,0.0,0.0,0.0,0.0,0.0,0.0
2012,transport,0.0,0.5,0.0,0.0,0.0,0.1
2012,transport,0.1,0.1,0.3,0.0,0.1,0.2
2012,transport,1.7,0.1,0.1,0.0,0.1,0.0
2012,transport,0.4,0.0,0.1,0.2,0.0,0.5
2013,transport,12.3,15.5,13.2,17.1,15.3,20.2
2013,transport,11.5,15.3,13.0,16.8,15.1,19.9
2013,transport,0.9,0.2,0.2,0.3,0.2,0.3
2013,transport,8.6,5.1,3.7,4.3,4.4,4.0
2013,transport,5.1,2.8,2.1,2.4,1.7,1.0
2013,transport,3.5,2.3,1.5,1.8,2.7,3.0
2013,transport,0.3,0.1,0.6,0.4,0.0,0.2
2013,transport,0.3,1.1,0.6,0.6,0.0,0.6
2013,transport,2.2,1.5,1.5,1.7,0.5,1.1
2013,transport,0.3,0.6,0.3,0.1,0.4,0.0
2013,transport,0.1,0.1,0.1,0.0,0.0,0.0
2013,transport,0.4,0.0,0.0,0.1,0.0,0.0
2013,transport,0.1,0.0,0.0,0.1,0.0,0.1
2013,transport,0.0,0.0,0.0,0.0,0.0,0.0
2013,transport,0.0,0.1,0.1,0.1,0.0,0.1
2013,transport,0.0,0.1,0.0,0.0,0.0,0.1
2013,transport,0.0,0.0,0.1,0.1,0.4,0.3
2013,transport,0.2,0.0,0.0,0.1,0.0,0.0
2013,transport,0.1,0.1,0.1,0.1,0.3,0.2
2014,transport,14.1,13.1,16.1,12.8,18.3,20.1
2014,transport,1.3,0.1,0.1,0.1,0.0,0.0
2014,transport,5.4,5.2,4.3,4.9,5.2,4.7
2014,transport,4.2,3.3,2.3,2.8,2.3,1.3
2014,transport,1.1,1.9,2.0,2.1,2.8,3.4
2014,transport,0.0,0.1,0.2,0.3,0.1,0.1
2014,transport,1.8,0.8,0.7,0.6,0.7,0.3
2014,transport,3.6,0.9,1.1,0.8,2.0,1.0
2014,transport,0.4,0.1,0.6,0.2,0.3,0.0
2014,transport,0.1,0.1,0.0,0.0,0.0,0.0
2014,transport,0.0,0.0,0.1,0.0,0.0,0.0
2014,transport,0.0,0.0,0.0,0.0,0.0,0.0
2014,transport,0.5,0.0,0.0,0.0,0.0,0.0
2014,transport,0.0,0.0,0.0,0.0,0.0,0.1
2014,transport,0.0,0.0,0.6,0.0,0.0,0.0
2014,transport,0.0,0.2,0.0,0.3,0.1,0.0
2014,transport,0.0,0.1,0.0,0.1,0.0,0.0
2014,transport,0.6,0.1,0.1,0.0,0.1,0.2
2015,transport,13.4,16.1,14.3,11.8,15.6,16.3
2015,transport,0.5,1.1,0.3,0.0,0.0,0.0
2015,transport,10.2,7.3,4.2,3.2,5.0,3.8
2015,transport,6.3,4.5,2.1,1.3,2.1,1.1
2015,transport,3.8,2.7,2.2,2.0,2.9,2.7
2015,transport,0.8,0.1,0.1,0.2,0.2,0.8
2015,transport,1.5,0.7,0.4,0.5,0.1,0.2
2015,transport,3.4,1.9,1.2,0.7,1.0,0.6
2015,transport,0.2,0.1,0.2,0.2,0.1,0.0
2015,transport,0.0,0.0,0.3,0.5,0.0,0.1
2015,transport,0.0,0.0,0.0,0.0,0.2,0.0
2015,transport,0.1,0.0,0.0,0.0,0.0,0.0
2015,transport,0.0,0.1,0.1,0.1,0.0,0.1
2015,transport,0.0,0.0,0.0,0.0,0.1,0.1
2015,transport,0.4,0.3,0.0,0.1,0.0,0.3
2015,transport,0.0,0.2,0.1,0.0,0.2,0.3
2015,transport,0.0,0.0,0.0,0.0,0.0,0.0
2015,transport,0.0,0.2,0.1,0.0,0.2,0.1
2016,transport,12.6,13.1,16.7,12.0,18.6,18.9
2016,transport,0.6,1.0,0.5,0.2,0.1,0.2
2016,transport,5.3,5.9,4.4,2.5,4.7,5.1
2016,transport,3.1,3.7,2.6,1.5,1.8,1.3
2016,transport,2.2,2.1,1.9,1.0,2.9,3.8
2016,transport,0.6,0.0,0.1,0.2,0.1,0.5
2016,transport,1.5,0.7,0.9,1.0,0.3,0.5
2016,transport,1.4,1.7,1.7,0.8,1.1,1.3
2016,transport,0.0,0.3,0.2,0.0,0.3,0.1
2016,transport,0.3,0.0,0.0,0.1,0.0,0.1
2016,transport,0.0,0.0,0.1,0.0,0.0,0.0
2016,transport,0.1,0.0,0.1,0.1,0.1,0.1
2016,transport,0.1,0.2,0.1,0.0,0.0,0.2
2016,transport,0.1,0.0,0.0,0.0,0.0,0.0
