year,month,access to car (1+),no access to car (0)
2011,january,9.2,1.0
2011,february,8.4,1.4
2011,march,8.7,1.2
2011,april,12.2,1.9
2011,may,12.0,3.2
2011,june,10.2,2.0
2011,july,13.3,3.8
2011,august,14.3,3.2
2011,september,9.3,2.6
2011,october,10.4,1.3
2011,november,10.0,2.9
2011,december,9.9,1.8
2012,january,12.4,1.3
2012,february,11.1,1.8
2012,march,7.6,2.6
2012,april,12.0,2.8
2012,may,12.0,1.5
2012,june,10.8,3.0
2012,july,12.6,2.1
2012,august,14.6,2.4
2012,september,10.3,3.9
2012,october,11.4,1.9
2012,november,9.1,1.6
2012,december,12.1,2.7
2013,january,9.6,1.0
2013,february,9.4,2.3
2013,march,8.9,1.6
2013,april,9.2,2.4
2013,may,10.7,2.3
2013,june,11.1,3.9
2013,july,9.1,3.0
2013,august,10.9,1.5
2013,september,10.5,1.4
2013,october,9.8,2.4
2013,november,8.0,1.9
2013,december,7.7,4.0
2014, ,,
2014,total,116.2,30.0
2014,january,10.2,1.9
2014,february,6.2,1.8
2014,march,8.7,1.6
2014,april,9.3,2.8
2014,may,7.3,2.4
2014,june,11.2,2.4
2014,july,12.1,4.0
2014,august,15.8,3.5
2014,september,8.9,3.1
2014,october,11.1,1.8
2014,november,7.0,1.4
2014,december,8.4,3.4
2015, ,,
2015,total,108.7,34.0
2015,january,7.4,2.8
2015,february,7.1,1.3
2015,march,7.3,1.4
2015,april,9.1,3.9
2015,may,7.2,2.2
2015,june,11.5,3.1
2015,july,10.0,2.9
2015,august,13.5,5.7
2015,september,11.4,3.3
2015,october,7.5,2.6
2015,november,7.3,2.2
2015,december,9.4,2.7
2016, ,,
2016,total,120.1,21.9
2016,january,10.2,1.3
2016,february,6.1,1.5
2016,march,11.4,3.0
2016,april,10.0,1.3
2016,may,9.2,2.3
2016,june,9.0,1.1
2016,july,12.1,1.8
2016,august,11.2,1.8
2016,september,11.5,2.6
2016,october,8.9,1.5
2016,november,9.3,1.6
2016,december,11.1,2.1
2017, ,,
2017,total,127.3,23.8
2017,january,8.5,2.3
2017,february,6.6,2.4
2017,march,12.0,1.8
2017,april,10.8,3.2
2017,may,12.0,1.3
2017,june,10.4,1.3
2017,july,10.8,2.0
2017,august,15.8,3.2
2017,september,8.8,2.1
2017,october,12.0,1.2
2017,november,9.3,1.4
2017,december,10.3,1.5
2018, ,,
2018,total,114.5,23.3
2018,january,8.8,1.4
2018,february,7.6,2.3
2018,march,8.8,1.6
2018,april,8.1,2.6
2018,may,9.2,1.0
2018,june,11.2,2.4
2018,july,8.8,2.1
2018,august,10.4,1.1
2018,september,11.4,2.2
2018,october,11.3,1.7
2018,november,10.2,1.2
2018,december,8.8,3.7
2019, ,,
2019,total,110.4,23.3
2019,january,8.7,1.9
2019,february,7.5,1.4
2019,march,8.4,1.4
2019,april,8.4,2.8
2019,may,8.9,1.9
2019,june,9.6,1.8
2019,july,11.1,2.4
2019,august,12.7,1.9
2019,september,8.6,1.5
2019,october,8.7,2.2
2019,november,8.1,2.0
2019,december,9.6,2.0
