year,type,activity,access to car (1+),no access to car (0)
2011,activity,visited friends or family for leisure,43.6,10.3
2011,activity,'special' shopping for items that you do not regularly buy,11.4,1.9
2011,activity,went out for a meal,34.6,4.6
2011,activity,"went on a night out to a bar, pub and/or club",19.1,5.0
2011,activity,"went out for entertainment – to a cinema, concert or theatre",8.8,2.5
2011,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",23.6,2.2
2011,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",5.6,2.5
2011,activity,"took part in sports, including exercise classes, going to the gym",5.9,0.4
2011,activity,watched live sporting event (not on tv),7.6,0.6
2011,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",9.0,2.1
2011,activity,"went to a special public event such as a festival, exhibition, etc.",5.4,1.3
2011,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",5.1,0.1
2011,activity,"went on days out to a beauty/health centre/spa, etc.",3.2,0.3
2011,activity,went on general days out/ to explore an area,16.1,4.0
2011,activity,went on day trips/excursions for another leisure purpose not mentioned above,7.3,1.3
2012,activity,visited friends or family for leisure,45.0,10.5
2012,activity,'special' shopping for items that you do not regularly buy,18.5,3.2
2012,activity,went out for a meal,36.9,5.5
2012,activity,"went on a night out to a bar, pub and/or club",20.1,5.6
2012,activity,"went out for entertainment – to a cinema, concert or theatre",12.2,4.1
2012,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",24.4,4.7
2012,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",8.5,2.0
2012,activity,"took part in sports, including exercise classes, going to the gym",6.1,0.7
2012,activity,watched live sporting event (not on tv),10.7,1.2
2012,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",9.1,3.0
2012,activity,"went to a special public event such as a festival, exhibition, etc.",4.7,1.1
2012,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",5.4,0.9
2012,activity,"went on days out to a beauty/health centre/spa, etc.",1.5,0.1
2012,activity,went on general days out/ to explore an area,16.5,3.8
2012,activity,went on day trips/excursions for another leisure purpose not mentioned above,7.8,1.6
2013,activity,visited friends or family for leisure,36.7,10.5
2013,activity,'special' shopping for items that you do not regularly buy,13.8,3.5
2013,activity,went out for a meal,27.6,6.1
2013,activity,"went on a night out to a bar, pub and/or club",16.2,4.3
2013,activity,"went out for entertainment – to a cinema, concert or theatre",10.5,2.1
2013,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",20.1,4.6
2013,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",5.3,1.8
2013,activity,"took part in sports, including exercise classes, going to the gym",4.5,1.7
2013,activity,watched live sporting event (not on tv),7.5,2.2
2013,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",9.4,3.0
2013,activity,"went to a special public event such as a festival, exhibition, etc.",5.0,1.3
2013,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",3.6,0.8
2013,activity,"went on days out to a beauty/health centre/spa, etc.",0.9,0.2
2013,activity,went on general days out/ to explore an area,16.5,2.9
2013,activity,went on day trips/excursions for another leisure purpose not mentioned above,8.6,1.8
2014,activity,visited friends or family for leisure,36.0,11.0
2014,activity,'special' shopping for items that you do not regularly buy,16.2,3.4
2014,activity,went out for a meal,30.3,5.8
2014,activity,"went on a night out to a bar, pub and/or club",18.1,4.6
2014,activity,"went out for entertainment – to a cinema, concert or theatre",10.7,2.5
2014,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",18.7,6.1
2014,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",8.8,0.9
2014,activity,"took part in sports, including exercise classes, going to the gym",4.8,0.6
2014,activity,watched live sporting event (not on tv),8.8,1.7
2014,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",8.7,4.4
2014,activity,"went to a special public event such as a festival, exhibition, etc.",7.4,1.3
2014,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",4.1,0.8
2014,activity,"went on days out to a beauty/health centre/spa, etc.",1.4,0.6
2014,activity,went on general days out/ to explore an area,17.9,4.1
2014,activity,went on day trips/excursions for another leisure purpose not mentioned above,8.2,3.5
2015,activity,visited friends or family for leisure,37.4,15.0
2015,activity,'special' shopping for items that you do not regularly buy,13.9,4.5
2015,activity,went out for a meal,32.4,7.2
2015,activity,"went on a night out to a bar, pub and/or club",15.1,7.2
2015,activity,"went out for entertainment – to a cinema, concert or theatre",10.0,3.9
2015,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",21.0,6.2
2015,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",8.8,2.9
2015,activity,"took part in sports, including exercise classes, going to the gym",6.7,1.7
2015,activity,watched live sporting event (not on tv),10.9,3.1
2015,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",8.3,4.2
2015,activity,"went to a special public event such as a festival, exhibition, etc.",7.3,1.9
2015,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",4.2,1.7
2015,activity,"went on days out to a beauty/health centre/spa, etc.",1.4,0.9
2015,activity,went on general days out/ to explore an area,17.3,3.4
2015,activity,went on day trips/excursions for another leisure purpose not mentioned above,7.7,2.5
2016,activity,visited friends or family for leisure,36.6,7.9
2016,activity,'special' shopping for items that you do not regularly buy,14.3,3.5
2016,activity,went out for a meal,31.9,4.3
2016,activity,"went on a night out to a bar, pub and/or club",17.1,3.0
2016,activity,"went out for entertainment – to a cinema, concert or theatre",11.1,1.8
2016,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",24.9,4.6
2016,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",7.7,1.0
2016,activity,"took part in sports, including exercise classes, going to the gym",7.7,0.6
2016,activity,watched live sporting event (not on tv),9.8,2.5
2016,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",11.1,1.7
2016,activity,"went to a special public event such as a festival, exhibition, etc.",4.5,1.7
2016,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",4.5,0.8
2016,activity,"went on days out to a beauty/health centre/spa, etc.",1.3,0.6
2016,activity,went on general days out/ to explore an area,15.7,3.4
2016,activity,went on day trips/excursions for another leisure purpose not mentioned above,9.8,1.8
2017,activity,visited friends or family for leisure,40.3,8.7
2017,activity,'special' shopping for items that you do not regularly buy,18.1,2.5
2017,activity,went out for a meal,33.2,5.3
2017,activity,"went on a night out to a bar, pub and/or club",17.8,5.0
2017,activity,"went out for entertainment – to a cinema, concert or theatre",13.2,1.9
2017,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",28.9,5.7
2017,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",8.0,1.4
2017,activity,"took part in sports, including exercise classes, going to the gym",8.2,2.1
2017,activity,watched live sporting event (not on tv),10.4,1.3
2017,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",11.2,3.2
2017,activity,"went to a special public event such as a festival, exhibition, etc.",8.1,1.9
2017,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",5.2,1.1
2017,activity,"went on days out to a beauty/health centre/spa, etc.",3.4,0.4
2017,activity,went on general days out/ to explore an area,22.1,3.0
2017,activity,went on day trips/excursions for another leisure purpose not mentioned above,7.2,1.9
2018,activity,visited friends or family for leisure,37.1,8.0
2018,activity,'special' shopping for items that you do not regularly buy,15.1,2.5
2018,activity,went out for a meal,32.6,4.9
2018,activity,"went on a night out to a bar, pub and/or club",15.6,3.2
2018,activity,"went out for entertainment – to a cinema, concert or theatre",11.0,2.3
2018,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",21.2,4.1
2018,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",7.6,1.3
2018,activity,"took part in sports, including exercise classes, going to the gym",7.6,1.0
2018,activity,watched live sporting event (not on tv),9.5,1.7
2018,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",11.4,2.3
2018,activity,"went to a special public event such as a festival, exhibition, etc.",5.6,1.0
2018,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",4.1,0.8
2018,activity,"went on days out to a beauty/health centre/spa, etc.",2.3,0.3
