year,type,access to car (1+),no access to car (0)
2011,transport,97.2,6.2
2011,transport,95.3,5.8
2011,transport,1.9,0.4
2011,transport,12.4,13.3
2011,transport,7.5,5.3
2011,transport,4.9,7.9
2011,transport,2.2,0.0
2011,transport,4.3,0.5
2011,transport,7.0,4.8
2011,transport,0.5,0.2
2011,transport,0.7,0.1
2011,transport,0.4,0.2
2011,transport,0.7,0.1
2011,transport,0.5,0.0
2011,transport,0.2,0.4
2011,transport,1.2,0.4
2011,transport,0.4,0.1
2011,transport,0.2,0.0
2011,transport,0.2,0.0
2012,transport,104.8,6.0
2012,transport,104.1,5.3
2012,transport,0.8,0.7
2012,transport,15.4,13.4
2012,transport,8.5,6.1
2012,transport,6.9,7.4
2012,transport,1.6,0.2
2012,transport,2.4,1.3
2012,transport,6.6,4.0
2012,transport,0.6,1.4
2012,transport,0.5,0.1
2012,transport,0.1,0.0
2012,transport,0.5,0.1
2012,transport,0.0,0.0
2012,transport,0.0,0.0
2012,transport,0.5,0.0
2012,transport,0.7,0.0
2012,transport,1.4,0.7
2012,transport,0.7,0.4
2013,transport,85.6,8.0
2013,transport,83.9,7.7
2013,transport,1.7,0.3
2013,transport,16.4,13.6
2013,transport,9.9,5.4
2013,transport,6.5,8.2
2013,transport,0.9,0.7
2013,transport,2.7,0.4
2013,transport,5.1,3.4
2013,transport,0.8,1.0
2013,transport,0.2,0.0
2013,transport,0.5,0.0
2013,transport,0.2,0.0
2013,transport,0.0,0.0
2013,transport,0.5,0.0
2013,transport,0.2,0.1
2013,transport,0.8,0.1
2013,transport,0.4,0.0
2013,transport,0.7,0.2
2014,transport,85.5,9.0
2014,transport,1.2,0.4
2014,transport,16.8,12.9
2014,transport,9.8,6.6
2014,transport,7.0,6.3
2014,transport,0.7,0.1
2014,transport,3.2,1.8
2014,transport,5.4,4.1
2014,transport,0.9,0.5
2014,transport,0.1,0.2
2014,transport,0.2,0.0
2014,transport,0.1,0.0
2014,transport,0.3,0.2
2014,transport,0.1,0.0
2014,transport,0.5,0.1
2014,transport,0.7,0.0
2014,transport,0.1,0.1
2014,transport,0.4,0.7
2015,transport,78.8,8.6
2015,transport,1.6,0.3
2015,transport,16.1,17.6
2015,transport,9.4,8.0
2015,transport,6.7,9.7
2015,transport,1.4,0.8
2015,transport,1.7,1.7
2015,transport,4.8,4.0
2015,transport,0.6,0.4
2015,transport,0.9,0.1
2015,transport,0.2,0.0
2015,transport,0.0,0.1
2015,transport,0.3,0.0
2015,transport,0.1,0.0
2015,transport,0.9,0.1
2015,transport,0.7,0.0
2015,transport,0.1,0.0
2015,transport,0.5,0.2
2016,transport,85.6,6.3
2016,transport,2.2,0.4
2016,transport,16.9,11.0
2016,transport,9.3,4.8
2016,transport,7.6,6.2
2016,transport,1.2,0.3
2016,transport,4.4,0.5
2016,transport,5.7,2.2
2016,transport,0.8,0.1
2016,transport,0.2,0.3
2016,transport,0.2,0.0
2016,transport,0.4,0.1
2016,transport,0.5,0.2
2016,transport,0.0,0.1
2016,transport,0.2,0.1
2016,transport,1.7,0.4
2017,transport,86.4,6.2
2017,transport,6.0,0.4
2017,transport,18.8,10.4
2017,transport,11.7,4.3
2017,transport,7.1,6.1
2017,transport,2.5,0.5
2017,transport,2.8,1.0
2017,transport,5.3,3.3
2017,transport,0.8,0.7
2017,transport,0.4,0.2
2017,transport,0.4,0.2
2017,transport,0.8,0.0
2017,transport,1.4,0.4
2017,transport,0.5,0.0
2017,transport,0.4,0.1
2017,transport,0.8,0.4
2018,transport,78.8,5.4
2018,transport,2.3,0.4
2018,transport,17.9,11.1
2018,transport,11.9,4.9
2018,transport,5.9,6.3
2018,transport,0.7,0.4
2018,transport,2.3,1.2
2018,transport,8.0,3.2
2018,transport,0.7,0.0
2018,transport,0.1,0.5
2018,transport,0.2,0.1
2018,transport,0.1,0.1
2018,transport,1.5,0.2
2018,transport,0.1,0.1
2018,transport,0.1,0.3
2018,transport,1.6,0.4
2019,transport,74.3,5.7
2019,transport,2.1,0.1
2019,transport,16.2,12.4
2019,transport,9.9,5.9
2019,transport,6.3,6.4
2019,transport,1.9,0.6
2019,transport,4.4,1.2
2019,transport,5.4,2.1
2019,transport,0.9,0.3
2019,transport,1.5,0.1
2019,transport,0.2,0.2
2019,transport,0.4,0.0
2019,transport,1.1,0.3
2019,transport,0.4,0.1
2019,transport,0.3,0.0
2019,transport,1.2,0.2
