,year,type,activity,access to car (1+),no access to car (0),place
0,2011,activity,visited friends or family for leisure,43.6,10.3,
1,2011,activity,'special' shopping for items that you do not regularly buy,11.4,1.9,
2,2011,activity,went out for a meal,34.6,4.6,
3,2011,activity,"went on a night out to a bar, pub and/or club",19.1,5.0,
4,2011,activity,"went out for entertainment – to a cinema, concert or theatre",8.8,2.5,
5,2011,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",23.6,2.2,
6,2011,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",5.6,2.5,
7,2011,activity,"took part in sports, including exercise classes, going to the gym",5.9,0.4,
8,2011,activity,watched live sporting event (not on tv),7.6,0.6,
9,2011,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",9.0,2.1,
10,2011,activity,"went to a special public event such as a festival, exhibition, etc.",5.4,1.3,
11,2011,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",5.1,0.1,
12,2011,activity,"went on days out to a beauty/health centre/spa, etc.",3.2,0.3,
13,2011,activity,went on general days out/ to explore an area,16.1,4.0,
14,2011,activity,went on day trips/excursions for another leisure purpose not mentioned above,7.3,1.3,
15,2012,activity,visited friends or family for leisure,45.0,10.5,
16,2012,activity,'special' shopping for items that you do not regularly buy,18.5,3.2,
17,2012,activity,went out for a meal,36.9,5.5,
18,2012,activity,"went on a night out to a bar, pub and/or club",20.1,5.6,
19,2012,activity,"went out for entertainment – to a cinema, concert or theatre",12.2,4.1,
20,2012,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",24.4,4.7,
21,2012,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",8.5,2.0,
22,2012,activity,"took part in sports, including exercise classes, going to the gym",6.1,0.7,
23,2012,activity,watched live sporting event (not on tv),10.7,1.2,
24,2012,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",9.1,3.0,
25,2012,activity,"went to a special public event such as a festival, exhibition, etc.",4.7,1.1,
26,2012,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",5.4,0.9,
27,2012,activity,"went on days out to a beauty/health centre/spa, etc.",1.5,0.1,
28,2012,activity,went on general days out/ to explore an area,16.5,3.8,
29,2012,activity,went on day trips/excursions for another leisure purpose not mentioned above,7.8,1.6,
30,2013,activity,visited friends or family for leisure,36.7,10.5,
31,2013,activity,'special' shopping for items that you do not regularly buy,13.8,3.5,
32,2013,activity,went out for a meal,27.6,6.1,
33,2013,activity,"went on a night out to a bar, pub and/or club",16.2,4.3,
34,2013,activity,"went out for entertainment – to a cinema, concert or theatre",10.5,2.1,
35,2013,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",20.1,4.6,
36,2013,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",5.3,1.8,
37,2013,activity,"took part in sports, including exercise classes, going to the gym",4.5,1.7,
38,2013,activity,watched live sporting event (not on tv),7.5,2.2,
39,2013,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",9.4,3.0,
40,2013,activity,"went to a special public event such as a festival, exhibition, etc.",5.0,1.3,
