year,month,yes,no
2011,january,2.7,7.6
2011,february,2.8,7.0
2011,march,2.9,6.9
2011,april,2.7,11.4
2011,may,3.2,12.1
2011,june,3.2,9.0
2011,july,3.6,13.6
2011,august,4.7,12.9
2011,september,3.6,8.3
2011,october,2.9,8.8
2011,november,2.5,10.4
2011,december,3.5,8.1
2012,january,2.8,10.8
2012,february,3.2,9.6
2012,march,2.4,7.8
2012,april,3.1,11.6
2012,may,3.5,9.9
2012,june,2.9,10.9
2012,july,3.5,11.3
2012,august,3.9,13.2
2012,september,3.7,10.5
2012,october,3.5,9.8
2012,november,2.7,8.0
2012,december,3.1,11.7
2013,january,1.6,8.9
2013,february,2.8,8.9
2013,march,2.2,8.3
2013,april,2.7,8.9
2013,may,3.4,9.6
2013,june,4.4,10.6
2013,july,4.2,7.9
2013,august,2.7,9.6
2013,september,3.7,8.2
2013,october,3.7,8.5
2013,november,1.7,8.3
2013,december,3.1,8.5
2014, ,,
2014,total,36.1,110.1
2014,january,4.0,8.1
2014,february,1.4,6.7
2014,march,2.5,7.8
2014,april,4.8,7.3
2014,may,2.2,7.5
2014,june,3.5,10.1
2014,july,5.3,10.8
2014,august,2.8,16.5
2014,september,2.9,9.1
2014,october,3.5,9.4
2014,november,1.4,6.9
2014,december,1.9,9.9
2015, ,,
2015,total,37.3,105.5
2015,january,2.0,8.3
2015,february,1.4,7.0
2015,march,2.6,6.1
2015,april,3.6,9.4
2015,may,2.8,6.7
2015,june,5.5,9.1
2015,july,3.5,9.4
2015,august,4.3,14.9
2015,september,2.8,12.0
2015,october,2.9,7.1
2015,november,2.3,7.2
2015,december,3.7,8.4
2016, ,,
2016,total,33.8,108.2
2016,january,1.0,10.5
2016,february,1.8,5.8
2016,march,2.7,11.8
2016,april,3.1,8.2
2016,may,2.3,9.2
2016,june,2.1,8.0
2016,july,4.1,9.8
2016,august,4.2,8.8
2016,september,4.2,9.9
2016,october,2.1,8.3
2016,november,3.2,7.8
2016,december,3.1,10.1
2017, ,,
2017,total,44.0,107.0
2017,january,2.4,8.3
2017,february,2.2,6.8
2017,march,5.7,8.2
2017,april,4.2,9.8
2017,may,3.9,9.4
2017,june,3.1,8.7
2017,july,2.9,9.9
2017,august,6.7,12.3
2017,september,2.5,8.5
2017,october,3.7,9.5
2017,november,3.4,7.3
2017,december,3.4,8.4
2018, ,,
2018,total,40.7,97.1
2018,january,2.5,7.7
2018,february,2.7,7.2
2018,march,3.2,7.2
2018,april,2.9,7.7
2018,may,3.0,7.1
2018,june,3.6,10.0
2018,july,4.0,7.0
2018,august,3.3,8.2
2018,september,4.1,9.5
2018,october,2.9,10.1
2018,november,4.7,6.7
2018,december,3.7,8.8
2019, ,,
2019,total,42.9,90.8
2019,january,2.7,7.9
2019,february,2.9,6.1
2019,march,4.1,5.7
2019,april,2.6,8.6
2019,may,3.1,7.7
2019,june,3.6,7.8
2019,july,5.0,8.6
2019,august,5.7,8.9
2019,september,2.8,7.3
2019,october,3.0,7.9
2019,november,4.1,6.0
2019,december,3.2,8.4
