year,month,yes,no
2011,1,2.7,7.6
2011,2,2.8,7.0
2011,3,2.9,6.9
2011,4,2.7,11.4
2011,5,3.2,12.1
2011,6,3.2,9.0
2011,7,3.6,13.6
2011,8,4.7,12.9
2011,9,3.6,8.3
2011,10,2.9,8.8
2011,11,2.5,10.4
2011,12,3.5,8.1
2012,1,2.8,10.8
2012,2,3.2,9.6
2012,3,2.4,7.8
2012,4,3.1,11.6
2012,5,3.5,9.9
2012,6,2.9,10.9
2012,7,3.5,11.3
2012,8,3.9,13.2
2012,9,3.7,10.5
2012,10,3.5,9.8
2012,11,2.7,8.0
2012,12,3.1,11.7
2013,1,1.6,8.9
2013,2,2.8,8.9
2013,3,2.2,8.3
2013,4,2.7,8.9
2013,5,3.4,9.6
2013,6,4.4,10.6
2013,7,4.2,7.9
2013,8,2.7,9.6
2013,9,3.7,8.2
2013,10,3.7,8.5
2013,11,1.7,8.3
2013,12,3.1,8.5
2014,1,4.0,8.1
2014,2,1.4,6.7
2014,3,2.5,7.8
2014,4,4.8,7.3
2014,5,2.2,7.5
2014,6,3.5,10.1
2014,7,5.3,10.8
2014,8,2.8,16.5
2014,9,2.9,9.1
2014,10,3.5,9.4
2014,11,1.4,6.9
2014,12,1.9,9.9
2015,1,2.0,8.3
2015,2,1.4,7.0
2015,3,2.6,6.1
2015,4,3.6,9.4
2015,5,2.8,6.7
2015,6,5.5,9.1
2015,7,3.5,9.4
2015,8,4.3,14.9
2015,9,2.8,12.0
2015,10,2.9,7.1
2015,11,2.3,7.2
2015,12,3.7,8.4
2016,1,1.0,10.5
2016,2,1.8,5.8
2016,3,2.7,11.8
2016,4,3.1,8.2
2016,5,2.3,9.2
2016,6,2.1,8.0
2016,7,4.1,9.8
2016,8,4.2,8.8
2016,9,4.2,9.9
2016,10,2.1,8.3
2016,11,3.2,7.8
2016,12,3.1,10.1
2017,1,2.4,8.3
2017,2,2.2,6.8
2017,3,5.7,8.2
2017,4,4.2,9.8
2017,5,3.9,9.4
2017,6,3.1,8.7
2017,7,2.9,9.9
2017,8,6.7,12.3
2017,9,2.5,8.5
2017,10,3.7,9.5
2017,11,3.4,7.3
2017,12,3.4,8.4
2018,1,2.5,7.7
2018,2,2.7,7.2
2018,3,3.2,7.2
2018,4,2.9,7.7
2018,5,3.0,7.1
2018,6,3.6,10.0
2018,7,4.0,7.0
2018,8,3.3,8.2
2018,9,4.1,9.5
2018,10,2.9,10.1
2018,11,4.7,6.7
2018,12,3.7,8.8
2019,1,2.7,7.9
2019,2,2.9,6.1
2019,3,4.1,5.7
2019,4,2.6,8.6
2019,5,3.1,7.7
2019,6,3.6,7.8
2019,7,5.0,8.6
2019,8,5.7,8.9
2019,9,2.8,7.3
2019,10,3.0,7.9
2019,11,4.1,6.0
2019,12,3.2,8.4
