year,type,yes,no
2011,transport,28.0,75.5
2011,transport,26.8,74.3
2011,transport,1.2,1.2
2011,transport,4.3,21.3
2011,transport,2.9,9.9
2011,transport,1.4,11.4
2011,transport,0.3,1.9
2011,transport,1.3,3.5
2011,transport,2.4,9.4
2011,transport,0.3,0.4
2011,transport,0.1,0.6
2011,transport,0.3,0.3
2011,transport,0.1,0.7
2011,transport,0.5,0.0
2011,transport,0.4,0.2
2011,transport,0.2,1.3
2011,transport,0.0,0.5
2011,transport,0.0,0.1
2011,transport,0.0,0.2
2012,transport,28.9,81.9
2012,transport,28.6,80.7
2012,transport,0.3,1.2
2012,transport,4.9,23.9
2012,transport,2.5,12.0
2012,transport,2.4,11.9
2012,transport,0.7,1.2
2012,transport,0.8,2.8
2012,transport,1.5,9.1
2012,transport,0.3,1.7
2012,transport,0.1,0.5
2012,transport,0.0,0.2
2012,transport,0.2,0.4
2012,transport,0.1,0.0
2012,transport,0.0,0.0
2012,transport,0.2,0.3
2012,transport,0.4,0.4
2012,transport,0.1,2.0
2012,transport,0.2,0.9
2013,transport,25.0,68.6
2013,transport,24.4,67.2
2013,transport,0.6,1.3
2013,transport,7.0,23.0
2013,transport,4.5,10.7
2013,transport,2.5,12.3
2013,transport,0.2,1.4
2013,transport,0.9,2.2
2013,transport,1.6,6.9
2013,transport,0.3,1.4
2013,transport,0.1,0.1
2013,transport,0.3,0.2
2013,transport,0.1,0.1
2013,transport,0.0,0.0
2013,transport,0.1,0.3
2013,transport,0.1,0.2
2013,transport,0.1,0.8
2013,transport,0.2,0.2
2013,transport,0.1,0.7
2014,transport,24.8,69.7
2014,transport,0.2,1.4
2014,transport,6.8,22.9
2014,transport,4.5,11.9
2014,transport,2.3,11.1
2014,transport,0.1,0.7
2014,transport,1.2,3.8
2014,transport,1.1,8.3
2014,transport,0.0,1.5
2014,transport,0.1,0.2
2014,transport,0.0,0.2
2014,transport,0.0,0.0
2014,transport,0.3,0.2
2014,transport,0.0,0.1
2014,transport,0.5,0.1
2014,transport,0.1,0.6
2014,transport,0.0,0.1
2014,transport,0.7,0.4
2015,transport,24.7,62.7
2015,transport,0.3,1.6
2015,transport,7.9,25.8
2015,transport,4.6,12.8
2015,transport,3.3,13.0
2015,transport,0.7,1.4
2015,transport,1.0,2.4
2015,transport,0.8,8.1
2015,transport,0.2,0.7
2015,transport,0.7,0.4
2015,transport,0.0,0.2
2015,transport,0.0,0.1
2015,transport,0.1,0.2
2015,transport,0.0,0.2
2015,transport,0.4,0.7
2015,transport,0.3,0.5
2015,transport,0.0,0.1
2015,transport,0.2,0.5
2016,transport,19.7,72.2
2016,transport,1.5,1.1
2016,transport,8.0,20.0
2016,transport,4.9,9.1
2016,transport,3.0,10.8
2016,transport,0.5,1.0
2016,transport,1.9,3.1
2016,transport,1.4,6.5
2016,transport,0.3,0.5
2016,transport,0.1,0.4
2016,transport,0.1,0.1
2016,transport,0.0,0.5
2016,transport,0.1,0.6
2016,transport,0.0,0.1
2016,transport,0.0,0.3
2016,transport,0.2,1.9
2017,transport,26.1,66.4
2017,transport,4.4,2.0
2017,transport,7.5,21.7
2017,transport,5.3,10.7
2017,transport,2.2,11.1
2017,transport,0.9,2.1
2017,transport,1.5,2.4
2017,transport,1.6,6.9
2017,transport,0.3,1.2
2017,transport,0.3,0.2
2017,transport,0.0,0.5
2017,transport,0.4,0.4
2017,transport,0.4,1.4
2017,transport,0.2,0.3
2017,transport,0.3,0.2
2017,transport,0.0,1.2
2018,transport,28.2,56.0
2018,transport,0.5,2.2
2018,transport,6.9,22.1
2018,transport,4.0,12.8
2018,transport,2.9,9.3
2018,transport,0.5,0.6
2018,transport,1.1,2.4
2018,transport,2.3,9.0
2018,transport,0.0,0.7
2018,transport,0.0,0.6
2018,transport,0.1,0.2
2018,transport,0.0,0.1
2018,transport,0.6,1.1
2018,transport,0.0,0.2
2018,transport,0.0,0.3
2018,transport,0.4,1.5
2019,transport,25.2,54.8
2019,transport,1.5,0.8
2019,transport,9.0,19.6
2019,transport,6.2,9.7
2019,transport,2.8,9.9
2019,transport,1.0,1.5
2019,transport,1.9,3.7
2019,transport,1.9,5.6
2019,transport,0.5,0.7
2019,transport,0.3,1.2
2019,transport,0.1,0.2
2019,transport,0.0,0.4
2019,transport,0.7,0.7
2019,transport,0.2,0.3
2019,transport,0.2,0.1
2019,transport,0.3,1.0
