,year,type,activity,yes,no,place
0,2011,activity,visited friends or family for leisure,11.5,42.4,
1,2011,activity,'special' shopping for items that you do not regularly buy,4.7,8.7,
2,2011,activity,went out for a meal,7.9,31.3,
3,2011,activity,"went on a night out to a bar, pub and/or club",5.8,18.3,
4,2011,activity,"went out for entertainment – to a cinema, concert or theatre",3.7,7.6,
5,2011,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",5.4,20.4,
6,2011,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",1.4,6.7,
7,2011,activity,"took part in sports, including exercise classes, going to the gym",2.2,4.1,
8,2011,activity,watched live sporting event (not on tv),2.3,6.0,
9,2011,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",3.0,8.1,
10,2011,activity,"went to a special public event such as a festival, exhibition, etc.",1.4,5.4,
11,2011,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",1.2,4.1,
12,2011,activity,"went on days out to a beauty/health centre/spa, etc.",1.3,2.2,
13,2011,activity,went on general days out/ to explore an area,4.3,15.9,
14,2011,activity,went on day trips/excursions for another leisure purpose not mentioned above,2.1,6.4,
15,2012,activity,visited friends or family for leisure,11.5,43.9,
16,2012,activity,'special' shopping for items that you do not regularly buy,5.8,15.9,
17,2012,activity,went out for a meal,8.2,34.2,
18,2012,activity,"went on a night out to a bar, pub and/or club",6.0,19.6,
19,2012,activity,"went out for entertainment – to a cinema, concert or theatre",4.2,12.1,
20,2012,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",7.0,22.2,
21,2012,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",2.1,8.4,
22,2012,activity,"took part in sports, including exercise classes, going to the gym",2.1,4.7,
23,2012,activity,watched live sporting event (not on tv),3.8,8.1,
24,2012,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",3.0,9.1,
25,2012,activity,"went to a special public event such as a festival, exhibition, etc.",1.4,4.4,
26,2012,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",1.7,4.6,
27,2012,activity,"went on days out to a beauty/health centre/spa, etc.",0.7,1.0,
28,2012,activity,went on general days out/ to explore an area,5.3,15.0,
29,2012,activity,went on day trips/excursions for another leisure purpose not mentioned above,2.2,7.2,
30,2013,activity,visited friends or family for leisure,10.8,36.4,
31,2013,activity,'special' shopping for items that you do not regularly buy,4.7,12.7,
32,2013,activity,went out for a meal,6.1,27.5,
33,2013,activity,"went on a night out to a bar, pub and/or club",5.2,15.3,
34,2013,activity,"went out for entertainment – to a cinema, concert or theatre",3.6,9.0,
35,2013,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",5.7,19.0,
36,2013,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",2.6,4.5,
37,2013,activity,"took part in sports, including exercise classes, going to the gym",1.9,4.3,
38,2013,activity,watched live sporting event (not on tv),3.3,6.4,
39,2013,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",3.3,9.1,
40,2013,activity,"went to a special public event such as a festival, exhibition, etc.",1.5,4.8,
41,2013,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",1.6,2.8,
42,2013,activity,"went on days out to a beauty/health centre/spa, etc.",0.6,0.5,
43,2013,activity,went on general days out/ to explore an area,5.3,14.2,
44,2013,activity,went on day trips/excursions for another leisure purpose not mentioned above,2.8,7.5,
45,2014,activity,visited friends or family for leisure,11.5,35.5,
46,2014,activity,'special' shopping for items that you do not regularly buy,3.4,16.2,
47,2014,activity,went out for a meal,6.7,29.5,
48,2014,activity,"went on a night out to a bar, pub and/or club",6.4,16.3,
49,2014,activity,"went out for entertainment – to a cinema, concert or theatre",3.3,9.9,
50,2014,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",4.4,20.3,
51,2014,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",2.0,7.7,
52,2014,activity,"took part in sports, including exercise classes, going to the gym",2.3,3.1,
53,2014,activity,watched live sporting event (not on tv),3.1,7.4,
54,2014,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",3.2,9.9,
55,2014,activity,"went to a special public event such as a festival, exhibition, etc.",2.3,6.5,
56,2014,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.3,2.7,
57,2014,activity,"went on days out to a beauty/health centre/spa, etc.",0.5,1.5,
58,2014,activity,went on general days out/ to explore an area,5.0,17.0,
59,2014,activity,went on day trips/excursions for another leisure purpose not mentioned above,2.8,8.9,
60,2015,activity,visited friends or family for leisure,14.1,38.3,
61,2015,activity,'special' shopping for items that you do not regularly buy,5.7,12.7,
62,2015,activity,went out for a meal,10.0,29.6,
63,2015,activity,"went on a night out to a bar, pub and/or club",5.1,17.2,
64,2015,activity,"went out for entertainment – to a cinema, concert or theatre",3.0,10.9,
65,2015,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",5.6,21.6,
66,2015,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",3.6,8.1,
67,2015,activity,"took part in sports, including exercise classes, going to the gym",1.8,6.6,
68,2015,activity,watched live sporting event (not on tv),3.3,10.7,
69,2015,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",5.5,7.0,
70,2015,activity,"went to a special public event such as a festival, exhibition, etc.",2.7,6.6,
71,2015,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",1.1,4.8,
72,2015,activity,"went on days out to a beauty/health centre/spa, etc.",0.4,1.9,
73,2015,activity,went on general days out/ to explore an area,5.7,15.0,
74,2015,activity,went on day trips/excursions for another leisure purpose not mentioned above,3.3,7.0,
75,2016,activity,visited friends or family for leisure,10.6,33.9,
76,2016,activity,'special' shopping for items that you do not regularly buy,5.5,12.3,
77,2016,activity,went out for a meal,8.0,28.2,
78,2016,activity,"went on a night out to a bar, pub and/or club",4.8,15.3,
79,2016,activity,"went out for entertainment – to a cinema, concert or theatre",3.8,9.2,
80,2016,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",5.9,23.6,
81,2016,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",1.7,7.0,
82,2016,activity,"took part in sports, including exercise classes, going to the gym",2.7,5.6,
83,2016,activity,watched live sporting event (not on tv),3.7,8.7,
84,2016,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",3.5,9.3,
85,2016,activity,"went to a special public event such as a festival, exhibition, etc.",1.8,4.5,
86,2016,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",1.4,3.9,
87,2016,activity,"went on days out to a beauty/health centre/spa, etc.",0.7,1.2,
88,2016,activity,went on general days out/ to explore an area,4.4,14.8,
89,2016,activity,went on day trips/excursions for another leisure purpose not mentioned above,2.3,9.4,
90,2017,activity,visited friends or family for leisure,15.9,33.2,
91,2017,activity,'special' shopping for items that you do not regularly buy,7.7,12.9,
92,2017,activity,went out for a meal,8.6,29.9,
93,2017,activity,"went on a night out to a bar, pub and/or club",4.8,18.0,
94,2017,activity,"went out for entertainment – to a cinema, concert or theatre",4.4,10.7,
95,2017,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",8.1,26.5,
96,2017,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",3.7,5.7,
97,2017,activity,"took part in sports, including exercise classes, going to the gym",3.1,7.1,
98,2017,activity,watched live sporting event (not on tv),5.4,6.3,
99,2017,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",4.8,9.6,
100,2017,activity,"went to a special public event such as a festival, exhibition, etc.",3.2,6.8,
101,2017,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",1.3,5.0,
102,2017,activity,"went on days out to a beauty/health centre/spa, etc.",2.2,1.6,
103,2017,activity,went on general days out/ to explore an area,5.3,19.8,
104,2017,activity,went on day trips/excursions for another leisure purpose not mentioned above,2.3,6.8,
105,2018,activity,visited friends or family for leisure,13.8,31.2,
106,2018,activity,'special' shopping for items that you do not regularly buy,6.3,11.2,
107,2018,activity,went out for a meal,11.3,26.2,
108,2018,activity,"went on a night out to a bar, pub and/or club",5.5,13.2,
109,2018,activity,"went out for entertainment – to a cinema, concert or theatre",4.9,8.4,
110,2018,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",7.5,17.8,
111,2018,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",3.0,5.9,
112,2018,activity,"took part in sports, including exercise classes, going to the gym",3.7,4.9,
113,2018,activity,watched live sporting event (not on tv),5.2,6.0,
114,2018,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",5.8,7.9,
115,2018,activity,"went to a special public event such as a festival, exhibition, etc.",1.9,4.8,
116,2018,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",1.4,3.4,
117,2018,activity,"went on days out to a beauty/health centre/spa, etc.",1.3,1.3,
118,2018,activity,went on general days out/ to explore an area,7.6,17.7,
119,2018,activity,went on day trips/excursions for another leisure purpose not mentioned above,3.0,7.2,
120,2019,activity,visited friends or family for leisure,15.0,33.7,
121,2019,activity,'special' shopping for items that you do not regularly buy,6.4,13.2,
122,2019,activity,went out for a meal,7.9,25.3,
123,2019,activity,"went on a night out to a bar, pub and/or club",5.0,12.8,
124,2019,activity,"went out for entertainment – to a cinema, concert or theatre",4.4,8.3,
125,2019,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",8.3,21.6,
126,2019,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",4.9,5.8,
127,2019,activity,"took part in sports, including exercise classes, going to the gym",2.9,4.5,
128,2019,activity,watched live sporting event (not on tv),4.3,8.2,
129,2019,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",5.9,7.1,
130,2019,activity,"went to a special public event such as a festival, exhibition, etc.",2.7,5.6,
131,2019,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.4,3.5,
132,2019,activity,"went on days out to a beauty/health centre/spa, etc.",3.2,1.6,
133,2019,activity,went on general days out/ to explore an area,8.1,15.7,
134,2019,activity,went on day trips/excursions for another leisure purpose not mentioned above,4.1,4.7,
0,2011,place,,16.9,48.1,city/large town
1,2011,place,,10.5,32.9,small town
2,2011,place,,5.5,12.6,village
3,2011,place,,4.0,20.1,rural countryside
4,2011,place,,3.1,6.8,seaside resort or town
5,2011,place,,2.4,4.6,seaside coastline - a beach
6,2011,place,,0.2,1.9,other seaside coastline
7,2011,place,,1.1,2.3,other
8,2012,place,,19.0,56.3,city/large town
9,2012,place,,10.1,33.9,small town
10,2012,place,,4.3,14.2,village
11,2012,place,,5.0,19.3,rural countryside
12,2012,place,,2.0,6.7,seaside resort or town
13,2012,place,,1.9,4.3,seaside coastline - a beach
14,2012,place,,0.3,2.0,other seaside coastline
