year,month,male,female
2011,1,5.5,4.8
2011,2,4.9,4.9
2011,3,4.9,5.0
2011,4,6.1,8.0
2011,5,6.4,8.9
2011,6,6.2,6.0
2011,7,8.7,8.4
2011,8,6.6,10.9
2011,9,5.2,6.7
2011,10,4.7,7.0
2011,11,6.4,6.5
2011,12,5.9,5.8
2012,1,7.8,5.9
2012,2,5.7,7.2
2012,3,4.5,5.6
2012,4,6.4,8.3
2012,5,4.9,8.5
2012,6,5.8,8.0
2012,7,6.1,8.7
2012,8,8.3,8.8
2012,9,5.8,8.4
2012,10,6.3,7.0
2012,11,4.3,6.4
2012,12,6.9,7.9
2013,1,4.5,6.0
2013,2,4.8,6.8
2013,3,5.7,4.8
2013,4,5.2,6.4
2013,5,5.8,7.1
2013,6,5.8,9.1
2013,7,6.0,6.1
2013,8,6.1,6.3
2013,9,6.2,5.7
2013,10,5.5,6.7
2013,11,4.2,5.8
2013,12,6.1,5.6
2014,1,6.0,6.1
2014,2,4.0,4.0
2014,3,4.2,6.1
2014,4,6.2,6.0
2014,5,5.0,4.7
2014,6,6.7,6.9
2014,7,7.7,8.5
2014,8,10.3,8.9
2014,9,5.8,6.2
2014,10,4.7,8.1
2014,11,3.4,4.9
2014,12,5.5,6.3
2015,1,6.0,4.2
2015,2,3.9,4.6
2015,3,4.1,4.6
2015,4,7.0,6.0
2015,5,5.7,3.8
2015,6,7.6,7.0
2015,7,6.4,6.5
2015,8,10.4,8.8
2015,9,6.5,8.2
2015,10,4.7,5.3
2015,11,4.7,4.8
2015,12,4.7,7.4
2016,1,6.7,4.8
2016,2,3.1,4.5
2016,3,5.9,8.5
2016,4,5.9,5.4
2016,5,4.5,7.0
2016,6,3.9,6.2
2016,7,6.3,7.6
2016,8,4.7,8.3
2016,9,6.9,7.2
2016,10,4.8,5.7
2016,11,4.4,6.5
2016,12,5.5,7.7
2017,1,4.5,6.2
2017,2,3.8,5.2
2017,3,7.2,6.6
2017,4,6.0,8.0
2017,5,6.4,6.9
2017,6,5.0,6.7
2017,7,6.0,6.8
2017,8,10.8,8.3
2017,9,5.0,6.0
2017,10,7.1,6.2
2017,11,6.0,4.7
2017,12,5.2,6.6
2018,1,6.0,4.2
2018,2,4.7,5.2
2018,3,4.8,5.6
2018,4,5.4,5.2
2018,5,4.6,5.5
2018,6,6.4,7.2
2018,7,5.4,5.5
2018,8,4.7,6.7
2018,9,5.3,8.4
2018,10,7.7,5.2
2018,11,5.9,5.5
2018,12,6.9,5.6
2019,1,4.4,6.2
2019,2,3.3,5.6
2019,3,5.5,4.3
2019,4,5.4,5.8
2019,5,5.4,5.4
2019,6,6.4,5.0
2019,7,5.7,7.9
2019,8,5.9,8.7
2019,9,5.2,4.9
2019,10,5.1,5.8
2019,11,5.0,5.0
2019,12,4.7,6.8
