year,type,action,male,female
2011,activity,visited friends or family for leisure,22.1,31.9
2011,activity,'special' shopping for items that you do not regularly buy,5.6,7.8
2011,activity,went out for a meal,15.3,23.8
2011,activity,"went on a night out to a bar, pub and/or club",12.9,11.2
2011,activity,"went out for entertainment – to a cinema, concert or theatre",5.0,6.3
2011,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",14.1,11.8
2011,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",4.7,3.5
2011,activity,"took part in sports, including exercise classes, going to the gym",4.2,2.2
2011,activity,watched live sporting event (not on tv),6.0,2.2
2011,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",4.9,6.2
2011,activity,"went to a special public event such as a festival, exhibition, etc.",2.6,4.1
2011,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.7,2.6
2011,activity,"went on days out to a beauty/health centre/spa, etc.",1.4,2.1
2011,activity,went on general days out/ to explore an area,7.7,12.4
2011,activity,went on day trips/excursions for another leisure purpose not mentioned above,3.8,4.8
2012,activity,visited friends or family for leisure,22.6,32.8
2012,activity,'special' shopping for items that you do not regularly buy,6.3,15.4
2012,activity,went out for a meal,15.8,26.6
2012,activity,"went on a night out to a bar, pub and/or club",13.3,12.4
2012,activity,"went out for entertainment – to a cinema, concert or theatre",6.7,9.6
2012,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",16.0,13.2
2012,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",5.7,4.8
2012,activity,"took part in sports, including exercise classes, going to the gym",3.8,3.1
2012,activity,watched live sporting event (not on tv),8.0,3.9
2012,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",3.8,8.3
2012,activity,"went to a special public event such as a festival, exhibition, etc.",2.0,3.8
2012,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.3,4.0
2012,activity,"went on days out to a beauty/health centre/spa, etc.",0.4,1.3
2012,activity,went on general days out/ to explore an area,8.1,12.2
2012,activity,went on day trips/excursions for another leisure purpose not mentioned above,4.2,5.1
2013,activity,visited friends or family for leisure,19.0,28.2
2013,activity,'special' shopping for items that you do not regularly buy,7.1,10.2
2013,activity,went out for a meal,14.4,19.2
2013,activity,"went on a night out to a bar, pub and/or club",13.1,7.4
2013,activity,"went out for entertainment – to a cinema, concert or theatre",6.5,6.1
2013,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",13.9,10.8
2013,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",3.2,4.0
2013,activity,"took part in sports, including exercise classes, going to the gym",4.2,2.0
2013,activity,watched live sporting event (not on tv),6.8,2.8
2013,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",5.3,7.1
2013,activity,"went to a special public event such as a festival, exhibition, etc.",2.5,3.8
2013,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.7,1.7
2013,activity,"went on days out to a beauty/health centre/spa, etc.",0.3,0.8
2013,activity,went on general days out/ to explore an area,9.3,10.1
2013,activity,went on day trips/excursions for another leisure purpose not mentioned above,4.0,6.4
2014,activity,visited friends or family for leisure,18.7,28.3
2014,activity,'special' shopping for items that you do not regularly buy,8.1,11.4
2014,activity,went out for a meal,14.6,21.6
2014,activity,"went on a night out to a bar, pub and/or club",13.3,9.4
2014,activity,"went out for entertainment – to a cinema, concert or theatre",6.4,6.8
2014,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",13.0,11.7
2014,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",5.8,3.8
2014,activity,"took part in sports, including exercise classes, going to the gym",3.3,2.1
2014,activity,watched live sporting event (not on tv),8.1,2.4
2014,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",6.1,7.0
2014,activity,"went to a special public event such as a festival, exhibition, etc.",3.7,5.0
2014,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.1,2.8
2014,activity,"went on days out to a beauty/health centre/spa, etc.",0.9,1.1
2014,activity,went on general days out/ to explore an area,9.8,12.2
2014,activity,went on day trips/excursions for another leisure purpose not mentioned above,4.3,7.4
2015,activity,visited friends or family for leisure,24.1,28.3
2015,activity,'special' shopping for items that you do not regularly buy,7.7,10.8
2015,activity,went out for a meal,17.9,21.8
2015,activity,"went on a night out to a bar, pub and/or club",13.6,8.7
2015,activity,"went out for entertainment – to a cinema, concert or theatre",7.5,6.4
2015,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",14.2,12.9
2015,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",6.6,5.1
2015,activity,"took part in sports, including exercise classes, going to the gym",5.4,3.0
2015,activity,watched live sporting event (not on tv),11.8,2.2
2015,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",5.6,6.9
2015,activity,"went to a special public event such as a festival, exhibition, etc.",3.9,5.3
2015,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",3.4,2.5
2015,activity,"went on days out to a beauty/health centre/spa, etc.",1.1,1.2
2015,activity,went on general days out/ to explore an area,9.6,11.1
2015,activity,went on day trips/excursions for another leisure purpose not mentioned above,6.0,4.3
2016,activity,visited friends or family for leisure,16.3,28.1
2016,activity,'special' shopping for items that you do not regularly buy,7.1,10.7
2016,activity,went out for a meal,14.6,21.6
2016,activity,"went on a night out to a bar, pub and/or club",11.5,8.6
2016,activity,"went out for entertainment – to a cinema, concert or theatre",7.1,5.9
2016,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",13.2,16.2
2016,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",5.6,3.2
2016,activity,"took part in sports, including exercise classes, going to the gym",5.9,2.4
2016,activity,watched live sporting event (not on tv),9.1,3.3
2016,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",6.3,6.4
2016,activity,"went to a special public event such as a festival, exhibition, etc.",2.3,3.9
2016,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.9,2.4
2016,activity,"went on days out to a beauty/health centre/spa, etc.",0.8,1.1
2016,activity,went on general days out/ to explore an area,7.9,11.3
2016,activity,went on day trips/excursions for another leisure purpose not mentioned above,7.7,3.9
2017,activity,visited friends or family for leisure,23.4,25.6
2017,activity,'special' shopping for items that you do not regularly buy,9.0,11.6
2017,activity,went out for a meal,16.1,22.4
2017,activity,"went on a night out to a bar, pub and/or club",13.6,9.2
2017,activity,"went out for entertainment – to a cinema, concert or theatre",7.3,7.8
2017,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",18.1,16.5
2017,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",6.0,3.4
2017,activity,"took part in sports, including exercise classes, going to the gym",6.0,4.2
2017,activity,watched live sporting event (not on tv),8.9,2.8
2017,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",7.3,7.2
2017,activity,"went to a special public event such as a festival, exhibition, etc.",5.0,5.0
2017,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",3.0,3.4
2017,activity,"went on days out to a beauty/health centre/spa, etc.",1.6,2.2
2017,activity,went on general days out/ to explore an area,11.6,13.5
2017,activity,went on day trips/excursions for another leisure purpose not mentioned above,3.5,5.6
2018,activity,visited friends or family for leisure,21.6,23.4
2018,activity,'special' shopping for items that you do not regularly buy,7.1,10.5
2018,activity,went out for a meal,16.0,21.5
2018,activity,"went on a night out to a bar, pub and/or club",11.7,7.0
2018,activity,"went out for entertainment – to a cinema, concert or theatre",7.3,6.0
2018,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",11.6,13.7
2018,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",4.8,4.1
2018,activity,"took part in sports, including exercise classes, going to the gym",5.7,2.9
2018,activity,watched live sporting event (not on tv),7.3,4.0
2018,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",6.0,7.7
2018,activity,"went to a special public event such as a festival, exhibition, etc.",2.8,3.8
2018,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.1,2.7
2018,activity,"went on days out to a beauty/health centre/spa, etc.",0.4,2.1
2018,activity,went on general days out/ to explore an area,11.7,13.6
2018,activity,went on day trips/excursions for another leisure purpose not mentioned above,3.9,6.3
2019,activity,visited friends or family for leisure,19.8,28.9
2019,activity,'special' shopping for items that you do not regularly buy,6.6,13.1
2019,activity,went out for a meal,13.5,19.7
2019,activity,"went on a night out to a bar, pub and/or club",9.3,8.5
2019,activity,"went out for entertainment – to a cinema, concert or theatre",6.6,6.2
2019,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",13.8,16.2
2019,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",4.9,5.7
2019,activity,"took part in sports, including exercise classes, going to the gym",4.2,3.2
2019,activity,watched live sporting event (not on tv),9.1,3.4
2019,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",6.5,6.5
2019,activity,"went to a special public event such as a festival, exhibition, etc.",3.8,4.5
2019,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.4,3.5
2019,activity,"went on days out to a beauty/health centre/spa, etc.",2.2,2.6
2019,activity,went on general days out/ to explore an area,9.7,14.1
2019,activity,went on day trips/excursions for another leisure purpose not mentioned above,3.7,5.1
