year,type,action,male,female
2011,place,city/large town,29.4,35.7
2011,place,small town,20.1,23.3
2011,place,village,8.6,9.4
2011,place,rural countryside,12.2,11.9
2011,place,seaside resort or town,5.0,4.9
2011,place,seaside coastline - a beach,3.4,3.6
2011,place,other seaside coastline,1.3,0.8
2011,place,other,1.5,1.9
2012,place,city/large town,32.5,42.8
2012,place,small town,18.4,25.6
2012,place,village,8.4,10.1
2012,place,rural countryside,11.3,13.1
2012,place,seaside resort or town,3.7,5.0
2012,place,seaside coastline - a beach,2.5,3.7
2012,place,other seaside coastline,1.5,0.8
2012,place,other,1.8,1.7
2013,place,city/large town,31.9,36.5
2013,place,small town,16.7,20.7
2013,place,village,8.5,8.3
2013,place,rural countryside,10.7,10.0
2013,place,seaside resort or town,3.9,4.9
2013,place,seaside coastline - a beach,2.7,2.3
2013,place,other seaside coastline,1.1,1.7
2013,place,other,0.8,1.6
2014,place,city/large town,32.0,36.0
2014,place,small town,19.2,20.6
2014,place,village,6.5,7.6
2014,place,rural countryside,10.7,10.6
2014,place,seaside resort or town,5.5,4.0
2014,place,seaside coastline - a beach,1.8,3.3
2014,place,other seaside coastline,1.4,1.1
2015,place,city/large town,36.2,31.4
2015,place,small town,16.2,20.9
2015,place,village,5.3,7.4
2015,place,rural countryside,9.8,10.0
2015,place,seaside resort or town,4.9,3.7
2015,place,seaside coastline - a beach,2.5,2.2
2015,place,other seaside coastline,1.2,0.6
2016,place,city/large town,28.3,32.9
2016,place,small town,17.0,21.6
2016,place,village,6.9,9.9
2016,place,rural countryside,10.2,11.3
2016,place,seaside resort or town,3.0,4.2
2016,place,seaside coastline - a beach,2.3,2.3
2016,place,other seaside coastline,1.4,0.6
2017,place,city/large town,36.2,33.9
2017,place,small town,18.7,21.3
2017,place,village,11.0,7.7
2017,place,rural countryside,8.9,12.0
2017,place,seaside resort or town,4.6,4.6
2017,place,seaside coastline - a beach,4.6,3.7
2017,place,other seaside coastline,1.3,0.4
2018,place,city/large town,31.2,32.3
2018,place,small town,19.5,18.2
2018,place,village,7.3,8.1
2018,place,rural countryside,8.6,8.5
2018,place,seaside resort or town,3.3,4.4
2018,place,seaside coastline - a beach,2.0,3.3
2018,place,other seaside coastline,1.3,0.6
2019,place,city/large town,28.3,30.5
2019,place,small town,17.1,19.4
2019,place,village,6.8,9.5
2019,place,rural countryside,8.4,10.3
2019,place,seaside resort or town,4.3,4.6
2019,place,seaside coastline - a beach,3.7,3.0
2019,place,other seaside coastline,0.6,0.8
