year,transport,male,female
2011,any car (net),47.0,56.4
2011,car - own/friends/family,45.1,56.0
2011,car - hired,1.9,0.5
2011,public transport (net),11.7,13.9
2011,train,5.9,6.9
2011,a regular bus\coach,5.8,7.0
2011,organised coach tour,1.3,0.9
2011,taxi,3.2,1.6
2011,walked\on foot,4.1,7.7
2011,bicycle,0.5,0.2
2011,minibus,0.4,0.3
2011,motor cycle,0.3,0.3
2011,tube,0.5,0.2
2011,tram,0.5,0.0
2011,motorised caravan\campervan,0.5,0.0
2011,plane,0.7,0.9
2011,boat\ship\ferry,0.1,0.4
2011,lorry\truck\van,0.1,0.1
2011,other,0.2,0.0
2012,any car (net),50.4,60.4
2012,car - own/friends/family,49.5,59.9
2012,car - hired,1.0,0.5
2012,public transport (net),11.1,17.7
2012,train,5.3,9.3
2012,a regular bus\coach,5.8,8.4
2012,organised coach tour,0.7,1.1
2012,taxi,1.7,2.0
2012,walked\on foot,5.2,5.3
2012,bicycle,1.6,0.4
2012,minibus,0.2,0.4
2012,motor cycle,0.1,0.1
2012,tube,0.2,0.3
2012,tram,0.0,0.1
2012,motorised caravan\campervan,0.0,0.0
2012,plane,0.1,0.5
2012,boat\ship\ferry,0.4,0.4
2012,lorry\truck\van,0.7,1.4
2012,other,0.4,0.7
2013,any car (net),41.4,52.2
2013,car - own/friends/family,40.0,51.6
2013,car - hired,1.3,0.6
2013,public transport (net),15.2,14.8
2013,train,8.3,7.0
2013,a regular bus\coach,6.9,7.8
2013,organised coach tour,1.1,0.6
2013,taxi,1.3,1.9
2013,walked\on foot,4.0,4.5
2013,bicycle,1.3,0.4
2013,minibus,0.1,0.2
2013,motor cycle,0.4,0.1
2013,tube,0.1,0.1
2013,tram,0.0,0.0
2013,motorised caravan\campervan,0.2,0.2
2013,plane,0.1,0.1
2013,boat\ship\ferry,0.2,0.7
2013,lorry\truck\van,0.2,0.2
2013,other,0.4,0.4
2014,car - own/friends/family,42.9,51.6
2014,car - hired,1.1,0.5
2014,public transport,15.0,14.8
2014,train,9.7,6.7
2014,a regular bus\coach,5.3,8.0
2014,organised coach tour,0.6,0.2
2014,taxi,2.7,2.2
2014,walked\on foot,4.4,5.0
2014,bicycle,0.9,0.6
2014,minibus,0.0,0.3
2014,motor cycle,0.2,0.0
2014,tube,0.0,0.0
2014,tram,0.3,0.2
2014,motorised caravan\campervan,0.0,0.1
2014,plane,0.6,0.0
2014,boat\ship\ferry,0.2,0.5
2014,lorry\truck\van,0.2,0.0
2014,other,0.4,0.7
2015,car - own/friends/family,42.7,44.7
2015,car - hired,1.2,0.7
2015,public transport,17.3,16.4
2015,train,10.4,7.0
2015,a regular bus\coach,6.9,9.4
2015,organised coach tour,0.8,1.3
2015,taxi,2.2,1.2
2015,walked\on foot,4.2,4.6
2015,bicycle,0.7,0.3
2015,minibus,0.7,0.3
2015,motor cycle,0.0,0.2
2015,tube,0.0,0.1
2015,tram,0.1,0.2
2015,motorised caravan\campervan,0.1,0.1
2015,plane,0.7,0.4
2015,boat\ship\ferry,0.5,0.3
2015,lorry\truck\van,0.0,0.1
2015,other,0.3,0.4
2016,car - own/friends/family,38.1,53.8
2016,car - hired,1.2,1.3
2016,public transport,13.4,14.5
2016,train,7.4,6.7
2016,a regular bus\coach,6.1,7.8
2016,organised coach tour,1.0,0.5
2016,taxi,3.5,1.4
2016,walked\on foot,3.4,4.5
2016,bicycle,0.2,0.6
2016,tube,0.1,0.4
2016,tram,0.0,0.2
2016,motorised caravan\campervan,0.0,0.5
2016,plane,0.2,0.5
2016,boat\ship\ferry,0.0,0.1
2016,lorry\truck\van,0.1,0.2
2016,other,1.1,1.0
2017,car - own/friends/family,41.0,51.6
2017,car - hired,5.8,0.6
2017,public transport,14.9,14.3
2017,train,8.6,7.4
2017,a regular bus\coach,6.3,6.9
2017,organised coach tour,1.6,1.5
2017,taxi,1.8,2.1
2017,walked\on foot,3.1,5.4
2017,bicycle,0.7,0.7
2017,tube,0.4,0.2
2017,tram,0.4,0.2
2017,motorised caravan\campervan,0.6,0.3
2017,plane,1.6,0.1
2017,boat\ship\ferry,0.0,0.5
2017,lorry\truck\van,0.3,0.2
2017,other,0.7,0.4
2018,car - own/friends/family,40.2,44.0
2018,car - hired,2.1,0.6
2018,public transport,14.9,14.1
2018,train,9.1,7.7
2018,a regular bus\coach,5.8,6.4
2018,organised coach tour,0.4,0.7
2018,taxi,2.0,1.5
2018,walked\on foot,5.5,5.8
2018,bicycle,0.6,0.2
2018,tube,0.5,0.1
2018,tram,0.1,0.3
2018,motorised caravan\campervan,0.1,0.0
2018,plane,0.5,1.2
2018,boat\ship\ferry,0.1,0.0
2018,lorry\truck\van,0.2,0.2
2018,other,0.8,1.2
2019,car - own/friends/family,34.2,45.8
2019,car - hired,1.7,0.6
2019,public transport,13.7,14.9
2019,train,8.3,7.5
2019,a regular bus\coach,5.4,7.3
2019,organised coach tour,1.4,1.1
2019,taxi,3.4,2.3
2019,walked\on foot,3.5,4.0
2019,bicycle,0.8,0.4
2019,tube,1.1,0.5
2019,tram,0.2,0.1
2019,motorised caravan\campervan,0.3,0.1
2019,plane,1.0,0.3
2019,boat\ship\ferry,0.1,0.3
2019,lorry\truck\van,0.2,0.1
2019,other,0.6,0.8
