,year,type,activity,male,female,place,transport
0,2011,activity,visited friends or family for leisure,22.1,31.9,,
1,2011,activity,'special' shopping for items that you do not regularly buy,5.6,7.8,,
2,2011,activity,went out for a meal,15.3,23.8,,
3,2011,activity,"went on a night out to a bar, pub and/or club",12.9,11.2,,
4,2011,activity,"went out for entertainment – to a cinema, concert or theatre",5.0,6.3,,
5,2011,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",14.1,11.8,,
6,2011,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",4.7,3.5,,
7,2011,activity,"took part in sports, including exercise classes, going to the gym",4.2,2.2,,
8,2011,activity,watched live sporting event (not on tv),6.0,2.2,,
9,2011,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",4.9,6.2,,
10,2011,activity,"went to a special public event such as a festival, exhibition, etc.",2.6,4.1,,
11,2011,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.7,2.6,,
12,2011,activity,"went on days out to a beauty/health centre/spa, etc.",1.4,2.1,,
13,2011,activity,went on general days out/ to explore an area,7.7,12.4,,
14,2011,activity,went on day trips/excursions for another leisure purpose not mentioned above,3.8,4.8,,
15,2012,activity,visited friends or family for leisure,22.6,32.8,,
16,2012,activity,'special' shopping for items that you do not regularly buy,6.3,15.4,,
17,2012,activity,went out for a meal,15.8,26.6,,
18,2012,activity,"went on a night out to a bar, pub and/or club",13.3,12.4,,
19,2012,activity,"went out for entertainment – to a cinema, concert or theatre",6.7,9.6,,
20,2012,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",16.0,13.2,,
21,2012,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",5.7,4.8,,
22,2012,activity,"took part in sports, including exercise classes, going to the gym",3.8,3.1,,
23,2012,activity,watched live sporting event (not on tv),8.0,3.9,,
24,2012,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",3.8,8.3,,
25,2012,activity,"went to a special public event such as a festival, exhibition, etc.",2.0,3.8,,
26,2012,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.3,4.0,,
27,2012,activity,"went on days out to a beauty/health centre/spa, etc.",0.4,1.3,,
28,2012,activity,went on general days out/ to explore an area,8.1,12.2,,
29,2012,activity,went on day trips/excursions for another leisure purpose not mentioned above,4.2,5.1,,
30,2013,activity,visited friends or family for leisure,19.0,28.2,,
31,2013,activity,'special' shopping for items that you do not regularly buy,7.1,10.2,,
32,2013,activity,went out for a meal,14.4,19.2,,
33,2013,activity,"went on a night out to a bar, pub and/or club",13.1,7.4,,
34,2013,activity,"went out for entertainment – to a cinema, concert or theatre",6.5,6.1,,
35,2013,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",13.9,10.8,,
36,2013,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",3.2,4.0,,
37,2013,activity,"took part in sports, including exercise classes, going to the gym",4.2,2.0,,
38,2013,activity,watched live sporting event (not on tv),6.8,2.8,,
39,2013,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",5.3,7.1,,
40,2013,activity,"went to a special public event such as a festival, exhibition, etc.",2.5,3.8,,
41,2013,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.7,1.7,,
42,2013,activity,"went on days out to a beauty/health centre/spa, etc.",0.3,0.8,,
43,2013,activity,went on general days out/ to explore an area,9.3,10.1,,
44,2013,activity,went on day trips/excursions for another leisure purpose not mentioned above,4.0,6.4,,
45,2014,activity,visited friends or family for leisure,18.7,28.3,,
46,2014,activity,'special' shopping for items that you do not regularly buy,8.1,11.4,,
47,2014,activity,went out for a meal,14.6,21.6,,
48,2014,activity,"went on a night out to a bar, pub and/or club",13.3,9.4,,
49,2014,activity,"went out for entertainment – to a cinema, concert or theatre",6.4,6.8,,
50,2014,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",13.0,11.7,,
51,2014,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",5.8,3.8,,
52,2014,activity,"took part in sports, including exercise classes, going to the gym",3.3,2.1,,
53,2014,activity,watched live sporting event (not on tv),8.1,2.4,,
54,2014,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",6.1,7.0,,
55,2014,activity,"went to a special public event such as a festival, exhibition, etc.",3.7,5.0,,
56,2014,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.1,2.8,,
57,2014,activity,"went on days out to a beauty/health centre/spa, etc.",0.9,1.1,,
58,2014,activity,went on general days out/ to explore an area,9.8,12.2,,
59,2014,activity,went on day trips/excursions for another leisure purpose not mentioned above,4.3,7.4,,
60,2015,activity,visited friends or family for leisure,24.1,28.3,,
61,2015,activity,'special' shopping for items that you do not regularly buy,7.7,10.8,,
62,2015,activity,went out for a meal,17.9,21.8,,
63,2015,activity,"went on a night out to a bar, pub and/or club",13.6,8.7,,
64,2015,activity,"went out for entertainment – to a cinema, concert or theatre",7.5,6.4,,
65,2015,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",14.2,12.9,,
66,2015,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",6.6,5.1,,
67,2015,activity,"took part in sports, including exercise classes, going to the gym",5.4,3.0,,
68,2015,activity,watched live sporting event (not on tv),11.8,2.2,,
