year,month,married,not married
2011,1,7.6,2.6
2011,2,6.0,3.9
2011,3,7.1,2.8
2011,4,9.9,4.2
2011,5,10.2,5.1
2011,6,6.9,5.2
2011,7,10.2,6.9
2011,8,9.6,7.9
2011,9,8.2,3.7
2011,10,8.1,3.6
2011,11,6.7,6.2
2011,12,7.8,3.9
2012,1,9.1,4.5
2012,2,8.6,4.3
2012,3,6.2,4.0
2012,4,10.0,4.7
2012,5,8.1,5.3
2012,6,9.5,4.3
2012,7,9.2,5.5
2012,8,11.7,5.4
2012,9,9.1,5.1
2012,10,7.9,5.4
2012,11,7.0,3.6
2012,12,9.4,5.5
2013,1,6.0,4.5
2013,2,6.3,5.3
2013,3,5.7,4.8
2013,4,6.5,5.1
2013,5,8.6,4.3
2013,6,8.4,6.6
2013,7,7.4,4.7
2013,8,8.3,4.1
2013,9,8.3,3.6
2013,10,8.9,3.3
2013,11,6.0,4.0
2013,12,6.3,5.4
2014,1,6.5,5.6
2014,2,3.5,4.6
2014,3,5.7,4.6
2014,4,7.2,4.9
2014,5,5.2,4.5
2014,6,8.1,5.5
2014,7,10.6,5.5
2014,8,11.0,8.2
2014,9,7.5,4.5
2014,10,7.5,5.4
2014,11,4.9,3.4
2014,12,6.6,5.2
2015,1,5.6,4.6
2015,2,5.4,3.0
2015,3,5.8,2.9
2015,4,7.4,5.6
2015,5,5.4,4.0
2015,6,9.5,5.1
2015,7,6.7,6.2
2015,8,9.4,9.8
2015,9,9.1,5.7
2015,10,6.1,3.9
2015,11,6.1,3.4
2015,12,6.9,5.2
2016,1,6.6,5.0
2016,2,5.0,2.6
2016,3,8.3,6.2
2016,4,7.2,4.1
2016,5,7.1,4.3
2016,6,5.8,4.2
2016,7,8.7,5.3
2016,8,7.5,5.5
2016,9,8.4,5.7
2016,10,6.5,3.9
2016,11,6.3,4.6
2016,12,7.8,5.4
2017,1,5.7,5.0
2017,2,4.4,4.6
2017,3,7.7,6.1
2017,4,7.5,6.5
2017,5,7.0,6.3
2017,6,6.5,5.2
2017,7,7.1,5.7
2017,8,8.4,10.6
2017,9,5.7,5.2
2017,10,8.5,4.7
2017,11,6.2,4.5
2017,12,7.2,4.5
2018,1,6.0,4.2
2018,2,4.7,5.2
2018,3,6.2,4.1
2018,4,5.4,5.2
2018,5,5.5,4.6
2018,6,7.8,5.8
2018,7,6.3,4.6
2018,8,7.3,4.1
2018,9,7.4,6.2
2018,10,7.7,5.2
2018,11,7.8,3.6
2018,12,6.8,5.7
2019,1,5.9,4.8
2019,2,6.1,2.8
2019,3,5.5,4.4
2019,4,6.7,4.5
2019,5,6.0,4.8
2019,6,5.6,5.8
2019,7,7.7,5.9
2019,8,9.4,5.3
2019,9,5.6,4.5
2019,10,6.6,4.3
2019,11,5.3,4.7
2019,12,7.7,3.9
