year,type,action,married,not married
2011,activity,visited friends or family for leisure,33.7,20.3
2011,activity,'special' shopping for items that you do not regularly buy,9.7,3.6
2011,activity,went out for a meal,27.5,11.7
2011,activity,"went on a night out to a bar, pub and/or club",14.4,9.8
2011,activity,"went out for entertainment – to a cinema, concert or theatre",6.8,4.5
2011,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",18.3,7.5
2011,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",2.9,5.3
2011,activity,"took part in sports, including exercise classes, going to the gym",4.0,2.3
2011,activity,watched live sporting event (not on tv),5.3,3.0
2011,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",7.7,3.3
2011,activity,"went to a special public event such as a festival, exhibition, etc.",4.0,2.8
2011,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",3.7,1.5
2011,activity,"went on days out to a beauty/health centre/spa, etc.",2.5,1.0
2011,activity,went on general days out/ to explore an area,12.7,7.5
2011,activity,went on day trips/excursions for another leisure purpose not mentioned above,5.0,3.6
2012,activity,visited friends or family for leisure,33.1,22.3
2012,activity,'special' shopping for items that you do not regularly buy,15.1,6.6
2012,activity,went out for a meal,27.5,14.9
2012,activity,"went on a night out to a bar, pub and/or club",15.7,10.0
2012,activity,"went out for entertainment – to a cinema, concert or theatre",9.1,7.2
2012,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",19.1,10.1
2012,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",6.2,4.3
2012,activity,"took part in sports, including exercise classes, going to the gym",4.7,2.1
2012,activity,watched live sporting event (not on tv),8.4,3.5
2012,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",7.3,4.7
2012,activity,"went to a special public event such as a festival, exhibition, etc.",3.5,2.2
2012,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",3.7,2.6
2012,activity,"went on days out to a beauty/health centre/spa, etc.",0.5,1.1
2012,activity,went on general days out/ to explore an area,12.0,8.3
2012,activity,went on day trips/excursions for another leisure purpose not mentioned above,7.1,2.3
2013,activity,visited friends or family for leisure,28.7,18.5
2013,activity,'special' shopping for items that you do not regularly buy,11.6,5.8
2013,activity,went out for a meal,20.5,13.1
2013,activity,"went on a night out to a bar, pub and/or club",11.9,8.6
2013,activity,"went out for entertainment – to a cinema, concert or theatre",7.3,5.3
2013,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",15.7,9.0
2013,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",3.3,3.8
2013,activity,"took part in sports, including exercise classes, going to the gym",3.3,2.9
2013,activity,watched live sporting event (not on tv),6.1,3.5
2013,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",7.6,4.8
2013,activity,"went to a special public event such as a festival, exhibition, etc.",4.1,2.2
2013,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.8,1.6
2013,activity,"went on days out to a beauty/health centre/spa, etc.",0.8,0.3
2013,activity,went on general days out/ to explore an area,12.9,6.5
2013,activity,went on day trips/excursions for another leisure purpose not mentioned above,6.6,3.8
2014,activity,visited friends or family for leisure,26.0,21.0
2014,activity,'special' shopping for items that you do not regularly buy,11.2,8.4
2014,activity,went out for a meal,22.4,13.7
2014,activity,"went on a night out to a bar, pub and/or club",10.1,12.6
2014,activity,"went out for entertainment – to a cinema, concert or theatre",6.9,6.3
2014,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",13.2,11.6
2014,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",4.8,4.9
2014,activity,"took part in sports, including exercise classes, going to the gym",2.9,2.5
2014,activity,watched live sporting event (not on tv),6.4,4.1
2014,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",8.4,4.7
2014,activity,"went to a special public event such as a festival, exhibition, etc.",5.3,3.4
2014,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",3.2,1.8
2014,activity,"went on days out to a beauty/health centre/spa, etc.",1.4,0.6
2014,activity,went on general days out/ to explore an area,12.8,9.2
2014,activity,went on day trips/excursions for another leisure purpose not mentioned above,7.0,4.6
2015,activity,visited friends or family for leisure,27.2,25.2
2015,activity,'special' shopping for items that you do not regularly buy,12.2,6.2
2015,activity,went out for a meal,23.4,16.2
2015,activity,"went on a night out to a bar, pub and/or club",10.9,11.4
2015,activity,"went out for entertainment – to a cinema, concert or theatre",7.1,6.8
2015,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",16.5,10.6
2015,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",6.0,5.7
2015,activity,"took part in sports, including exercise classes, going to the gym",3.6,4.9
2015,activity,watched live sporting event (not on tv),8.2,5.8
2015,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",7.2,5.3
2015,activity,"went to a special public event such as a festival, exhibition, etc.",5.3,4.0
2015,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",3.3,2.5
2015,activity,"went on days out to a beauty/health centre/spa, etc.",1.1,1.2
