year,type,place,married,not married
2011,place,city/large town,39.3,25.8
2011,place,small town,28.1,15.3
2011,place,village,11.5,6.6
2011,place,rural countryside,16.5,7.6
2011,place,seaside resort or town,6.8,3.1
2011,place,seaside coastline - a beach,4.4,2.6
2011,place,other seaside coastline,1.5,0.7
2011,place,other,2.7,0.7
2012,place,city/large town,45.5,29.8
2012,place,small town,30.1,13.9
2012,place,village,11.8,6.7
2012,place,rural countryside,16.5,7.9
2012,place,seaside resort or town,5.5,3.3
2012,place,seaside coastline - a beach,4.2,2.0
2012,place,other seaside coastline,1.9,0.3
2012,place,other,2.4,1.1
2013,place,city/large town,38.1,30.2
2013,place,small town,24.7,12.7
2013,place,village,11.4,5.3
2013,place,rural countryside,13.6,7.1
2013,place,seaside resort or town,5.4,3.4
2013,place,seaside coastline - a beach,3.7,1.4
2013,place,other seaside coastline,1.8,1.1
2013,place,other,1.3,1.1
2014,place,city/large town,38.8,29.2
2014,place,small town,23.6,16.3
2014,place,village,8.7,5.4
2014,place,rural countryside,12.7,8.6
2014,place,seaside resort or town,5.3,4.2
2014,place,seaside coastline - a beach,3.5,1.6
2014,place,other seaside coastline,0.7,1.8
2015,place,city/large town,35.2,32.3
2015,place,small town,21.9,15.2
2015,place,village,7.7,5.0
2015,place,rural countryside,14.1,5.8
2015,place,seaside resort or town,4.7,3.8
2015,place,seaside coastline - a beach,3.3,1.4
2015,place,other seaside coastline,1.1,0.7
2016,place,city/large town,35.4,25.7
2016,place,small town,23.6,15.0
2016,place,village,9.4,7.4
2016,place,rural countryside,14.0,7.4
2016,place,seaside resort or town,4.8,2.3
2016,place,seaside coastline - a beach,2.7,2.0
2016,place,other seaside coastline,1.0,1.0
2017,place,city/large town,33.5,36.6
2017,place,small town,21.5,18.5
2017,place,village,9.2,9.5
2017,place,rural countryside,12.8,8.2
2017,place,seaside resort or town,5.4,3.8
2017,place,seaside coastline - a beach,5.3,3.0
2017,place,other seaside coastline,0.7,1.0
2018,place,city/large town,36.9,26.6
2018,place,small town,18.6,19.0
2018,place,village,9.3,6.1
2018,place,rural countryside,10.7,6.4
2018,place,seaside resort or town,4.4,3.3
2018,place,seaside coastline - a beach,3.4,1.9
2018,place,other seaside coastline,0.3,1.5
2019,place,city/large town,34.3,24.5
2019,place,small town,22.9,13.6
2019,place,village,8.5,7.8
2019,place,rural countryside,11.7,6.9
2019,place,seaside resort or town,4.8,4.2
2019,place,seaside coastline - a beach,2.9,3.8
2019,place,other seaside coastline,1.0,0.4
