year,type,married,not married
2011,transport,72.3,31.2
2011,transport,71.2,29.9
2011,transport,1.0,1.3
2011,transport,12.1,13.6
2011,transport,6.1,6.7
2011,transport,5.9,6.9
2011,transport,1.5,0.7
2011,transport,3.4,1.4
2011,transport,6.1,5.7
2011,transport,0.3,0.4
2011,transport,0.4,0.3
2011,transport,0.1,0.5
2011,transport,0.3,0.4
2011,transport,0.5,0.0
2011,transport,0.2,0.4
2011,transport,0.8,0.8
2011,transport,0.1,0.4
2011,transport,0.0,0.1
2011,transport,0.2,0.0
2012,transport,79.7,31.2
2012,transport,79.0,30.4
2012,transport,0.7,0.8
2012,transport,12.8,16.0
2012,transport,6.2,8.3
2012,transport,6.6,7.7
2012,transport,1.4,0.4
2012,transport,2.3,1.4
2012,transport,6.0,4.5
2012,transport,1.1,0.9
2012,transport,0.3,0.3
2012,transport,0.0,0.1
2012,transport,0.2,0.3
2012,transport,0.1,0.0
2012,transport,0.0,0.0
2012,transport,0.5,0.0
2012,transport,0.5,0.2
2012,transport,0.3,1.7
2012,transport,0.5,0.6
2013,transport,62.9,30.6
2013,transport,62.1,29.5
2013,transport,0.8,1.2
2013,transport,15.2,14.8
2013,transport,7.5,7.7
2013,transport,7.7,7.1
2013,transport,0.6,1.0
2013,transport,1.5,1.6
2013,transport,4.0,4.5
2013,transport,0.8,1.0
2013,transport,0.1,0.1
2013,transport,0.0,0.5
2013,transport,0.1,0.2
2013,transport,0.0,0.0
2013,transport,0.2,0.2
2013,transport,0.1,0.2
2013,transport,0.6,0.3
2013,transport,0.1,0.3
2013,transport,0.4,0.4
2014,transport,59.4,35.1
2014,transport,0.5,1.1
2014,transport,15.8,13.9
2014,transport,8.8,7.6
2014,transport,7.0,6.3
2014,transport,0.7,0.1
2014,transport,1.8,3.1
2014,transport,4.2,5.3
2014,transport,0.3,1.2
2014,transport,0.1,0.2
2014,transport,0.0,0.1
2014,transport,0.0,0.0
2014,transport,0.3,0.2
2014,transport,0.1,0.0
2014,transport,0.0,0.6
2014,transport,0.6,0.1
2014,transport,0.1,0.1
2014,transport,0.5,0.7
2015,transport,60.7,26.7
2015,transport,0.9,1.0
2015,transport,13.2,20.5
2015,transport,6.9,10.5
2015,transport,6.4,10.0
2015,transport,0.8,1.3
2015,transport,1.1,2.3
2015,transport,3.4,5.4
2015,transport,0.5,0.5
2015,transport,0.8,0.3
2015,transport,0.2,0.0
2015,transport,0.1,0.0
2015,transport,0.1,0.1
2015,transport,0.1,0.1
2015,transport,0.6,0.5
2015,transport,0.5,0.2
2015,transport,0.1,0.0
2015,transport,0.3,0.3
2016,transport,58.9,33.0
2016,transport,1.6,0.9
2016,transport,14.1,13.8
2016,transport,7.1,6.9
2016,transport,7.0,6.9
2016,transport,0.7,0.9
2016,transport,3.3,1.6
2016,transport,3.6,4.3
2016,transport,0.7,0.2
2016,transport,0.3,0.2
2016,transport,0.1,0.1
2016,transport,0.4,0.1
2016,transport,0.4,0.3
2016,transport,0.0,0.1
2016,transport,0.2,0.1
2016,transport,0.7,1.4
2017,transport,55.5,37.0
2017,transport,1.8,4.6
2017,transport,13.8,15.4
2017,transport,7.8,8.2
2017,transport,6.0,7.2
2017,transport,1.6,1.4
2017,transport,2.3,1.6
2017,transport,3.4,5.2
2017,transport,0.6,0.9
2017,transport,0.5,0.1
2017,transport,0.2,0.4
2017,transport,0.8,0.0
2017,transport,0.5,1.2
2017,transport,0.3,0.2
2017,transport,0.1,0.4
2017,transport,0.4,0.7
2018,transport,55.0,29.2
2018,transport,1.5,1.3
2018,transport,12.7,16.3
2018,transport,7.4,9.4
2018,transport,5.3,6.9
2018,transport,0.6,0.5
2018,transport,1.6,1.8
2018,transport,5.0,6.2
2018,transport,0.1,0.6
2018,transport,0.1,0.5
2018,transport,0.2,0.1
2018,transport,0.1,0.1
2018,transport,0.9,0.8
2018,transport,0.1,0.0
2018,transport,0.0,0.3
2018,transport,0.9,1.1
2019,transport,52.2,27.8
2019,transport,1.4,0.9
2019,transport,13.7,14.9
2019,transport,8.2,7.7
2019,transport,5.5,7.3
2019,transport,1.3,1.2
2019,transport,3.0,2.7
2019,transport,3.9,3.7
2019,transport,0.5,0.7
2019,transport,0.4,1.2
2019,transport,0.1,0.2
2019,transport,0.1,0.3
2019,transport,0.5,0.8
2019,transport,0.3,0.2
2019,transport,0.1,0.2
2019,transport,0.7,0.6
