,year,type,activity,married,not married,place
0,2011,activity,visited friends or family for leisure,33.7,20.3,
1,2011,activity,'special' shopping for items that you do not regularly buy,9.7,3.6,
2,2011,activity,went out for a meal,27.5,11.7,
3,2011,activity,"went on a night out to a bar, pub and/or club",14.4,9.8,
4,2011,activity,"went out for entertainment – to a cinema, concert or theatre",6.8,4.5,
5,2011,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",18.3,7.5,
6,2011,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",2.9,5.3,
7,2011,activity,"took part in sports, including exercise classes, going to the gym",4.0,2.3,
8,2011,activity,watched live sporting event (not on tv),5.3,3.0,
9,2011,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",7.7,3.3,
10,2011,activity,"went to a special public event such as a festival, exhibition, etc.",4.0,2.8,
11,2011,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",3.7,1.5,
12,2011,activity,"went on days out to a beauty/health centre/spa, etc.",2.5,1.0,
13,2011,activity,went on general days out/ to explore an area,12.7,7.5,
14,2011,activity,went on day trips/excursions for another leisure purpose not mentioned above,5.0,3.6,
15,2012,activity,visited friends or family for leisure,33.1,22.3,
16,2012,activity,'special' shopping for items that you do not regularly buy,15.1,6.6,
17,2012,activity,went out for a meal,27.5,14.9,
18,2012,activity,"went on a night out to a bar, pub and/or club",15.7,10.0,
19,2012,activity,"went out for entertainment – to a cinema, concert or theatre",9.1,7.2,
20,2012,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",19.1,10.1,
21,2012,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",6.2,4.3,
22,2012,activity,"took part in sports, including exercise classes, going to the gym",4.7,2.1,
23,2012,activity,watched live sporting event (not on tv),8.4,3.5,
24,2012,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",7.3,4.7,
25,2012,activity,"went to a special public event such as a festival, exhibition, etc.",3.5,2.2,
26,2012,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",3.7,2.6,
27,2012,activity,"went on days out to a beauty/health centre/spa, etc.",0.5,1.1,
28,2012,activity,went on general days out/ to explore an area,12.0,8.3,
29,2012,activity,went on day trips/excursions for another leisure purpose not mentioned above,7.1,2.3,
30,2013,activity,visited friends or family for leisure,28.7,18.5,
31,2013,activity,'special' shopping for items that you do not regularly buy,11.6,5.8,
32,2013,activity,went out for a meal,20.5,13.1,
33,2013,activity,"went on a night out to a bar, pub and/or club",11.9,8.6,
34,2013,activity,"went out for entertainment – to a cinema, concert or theatre",7.3,5.3,
35,2013,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",15.7,9.0,
36,2013,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",3.3,3.8,
37,2013,activity,"took part in sports, including exercise classes, going to the gym",3.3,2.9,
38,2013,activity,watched live sporting event (not on tv),6.1,3.5,
39,2013,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",7.6,4.8,
40,2013,activity,"went to a special public event such as a festival, exhibition, etc.",4.1,2.2,
41,2013,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.8,1.6,
42,2013,activity,"went on days out to a beauty/health centre/spa, etc.",0.8,0.3,
43,2013,activity,went on general days out/ to explore an area,12.9,6.5,
44,2013,activity,went on day trips/excursions for another leisure purpose not mentioned above,6.6,3.8,
45,2014,activity,visited friends or family for leisure,26.0,21.0,
46,2014,activity,'special' shopping for items that you do not regularly buy,11.2,8.4,
47,2014,activity,went out for a meal,22.4,13.7,
48,2014,activity,"went on a night out to a bar, pub and/or club",10.1,12.6,
49,2014,activity,"went out for entertainment – to a cinema, concert or theatre",6.9,6.3,
50,2014,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",13.2,11.6,
51,2014,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",4.8,4.9,
52,2014,activity,"took part in sports, including exercise classes, going to the gym",2.9,2.5,
53,2014,activity,watched live sporting event (not on tv),6.4,4.1,
54,2014,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",8.4,4.7,
55,2014,activity,"went to a special public event such as a festival, exhibition, etc.",5.3,3.4,
56,2014,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",3.2,1.8,
57,2014,activity,"went on days out to a beauty/health centre/spa, etc.",1.4,0.6,
58,2014,activity,went on general days out/ to explore an area,12.8,9.2,
59,2014,activity,went on day trips/excursions for another leisure purpose not mentioned above,7.0,4.6,
60,2015,activity,visited friends or family for leisure,27.2,25.2,
61,2015,activity,'special' shopping for items that you do not regularly buy,12.2,6.2,
62,2015,activity,went out for a meal,23.4,16.2,
63,2015,activity,"went on a night out to a bar, pub and/or club",10.9,11.4,
64,2015,activity,"went out for entertainment – to a cinema, concert or theatre",7.1,6.8,
65,2015,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",16.5,10.6,
66,2015,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",6.0,5.7,
67,2015,activity,"took part in sports, including exercise classes, going to the gym",3.6,4.9,
68,2015,activity,watched live sporting event (not on tv),8.2,5.8,
69,2015,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",7.2,5.3,
70,2015,activity,"went to a special public event such as a festival, exhibition, etc.",5.3,4.0,
71,2015,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",3.3,2.5,
72,2015,activity,"went on days out to a beauty/health centre/spa, etc.",1.1,1.2,
73,2015,activity,went on general days out/ to explore an area,13.3,7.4,
74,2015,activity,went on day trips/excursions for another leisure purpose not mentioned above,6.1,4.2,
75,2016,activity,visited friends or family for leisure,25.2,19.3,
76,2016,activity,'special' shopping for items that you do not regularly buy,12.2,5.7,
77,2016,activity,went out for a meal,23.6,12.6,
78,2016,activity,"went on a night out to a bar, pub and/or club",11.4,8.7,
79,2016,activity,"went out for entertainment – to a cinema, concert or theatre",6.5,6.5,
80,2016,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",19.0,10.5,
81,2016,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",3.7,5.0,
82,2016,activity,"took part in sports, including exercise classes, going to the gym",3.8,4.5,
83,2016,activity,watched live sporting event (not on tv),6.1,6.2,
84,2016,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",6.1,6.7,
85,2016,activity,"went to a special public event such as a festival, exhibition, etc.",2.9,3.3,
