year,month,ab,c1,c2,de
2011,january,3.5,2.3,2.8,1.6
2011,february,4.2,2.3,1.3,2.0
2011,march,2.7,3.6,2.1,1.5
2011,april,5.7,4.2,3.1,1.1
2011,may,5.4,5.4,2.9,1.6
2011,june,4.1,3.4,1.8,2.9
2011,july,5.9,7.0,2.7,1.6
2011,august,5.6,5.2,4.1,2.6
2011,september,2.9,3.6,2.7,2.7
2011,october,3.4,4.5,3.1,0.7
2011,november,4.0,5.4,1.8,1.7
2011,december,4.4,4.3,1.4,1.5
2012,january,4.4,5.2,2.3,1.8
2012,february,3.8,5.7,1.8,1.5
2012,march,2.7,4.7,1.6,1.2
2012,april,6.1,4.8,1.5,2.3
2012,may,6.0,4.1,1.6,1.7
2012,june,4.9,4.1,3.3,1.5
2012,july,4.0,5.5,3.3,2.0
2012,august,4.9,6.2,3.7,2.3
2012,september,2.8,5.4,3.6,2.3
2012,october,4.4,3.9,2.8,2.2
2012,november,3.1,3.7,2.0,1.8
2012,december,4.1,4.6,4.1,2.0
2013,january,4.0,2.2,2.8,1.6
2013,february,2.6,3.8,2.0,3.2
2013,march,3.6,3.6,1.5,1.7
2013,april,4.1,3.7,2.1,1.7
2013,may,5.7,2.3,3.2,1.7
2013,june,3.2,5.5,3.2,3.2
2013,july,3.0,4.7,2.4,1.9
2013,august,4.2,4.8,1.6,1.7
2013,september,5.1,3.4,1.9,1.6
2013,october,2.8,4.6,2.1,2.8
2013,november,2.7,3.3,1.9,2.0
2013,december,3.7,4.0,2.1,2.0
2014, ,,,,
2014,total,53.6,46.7,21.0,25.0
2014,january,5.0,2.4,2.7,2.0
2014,february,2.4,1.8,1.3,2.6
2014,march,3.2,4.3,1.5,1.4
2014,april,4.4,4.0,1.7,2.1
2014,may,4.9,2.7,0.8,1.4
2014,june,4.8,4.6,1.8,2.4
2014,july,4.7,4.9,1.8,4.7
2014,august,8.1,8.6,1.2,1.3
2014,september,3.4,4.6,2.4,1.6
2014,october,5.8,3.0,3.1,1.0
2014,november,3.2,2.4,1.2,1.6
2014,december,3.7,3.5,1.5,3.0
2015, ,,,,
2015,total,50.2,52.3,18.7,21.5
2015,january,3.0,5.1,1.2,1.0
2015,february,3.7,2.6,0.8,1.3
2015,march,2.2,3.2,1.6,1.7
2015,april,4.7,5.0,0.9,2.4
2015,may,2.3,3.9,0.8,2.4
2015,june,5.3,4.9,2.3,2.1
2015,july,3.3,5.8,2.3,1.5
2015,august,6.5,6.6,2.7,3.3
2015,september,7.6,4.2,1.5,1.5
2015,october,3.0,3.9,1.8,1.3
2015,november,2.9,2.8,1.6,2.2
2015,december,5.8,4.4,1.1,0.8
2016, ,,,,
2016,total,50.1,41.9,24.8,25.2
2016,january,4.9,1.9,2.0,2.7
2016,february,3.4,1.8,1.0,1.4
2016,march,5.6,4.6,2.0,2.3
2016,april,3.3,5.5,1.2,1.3
2016,may,4.0,2.4,2.6,2.5
2016,june,4.2,2.4,2.1,1.4
2016,july,5.3,4.3,1.8,2.5
2016,august,4.4,3.9,2.7,2.0
2016,september,3.6,3.8,3.7,3.0
2016,october,3.1,4.1,1.3,1.9
2016,november,3.7,2.8,2.2,2.2
2016,december,4.5,4.4,2.3,2.0
2017, ,,,,
2017,total,49.7,42.3,30.6,28.5
2017,january,4.3,3.6,1.4,1.5
2017,february,3.2,2.7,1.5,1.7
2017,march,4.0,4.9,3.0,2.0
2017,april,4.7,3.6,1.9,3.8
2017,may,4.7,2.5,3.3,2.8
2017,june,4.3,3.3,2.8,1.3
2017,july,3.3,4.3,2.8,2.5
2017,august,7.9,5.0,3.2,3.0
2017,september,3.5,2.6,2.0,2.9
2017,october,3.0,3.1,3.1,4.1
2017,november,3.0,3.3,2.3,2.1
2017,december,3.9,3.3,3.5,1.0
2018, ,,,,
2018,total,45.0,39.7,29.3,23.7
2018,january,2.9,4.4,1.6,1.4
2018,february,1.9,2.6,2.4,3.0
2018,march,3.8,2.8,2.0,1.8
2018,april,3.3,3.5,2.6,1.3
2018,may,3.7,2.3,2.9,1.2
2018,june,4.1,4.5,3.0,2.0
2018,july,3.4,3.3,2.7,1.6
2018,august,3.3,4.6,1.8,1.8
2018,september,4.2,2.9,3.4,3.2
2018,october,5.2,3.1,2.9,1.8
2018,november,4.2,3.3,1.9,2.1
2018,december,4.9,2.6,2.4,2.6
2019, ,,,,
2019,total,36.1,35.9,27.1,34.5
2019,january,2.9,2.9,2.8,2.0
2019,february,2.1,2.6,2.2,2.0
2019,march,3.0,3.2,1.1,2.5
2019,april,3.9,3.0,2.1,2.2
2019,may,3.3,3.0,2.2,2.3
2019,june,2.6,4.0,3.0,1.8
2019,july,3.9,2.7,2.3,4.6
2019,august,3.8,3.3,1.8,5.7
2019,september,3.5,2.4,2.0,2.3
2019,october,1.2,3.3,2.8,3.7
2019,november,2.9,2.9,1.4,2.9
2019,december,2.9,2.7,3.4,2.6
