,year,type,activity,ab,c1,c2,de,place
0,2011,activity,visited friends or family for leisure,17.3,18.4,9.8,8.4,
1,2011,activity,'special' shopping for items that you do not regularly buy,5.0,3.3,3.1,2.0,
2,2011,activity,went out for a meal,13.9,11.4,7.3,6.5,
3,2011,activity,"went on a night out to a bar, pub and/or club",8.0,7.8,4.9,3.3,
4,2011,activity,"went out for entertainment – to a cinema, concert or theatre",4.0,3.5,2.1,1.7,
5,2011,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",12.0,6.1,3.9,3.8,
6,2011,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",2.3,2.5,1.8,1.6,
7,2011,activity,"took part in sports, including exercise classes, going to the gym",2.7,1.6,1.0,1.0,
8,2011,activity,watched live sporting event (not on tv),2.5,2.9,1.5,1.3,
9,2011,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",4.4,3.3,2.4,1.0,
10,2011,activity,"went to a special public event such as a festival, exhibition, etc.",2.0,2.1,1.7,0.9,
11,2011,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.4,1.7,0.8,0.3,
12,2011,activity,"went on days out to a beauty/health centre/spa, etc.",1.5,1.0,0.5,0.5,
13,2011,activity,went on general days out/ to explore an area,5.9,7.9,3.6,2.7,
14,2011,activity,went on day trips/excursions for another leisure purpose not mentioned above,2.8,3.4,1.6,0.8,
15,2012,activity,visited friends or family for leisure,19.0,18.0,10.0,8.4,
16,2012,activity,'special' shopping for items that you do not regularly buy,7.3,6.3,5.3,2.9,
17,2012,activity,went out for a meal,13.7,16.1,8.5,4.1,
18,2012,activity,"went on a night out to a bar, pub and/or club",6.5,9.4,6.2,3.6,
19,2012,activity,"went out for entertainment – to a cinema, concert or theatre",4.7,6.8,2.8,2.1,
20,2012,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",9.6,10.4,5.5,3.6,
21,2012,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",3.4,4.3,2.2,0.7,
22,2012,activity,"took part in sports, including exercise classes, going to the gym",2.9,1.8,1.9,0.2,
23,2012,activity,watched live sporting event (not on tv),3.3,3.9,3.2,1.4,
24,2012,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",4.4,4.5,1.7,1.5,
25,2012,activity,"went to a special public event such as a festival, exhibition, etc.",1.7,2.3,1.4,0.4,
26,2012,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.0,1.5,1.5,1.3,
27,2012,activity,"went on days out to a beauty/health centre/spa, etc.",0.4,0.8,0.3,0.2,
28,2012,activity,went on general days out/ to explore an area,7.4,6.4,4.3,2.1,
29,2012,activity,went on day trips/excursions for another leisure purpose not mentioned above,3.3,2.6,2.0,1.5,
30,2013,activity,visited friends or family for leisure,14.0,14.8,8.8,9.6,
31,2013,activity,'special' shopping for items that you do not regularly buy,5.6,5.8,3.4,2.5,
32,2013,activity,went out for a meal,12.4,10.3,5.5,5.4,
33,2013,activity,"went on a night out to a bar, pub and/or club",6.0,7.1,4.3,3.1,
34,2013,activity,"went out for entertainment – to a cinema, concert or theatre",4.4,4.3,1.9,1.9,
35,2013,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",7.2,7.4,5.3,4.8,
36,2013,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",1.9,2.5,0.9,1.9,
37,2013,activity,"took part in sports, including exercise classes, going to the gym",1.8,2.6,1.3,0.6,
38,2013,activity,watched live sporting event (not on tv),2.1,3.2,2.5,1.8,
39,2013,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",3.9,5.4,1.5,1.6,
40,2013,activity,"went to a special public event such as a festival, exhibition, etc.",2.3,2.4,1.1,0.5,
41,2013,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",1.3,1.3,1.0,0.8,
42,2013,activity,"went on days out to a beauty/health centre/spa, etc.",0.3,0.4,0.4,0.0,
43,2013,activity,went on general days out/ to explore an area,7.5,5.9,2.9,3.2,
44,2013,activity,went on day trips/excursions for another leisure purpose not mentioned above,3.2,2.6,1.7,2.9,
45,2014,activity,visited friends or family for leisure,14.7,14.7,7.4,10.2,
46,2014,activity,'special' shopping for items that you do not regularly buy,7.3,5.3,3.0,4.0,
47,2014,activity,went out for a meal,12.7,12.4,4.9,6.2,
48,2014,activity,"went on a night out to a bar, pub and/or club",7.9,6.3,4.3,4.2,
49,2014,activity,"went out for entertainment – to a cinema, concert or theatre",4.8,3.5,1.6,3.3,
50,2014,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",8.1,8.9,3.4,4.4,
51,2014,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",4.8,1.9,1.6,1.4,
52,2014,activity,"took part in sports, including exercise classes, going to the gym",2.1,1.3,0.7,1.3,
53,2014,activity,watched live sporting event (not on tv),3.8,2.5,1.9,2.2,
54,2014,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",4.6,3.5,1.8,3.2,
55,2014,activity,"went to a special public event such as a festival, exhibition, etc.",4.3,2.2,0.5,1.7,
56,2014,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",1.3,1.7,0.7,1.3,
57,2014,activity,"went on days out to a beauty/health centre/spa, etc.",0.6,0.4,0.3,0.6,
58,2014,activity,went on general days out/ to explore an area,8.1,6.4,2.4,5.1,
59,2014,activity,went on day trips/excursions for another leisure purpose not mentioned above,4.8,2.7,1.0,3.2,
60,2015,activity,visited friends or family for leisure,16.3,20.9,7.0,8.2,
61,2015,activity,'special' shopping for items that you do not regularly buy,6.6,5.6,2.8,3.4,
62,2015,activity,went out for a meal,14.7,15.2,4.5,5.2,
63,2015,activity,"went on a night out to a bar, pub and/or club",7.4,8.6,2.1,4.2,
64,2015,activity,"went out for entertainment – to a cinema, concert or theatre",5.3,5.0,1.1,2.6,
65,2015,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",9.0,8.2,5.2,4.8,
66,2015,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",3.3,4.5,1.5,2.4,
67,2015,activity,"took part in sports, including exercise classes, going to the gym",2.7,2.2,1.7,1.8,
68,2015,activity,watched live sporting event (not on tv),5.6,2.9,2.5,3.0,
69,2015,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",4.6,3.2,1.9,2.8,
70,2015,activity,"went to a special public event such as a festival, exhibition, etc.",3.0,3.8,0.8,1.7,
