year,month,a,b,c1,c2,d,e
2016,january,58.2,220.5,102.4,102.5,11.7,21.2
2016,february,49.0,395.4,229.2,134.0,22.6,10.6
2016,march,84.3,411.9,328.7,182.4,104.8,13.7
2016,april,104.0,412.1,211.3,180.3,66.9,36.0
2016,may,74.2,318.4,311.1,358.8,72.9,55.1
2016,june,79.7,339.0,221.9,135.3,71.2,24.2
2016,july,56.0,451.9,349.6,126.6,64.3,48.9
2016,august,79.7,526.6,414.3,187.6,94.0,41.1
2016,september,57.3,203.8,208.2,188.9,73.5,44.1
2016,october,48.2,317.3,291.5,151.1,86.1,51.2
2016,november,53.6,153.1,293.0,174.0,136.1,4.0
2016,december,70.2,357.5,309.7,147.9,68.9,28.4
