month,a,b,c1,c2,d,e
january-2019,116.7,172.1,197.0,85.8,23.1,4.0
february-2019,144.1,304.2,290.7,116.8,73.7,24.1
march-2019,134.5,366.9,328.2,136.4,53.5,42.6
april-2019,185.5,628.0,243.6,210.1,76.6,84.1
may-2019,81.2,413.0,354.3,233.5,66.8,56.4
june-2019,100.2,323.7,245.7,188.0,69.4,25.7
july-2019,254.2,773.0,406.2,325.0,114.3,43.3
august-2019,189.0,566.4,501.5,230.4,152.0,28.5
september-2019,99.6,263.7,310.5,170.0,63.8,39.7
october-2019,118.6,355.9,258.4,167.8,56.1,36.8
november-2019,68.8,335.3,346.4,113.1,72.3,20.5
december-2019,45.3,422.7,471.8,78.7,51.3,59.2
