"month","total","male","female","16-24","25-34","35-44","45-54","55-64","65+","yes","no","a","b","c1","c2","d","e",
"jan 2006","720","409","312","65","110","171","148","115","111","225","495","34","210","256","102","80","38",
"feb 2006","859","504","355","106","182","271","130","88","83","314","545","20","211","248","257","75","48",
"mar 2006","807","445","362","99","121","177","147","139","124","243","564","66","227","233","133","83","65",
"apr 2006","1208","570","639","104","241","419","131","177","135","486","722","66","342","445","100","151","105",
"may 2006","982","586","396","79","108","276","208","170","141","304","678","55","319","254","207","77","69",
"jun 2006","1240","706","535","123","209","383","212","131","182","401","839","38","279","441","268","125","89",
"jul 2006","1274","536","738","133","253","244","312","186","146","425","849","50","326","374","307","125","91",
"aug 2006","1627","808","819","211","333","389","306","172","216","612","1015","69","401","548","273","205","131",
"sep 2006","1146","649","496","118","269","181","213","199","166","310","835","59","225","403","184","167","108",
"oct 2006","1136","682","455","82","124","415","161","229","125","433","704","158","317","345","177","65","75",
"nov 2006","798","338","460","114","106","243","96","77","162","248","550","83","228","220","127","85","54",
"dec 2006","1102","589","513","205","98","369","173","74","183","303","799","82","401","340","68","147","63",
