year,month,employed/self-employed (full or part time),in full or part time education,unemployed/not working
2011,january,5.7,1.0,3.6
2011,february,6.5,1.1,2.4
2011,march,6.2,0.6,3.2
2011,april,9.1,1.0,4.2
2011,may,8.6,2.1,4.8
2011,june,6.3,1.5,4.8
2011,july,10.8,3.5,3.3
2011,august,10.9,2.5,4.8
2011,september,8.3,1.4,2.2
2011,october,8.1,0.8,2.8
2011,november,9.2,1.1,2.7
2011,december,11.1,0.5,0.3
2012,january,12.4,0.3,1.1
2012,february,9.5,0.1,3.3
2012,march,8.7,0.7,0.9
2012,april,12.2,0.1,2.4
2012,may,8.1,0.8,4.6
2012,june,10.3,0.9,2.9
2012,july,9.0,2.2,5.0
2012,august,11.4,0.7,5.2
2012,september,9.7,0.7,3.7
2012,october,8.0,1.6,3.9
2012,november,5.3,1.2,4.2
2012,december,8.4,1.7,5.3
2013,january,6.6,2.0,3.2
2013,february,5.7,1.6,4.6
2013,march,6.5,1.0,3.4
2013,april,6.5,1.8,3.5
2013,may,7.6,1.5,4.1
2013,june,7.4,1.4,6.2
2013,july,6.8,1.6,4.0
2013,august,7.4,1.2,4.1
2013,september,6.4,0.2,5.3
2013,october,5.8,0.4,6.1
2013,november,4.8,1.4,4.1
2013,december,6.8,0.7,4.5
2014, ,,,
2014,total,82.7,12.4,12.7
2014,january,8.0,0.5,0.6
2014,february,5.0,0.7,0.9
2014,march,6.1,0.6,0.6
2014,april,6.7,1.7,1.2
2014,may,5.1,1.1,1.6
2014,june,6.9,1.3,1.4
2014,july,9.9,1.0,1.5
2014,august,11.3,2.4,0.6
2014,september,6.4,1.5,1.2
2014,october,5.8,0.8,1.7
2014,november,4.4,0.3,0.5
2014,december,7.2,0.6,1.0
2015, ,,,
2015,total,77.2,16.0,16.7
2015,january,5.6,1.0,1.7
2015,february,4.9,0.6,0.4
2015,march,5.1,0.5,0.9
2015,april,6.5,1.9,0.8
2015,may,4.8,0.9,1.5
2015,june,8.6,1.4,1.7
2015,july,6.9,1.6,2.1
2015,august,8.9,3.7,2.7
2015,september,8.3,1.5,1.0
2015,october,5.7,1.0,1.2
2015,november,4.3,0.6,2.0
2015,december,7.7,1.4,0.7
2016, ,,,
2016,total,78.1,16.8,10.8
2016,january,6.5,3.5,1.2
2016,february,3.3,0.6,0.6
2016,march,8.7,0.8,1.6
2016,april,6.6,0.7,1.1
2016,may,6.8,1.1,0.6
2016,june,5.3,1.3,0.5
2016,july,7.3,1.5,1.1
2016,august,6.5,1.7,0.8
2016,september,8.9,1.3,1.5
2016,october,5.4,0.7,0.7
2016,november,5.7,1.6,0.5
2016,december,7.1,2.1,0.9
2017, ,,,
2017,total,88.1,16.4,16.1
2017,january,6.8,1.2,0.8
2017,february,5.2,0.8,1.3
2017,march,7.4,2.6,0.7
2017,april,8.7,0.8,2.4
2017,may,7.9,1.6,1.5
2017,june,5.6,1.1,1.7
2017,july,6.6,1.4,1.5
2017,august,11.8,2.0,1.9
2017,september,5.9,1.0,1.6
2017,october,7.8,1.1,1.1
2017,november,7.2,0.9,0.7
2017,december,7.2,1.9,0.8
2018, ,,,
2018,total,77.2,14.8,15.2
2018,january,5.6,1.9,0.9
2018,february,4.5,1.1,1.9
2018,march,5.6,1.4,1.0
2018,april,7.1,1.2,0.5
2018,may,5.6,1.1,1.4
2018,june,6.8,0.9,2.0
2018,july,6.2,1.2,1.4
2018,august,6.0,0.8,1.1
2018,september,7.4,2.0,1.0
2018,october,8.7,0.7,1.4
2018,november,6.9,0.9,0.7
2018,december,6.8,1.5,1.9
2019, ,,,
2019,total,74.4,13.6,16.7
2019,january,5.7,1.3,1.0
2019,february,5.2,0.6,0.9
2019,march,5.9,0.7,2.1
2019,april,6.3,0.4,1.2
2019,may,5.8,1.0,1.3
2019,june,5.6,2.8,0.9
2019,july,6.9,1.5,1.9
2019,august,8.0,1.1,1.5
2019,september,4.8,1.7,1.0
2019,october,6.7,1.0,1.6
2019,november,5.5,0.8,2.1
2019,december,7.9,0.7,1.3
