year,type,action,employed/self-employed (full or part time),in full or part time education,unemployed/not working
2011,activity,visited friends or family for leisure,32.2,7.3,15.6
2011,activity,'special' shopping for items that you do not regularly buy,9.8,1.1,2.6
2011,activity,went out for a meal,23.2,3.3,13.1
2011,activity,"went on a night out to a bar, pub and/or club",17.0,3.6,4.0
2011,activity,"went out for entertainment – to a cinema, concert or theatre",7.4,2.0,2.0
2011,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",17.0,1.6,7.5
2011,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",5.2,1.3,1.9
2011,activity,"took part in sports, including exercise classes, going to the gym",4.4,0.5,1.6
2011,activity,watched live sporting event (not on tv),5.9,0.7,1.7
2011,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",7.8,1.1,2.5
2011,activity,"went to a special public event such as a festival, exhibition, etc.",4.3,0.6,2.0
2011,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",4.0,0.2,1.1
2011,activity,"went on days out to a beauty/health centre/spa, etc.",2.9,0.2,0.4
2011,activity,went on general days out/ to explore an area,13.1,1.6,5.9
2011,activity,went on day trips/excursions for another leisure purpose not mentioned above,5.0,1.1,2.7
2012,activity,visited friends or family for leisure,38.4,4.4,14.1
2012,activity,'special' shopping for items that you do not regularly buy,14.2,1.9,5.9
2012,activity,went out for a meal,30.0,2.4,10.9
2012,activity,"went on a night out to a bar, pub and/or club",20.2,1.9,3.9
2012,activity,"went out for entertainment – to a cinema, concert or theatre",10.6,1.5,4.2
2012,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",19.8,3.0,7.6
2012,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",7.5,0.9,2.2
2012,activity,"took part in sports, including exercise classes, going to the gym",5.5,0.5,0.8
2012,activity,watched live sporting event (not on tv),9.1,0.9,2.0
2012,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",7.7,0.8,4.0
2012,activity,"went to a special public event such as a festival, exhibition, etc.",4.5,0.4,1.0
2012,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",4.2,0.3,1.7
2012,activity,"went on days out to a beauty/health centre/spa, etc.",1.2,0.2,0.3
2012,activity,went on general days out/ to explore an area,14.0,2.4,4.6
2012,activity,went on day trips/excursions for another leisure purpose not mentioned above,5.5,1.5,2.4
2013,activity,visited friends or family for leisure,24.6,4.4,19.0
2013,activity,'special' shopping for items that you do not regularly buy,9.0,0.9,7.5
2013,activity,went out for a meal,17.3,4.0,13.4
2013,activity,"went on a night out to a bar, pub and/or club",13.9,2.8,4.8
2013,activity,"went out for entertainment – to a cinema, concert or theatre",6.8,2.0,3.9
2013,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",14.6,1.5,8.9
2013,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",4.6,0.8,2.0
2013,activity,"took part in sports, including exercise classes, going to the gym",3.5,1.1,1.6
2013,activity,watched live sporting event (not on tv),6.3,1.3,2.5
2013,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",6.5,2.0,4.2
2013,activity,"went to a special public event such as a festival, exhibition, etc.",4.2,0.2,2.0
2013,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",3.5,0.1,0.8
2013,activity,"went on days out to a beauty/health centre/spa, etc.",0.8,0.2,0.1
2013,activity,went on general days out/ to explore an area,11.2,1.9,7.2
2013,activity,went on day trips/excursions for another leisure purpose not mentioned above,6.0,0.3,4.2
2014,activity,visited friends or family for leisure,24.6,4.6,3.1
2014,activity,'special' shopping for items that you do not regularly buy,12.0,0.4,1.6
2014,activity,went out for a meal,21.7,1.6,1.4
2014,activity,"went on a night out to a bar, pub and/or club",16.3,1.6,1.8
2014,activity,"went out for entertainment – to a cinema, concert or theatre",9.0,1.3,0.9
2014,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",13.6,3.0,2.7
2014,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",7.2,0.4,0.4
2014,activity,"took part in sports, including exercise classes, going to the gym",3.5,0.4,0.6
2014,activity,watched live sporting event (not on tv),6.6,0.7,0.9
2014,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",7.7,1.6,1.5
2014,activity,"went to a special public event such as a festival, exhibition, etc.",5.5,0.7,0.4
2014,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",3.2,0.6,0.5
2014,activity,"went on days out to a beauty/health centre/spa, etc.",1.0,0.7,0.1
