year,type,employed/self-employed (full or part time),in full or part time education,unemployed/not working
2011,transport,68.9,7.4,28.3
2011,transport,66.6,7.3,28.3
2011,transport,2.2,0.0,0.1
2011,transport,15.5,5.2,5.5
2011,transport,9.6,1.8,1.8
2011,transport,5.9,3.4,3.7
2011,transport,1.4,0.3,0.5
2011,transport,2.7,1.1,1.1
2011,transport,8.2,1.5,2.7
2011,transport,0.5,0.2,0.0
2011,transport,0.2,0.3,0.3
2011,transport,0.5,0.3,0.1
2011,transport,0.6,0.2,0.1
2011,transport,0.5,0.0,0.0
2011,transport,0.2,0.4,0.0
2011,transport,1.4,0.3,0.2
2011,transport,0.2,0.0,0.3
2011,transport,0.2,0.0,0.0
2011,transport,0.1,0.0,0.1
2012,transport,76.3,5.5,30.0
2012,transport,75.3,5.1,29.8
2012,transport,1.0,0.3,0.2
2012,transport,18.8,2.4,8.1
2012,transport,10.7,1.1,3.1
2012,transport,8.1,1.3,5.0
2012,transport,0.8,0.2,0.9
2012,transport,2.7,0.3,0.6
2012,transport,7.7,1.1,2.0
2012,transport,1.7,0.5,0.2
2012,transport,0.5,0.0,0.0
2012,transport,0.2,0.0,0.0
2012,transport,0.5,0.0,0.0
2012,transport,0.1,0.0,0.0
2012,transport,0.0,0.0,0.0
2012,transport,0.5,0.0,0.1
2012,transport,0.6,0.0,0.1
2012,transport,2.0,1.0,0.0
2012,transport,0.6,0.1,0.5
2013,transport,51.2,7.2,36.6
2013,transport,49.6,7.0,36.3
2013,transport,1.6,0.3,0.3
2013,transport,16.4,4.7,10.9
2013,transport,9.7,3.4,3.6
2013,transport,6.7,1.2,7.4
2013,transport,0.8,0.3,0.5
2013,transport,1.7,0.4,1.1
2013,transport,5.3,1.2,2.4
2013,transport,1.2,0.3,0.3
2013,transport,0.2,0.1,0.0
2013,transport,0.2,0.3,0.0
2013,transport,0.1,0.0,0.1
2013,transport,0.0,0.0,0.0
2013,transport,0.1,0.1,0.2
2013,transport,0.1,0.0,0.2
2013,transport,0.6,0.0,0.3
2013,transport,0.0,0.2,0.1
2013,transport,0.3,0.2,0.4
2014,transport,53.3,5.7,7.1
2014,transport,1.4,0.0,0.2
2014,transport,16.8,3.0,2.3
2014,transport,10.3,2.3,1.2
2014,transport,6.5,0.6,1.1
2014,transport,0.5,0.0,0.1
2014,transport,2.7,0.9,0.9
2014,transport,4.6,2.4,1.2
2014,transport,0.9,0.3,0.2
2014,transport,0.3,0.1,0.0
2014,transport,0.2,0.0,0.0
2014,transport,0.1,0.0,0.0
2014,transport,0.5,0.0,0.0
2014,transport,0.0,0.0,0.0
2014,transport,0.5,0.0,0.1
2014,transport,0.6,0.0,0.0
2014,transport,0.1,0.0,0.0
2014,transport,0.3,0.1,0.6
2015,transport,47.1,6.0,9.7
2015,transport,1.4,0.1,0.4
2015,transport,18.7,6.4,3.7
2015,transport,9.8,4.0,1.8
2015,transport,8.9,2.4,1.9
2015,transport,0.6,0.6,0.0
2015,transport,2.2,0.8,0.2
2015,transport,4.3,1.7,2.1
2015,transport,0.4,0.3,0.2
2015,transport,0.8,0.0,0.0
2015,transport,0.0,0.0,0.0
2015,transport,0.1,0.0,0.0
2015,transport,0.2,0.0,0.0
2015,transport,0.0,0.0,0.1
2015,transport,0.8,0.0,0.0
2015,transport,0.3,0.0,0.0
2015,transport,0.0,0.0,0.0
2015,transport,0.3,0.1,0.2
2016,transport,50.2,10.1,7.1
2016,transport,1.7,0.6,0.2
2016,transport,14.7,3.0,2.7
2016,transport,8.3,1.5,1.9
2016,transport,6.4,1.5,0.8
2016,transport,0.4,0.6,0.0
2016,transport,3.9,0.5,0.0
2016,transport,4.6,1.1,0.4
2016,transport,0.5,0.0,0.1
2016,transport,0.3,0.1,0.0
2016,transport,0.2,0.0,0.0
2016,transport,0.2,0.1,0.0
2016,transport,0.4,0.1,0.0
2016,transport,0.0,0.1,0.0
2016,transport,0.1,0.0,0.1
2016,transport,1.0,0.6,0.1
2017,transport,54.4,7.9,9.3
2017,transport,5.6,0.4,0.1
2017,transport,15.3,4.0,3.7
2017,transport,8.7,2.6,2.5
2017,transport,6.6,1.4,1.2
2017,transport,1.7,0.3,0.2
2017,transport,2.3,0.5,0.6
2017,transport,4.8,2.0,0.8
2017,transport,0.4,0.4,0.5
2017,transport,0.5,0.1,0.0
2017,transport,0.2,0.3,0.0
2017,transport,0.4,0.0,0.0
2017,transport,1.5,0.2,0.1
2017,transport,0.2,0.1,0.2
2017,transport,0.1,0.0,0.3
2017,transport,0.6,0.1,0.3
2018,transport,49.1,5.4,9.6
2018,transport,1.8,0.9,0.0
2018,transport,14.9,5.1,3.4
2018,transport,10.1,3.3,1.8
2018,transport,4.8,1.9,1.5
2018,transport,0.5,0.2,0.3
2018,transport,2.1,0.3,0.7
2018,transport,6.0,1.9,0.9
2018,transport,0.2,0.4,0.1
2018,transport,0.5,0.0,0.0
2018,transport,0.2,0.1,0.0
2018,transport,0.1,0.0,0.0
2018,transport,0.8,0.2,0.1
2018,transport,0.1,0.0,0.0
2018,transport,0.1,0.2,0.0
2018,transport,0.9,0.1,0.2
2019,transport,45.0,5.1,9.4
2019,transport,1.3,0.6,0.2
2019,transport,15.5,3.2,5.4
2019,transport,9.9,2.0,2.2
2019,transport,5.6,1.1,3.2
2019,transport,1.5,0.5,0.2
2019,transport,4.3,0.6,0.4
2019,transport,3.6,1.7,0.6
2019,transport,0.8,0.3,0.0
2019,transport,0.2,1.0,0.0
2019,transport,0.3,0.0,0.0
2019,transport,0.3,0.1,0.0
2019,transport,0.6,0.5,0.1
2019,transport,0.3,0.0,0.1
2019,transport,0.2,0.0,0.1
2019,transport,0.5,0.0,0.1
