,year,type,activity,employed/self-employed (full or part time),in full or part time education,unemployed/not working,place
0,2011,activity,visited friends or family for leisure,32.2,7.3,15.6,
1,2011,activity,'special' shopping for items that you do not regularly buy,9.8,1.1,2.6,
2,2011,activity,went out for a meal,23.2,3.3,13.1,
3,2011,activity,"went on a night out to a bar, pub and/or club",17.0,3.6,4.0,
4,2011,activity,"went out for entertainment – to a cinema, concert or theatre",7.4,2.0,2.0,
5,2011,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",17.0,1.6,7.5,
6,2011,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",5.2,1.3,1.9,
7,2011,activity,"took part in sports, including exercise classes, going to the gym",4.4,0.5,1.6,
8,2011,activity,watched live sporting event (not on tv),5.9,0.7,1.7,
9,2011,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",7.8,1.1,2.5,
10,2011,activity,"went to a special public event such as a festival, exhibition, etc.",4.3,0.6,2.0,
11,2011,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",4.0,0.2,1.1,
12,2011,activity,"went on days out to a beauty/health centre/spa, etc.",2.9,0.2,0.4,
13,2011,activity,went on general days out/ to explore an area,13.1,1.6,5.9,
14,2011,activity,went on day trips/excursions for another leisure purpose not mentioned above,5.0,1.1,2.7,
15,2012,activity,visited friends or family for leisure,38.4,4.4,14.1,
16,2012,activity,'special' shopping for items that you do not regularly buy,14.2,1.9,5.9,
17,2012,activity,went out for a meal,30.0,2.4,10.9,
18,2012,activity,"went on a night out to a bar, pub and/or club",20.2,1.9,3.9,
19,2012,activity,"went out for entertainment – to a cinema, concert or theatre",10.6,1.5,4.2,
20,2012,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",19.8,3.0,7.6,
21,2012,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",7.5,0.9,2.2,
22,2012,activity,"took part in sports, including exercise classes, going to the gym",5.5,0.5,0.8,
23,2012,activity,watched live sporting event (not on tv),9.1,0.9,2.0,
24,2012,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",7.7,0.8,4.0,
25,2012,activity,"went to a special public event such as a festival, exhibition, etc.",4.5,0.4,1.0,
26,2012,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",4.2,0.3,1.7,
27,2012,activity,"went on days out to a beauty/health centre/spa, etc.",1.2,0.2,0.3,
28,2012,activity,went on general days out/ to explore an area,14.0,2.4,4.6,
29,2012,activity,went on day trips/excursions for another leisure purpose not mentioned above,5.5,1.5,2.4,
30,2013,activity,visited friends or family for leisure,24.6,4.4,19.0,
31,2013,activity,'special' shopping for items that you do not regularly buy,9.0,0.9,7.5,
32,2013,activity,went out for a meal,17.3,4.0,13.4,
33,2013,activity,"went on a night out to a bar, pub and/or club",13.9,2.8,4.8,
34,2013,activity,"went out for entertainment – to a cinema, concert or theatre",6.8,2.0,3.9,
35,2013,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",14.6,1.5,8.9,
36,2013,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",4.6,0.8,2.0,
37,2013,activity,"took part in sports, including exercise classes, going to the gym",3.5,1.1,1.6,
38,2013,activity,watched live sporting event (not on tv),6.3,1.3,2.5,
39,2013,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",6.5,2.0,4.2,
40,2013,activity,"went to a special public event such as a festival, exhibition, etc.",4.2,0.2,2.0,
41,2013,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",3.5,0.1,0.8,
42,2013,activity,"went on days out to a beauty/health centre/spa, etc.",0.8,0.2,0.1,
43,2013,activity,went on general days out/ to explore an area,11.2,1.9,7.2,
44,2013,activity,went on day trips/excursions for another leisure purpose not mentioned above,6.0,0.3,4.2,
45,2014,activity,visited friends or family for leisure,24.6,4.6,3.1,
46,2014,activity,'special' shopping for items that you do not regularly buy,12.0,0.4,1.6,
47,2014,activity,went out for a meal,21.7,1.6,1.4,
48,2014,activity,"went on a night out to a bar, pub and/or club",16.3,1.6,1.8,
49,2014,activity,"went out for entertainment – to a cinema, concert or theatre",9.0,1.3,0.9,
50,2014,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",13.6,3.0,2.7,
51,2014,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",7.2,0.4,0.4,
52,2014,activity,"took part in sports, including exercise classes, going to the gym",3.5,0.4,0.6,
53,2014,activity,watched live sporting event (not on tv),6.6,0.7,0.9,
54,2014,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",7.7,1.6,1.5,
55,2014,activity,"went to a special public event such as a festival, exhibition, etc.",5.5,0.7,0.4,
56,2014,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",3.2,0.6,0.5,
57,2014,activity,"went on days out to a beauty/health centre/spa, etc.",1.0,0.7,0.1,
58,2014,activity,went on general days out/ to explore an area,12.1,2.8,1.4,
59,2014,activity,went on day trips/excursions for another leisure purpose not mentioned above,6.6,1.6,0.6,
60,2015,activity,visited friends or family for leisure,25.5,6.0,8.6,
61,2015,activity,'special' shopping for items that you do not regularly buy,9.8,1.7,2.9,
62,2015,activity,went out for a meal,21.3,3.4,4.0,
63,2015,activity,"went on a night out to a bar, pub and/or club",13.3,3.6,2.9,
64,2015,activity,"went out for entertainment – to a cinema, concert or theatre",8.7,2.1,1.9,
65,2015,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",13.9,3.3,4.1,
66,2015,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",6.9,2.2,1.4,
67,2015,activity,"took part in sports, including exercise classes, going to the gym",4.8,2.3,0.3,
68,2015,activity,watched live sporting event (not on tv),9.8,1.7,1.0,
69,2015,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",6.7,2.6,1.5,
70,2015,activity,"went to a special public event such as a festival, exhibition, etc.",5.3,1.4,1.2,
71,2015,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.3,1.5,0.3,
72,2015,activity,"went on days out to a beauty/health centre/spa, etc.",1.2,0.8,0.2,
73,2015,activity,went on general days out/ to explore an area,12.3,1.6,2.2,
74,2015,activity,went on day trips/excursions for another leisure purpose not mentioned above,4.8,1.1,1.4,
75,2016,activity,visited friends or family for leisure,24.2,4.6,3.6,
76,2016,activity,'special' shopping for items that you do not regularly buy,10.5,1.2,1.3,
77,2016,activity,went out for a meal,20.6,2.1,2.4,
78,2016,activity,"went on a night out to a bar, pub and/or club",11.6,3.1,1.4,
79,2016,activity,"went out for entertainment – to a cinema, concert or theatre",7.6,3.6,1.0,
80,2016,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",15.3,4.2,1.5,
81,2016,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",3.5,2.2,1.0,
82,2016,activity,"took part in sports, including exercise classes, going to the gym",4.7,2.2,0.3,
83,2016,activity,watched live sporting event (not on tv),7.6,2.5,0.7,
84,2016,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",6.1,3.2,0.7,
85,2016,activity,"went to a special public event such as a festival, exhibition, etc.",3.6,0.9,1.0,
86,2016,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",3.3,0.2,0.4,
87,2016,activity,"went on days out to a beauty/health centre/spa, etc.",1.1,0.2,0.6,
88,2016,activity,went on general days out/ to explore an area,10.2,1.7,1.9,
89,2016,activity,went on day trips/excursions for another leisure purpose not mentioned above,6.1,2.9,1.2,
90,2017,activity,visited friends or family for leisure,28.7,6.0,5.2,
91,2017,activity,'special' shopping for items that you do not regularly buy,11.7,2.1,3.2,
92,2017,activity,went out for a meal,22.0,3.8,3.2,
93,2017,activity,"went on a night out to a bar, pub and/or club",14.8,3.1,1.6,
94,2017,activity,"went out for entertainment – to a cinema, concert or theatre",10.8,1.8,0.8,
95,2017,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",20.5,3.3,4.0,
96,2017,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",5.6,0.9,2.1,
97,2017,activity,"took part in sports, including exercise classes, going to the gym",7.3,1.1,0.8,
98,2017,activity,watched live sporting event (not on tv),8.0,0.9,1.0,
99,2017,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",8.4,2.3,1.9,
100,2017,activity,"went to a special public event such as a festival, exhibition, etc.",5.8,1.5,1.6,
101,2017,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",3.4,1.6,0.2,
102,2017,activity,"went on days out to a beauty/health centre/spa, etc.",2.8,0.3,0.3,
103,2017,activity,went on general days out/ to explore an area,13.6,2.9,2.6,
104,2017,activity,went on day trips/excursions for another leisure purpose not mentioned above,4.8,1.1,1.0,
105,2018,activity,visited friends or family for leisure,25.3,4.5,6.1,
106,2018,activity,'special' shopping for items that you do not regularly buy,9.9,1.2,2.3,
107,2018,activity,went out for a meal,20.8,3.7,3.4,
108,2018,activity,"went on a night out to a bar, pub and/or club",11.9,2.3,0.9,
109,2018,activity,"went out for entertainment – to a cinema, concert or theatre",8.2,0.7,1.9,
110,2018,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",15.1,2.7,2.6,
111,2018,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",4.0,1.5,2.0,
112,2018,activity,"took part in sports, including exercise classes, going to the gym",5.8,1.7,0.5,
113,2018,activity,watched live sporting event (not on tv),7.3,0.6,1.6,
114,2018,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",8.5,1.9,1.7,
115,2018,activity,"went to a special public event such as a festival, exhibition, etc.",4.1,0.4,1.0,
116,2018,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.9,0.9,0.3,
117,2018,activity,"went on days out to a beauty/health centre/spa, etc.",1.6,0.5,0.1,
118,2018,activity,went on general days out/ to explore an area,14.4,3.5,3.0,
119,2018,activity,went on day trips/excursions for another leisure purpose not mentioned above,4.4,1.6,1.8,
120,2019,activity,visited friends or family for leisure,24.6,3.8,8.1,
121,2019,activity,'special' shopping for items that you do not regularly buy,11.6,1.9,2.4,
122,2019,activity,went out for a meal,18.4,2.9,2.9,
123,2019,activity,"went on a night out to a bar, pub and/or club",11.2,1.7,1.7,
124,2019,activity,"went out for entertainment – to a cinema, concert or theatre",8.6,1.4,1.5,
125,2019,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",15.1,3.5,4.0,
126,2019,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",7.0,1.5,1.7,
127,2019,activity,"took part in sports, including exercise classes, going to the gym",5.2,0.6,0.8,
128,2019,activity,watched live sporting event (not on tv),8.2,1.1,1.3,
129,2019,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",8.6,1.2,1.0,
130,2019,activity,"went to a special public event such as a festival, exhibition, etc.",3.9,1.8,1.0,
131,2019,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",3.0,0.7,0.8,
132,2019,activity,"went on days out to a beauty/health centre/spa, etc.",3.7,0.6,0.4,
133,2019,activity,went on general days out/ to explore an area,12.0,2.7,3.2,
134,2019,activity,went on day trips/excursions for another leisure purpose not mentioned above,5.3,1.0,0.8,
0,2011,place,,43.3,9.1,14.2,city/large town
1,2011,place,,28.1,3.7,12.2,small town
2,2011,place,,12.4,2.0,4.0,village
3,2011,place,,15.3,2.1,7.0,rural countryside
4,2011,place,,6.2,1.1,2.8,seaside resort or town
5,2011,place,,4.9,0.6,1.6,seaside coastline - a beach
6,2011,place,,1.1,0.4,0.7,other seaside coastline
7,2011,place,,1.5,0.5,1.5,other
8,2012,place,,53.2,6.3,17.5,city/large town
9,2012,place,,30.1,2.0,12.4,small town
10,2012,place,,13.4,1.4,4.4,village
11,2012,place,,15.1,2.0,8.1,rural countryside
12,2012,place,,7.4,0.7,1.0,seaside resort or town
13,2012,place,,5.0,0.6,0.9,seaside coastline - a beach
14,2012,place,,0.7,0.1,1.4,other seaside coastline
15,2012,place,,1.0,0.4,2.1,other
16,2013,place,,39.3,8.5,23.2,city/large town
17,2013,place,,20.2,3.1,14.7,small town
18,2013,place,,10.0,1.2,5.9,village
19,2013,place,,11.9,1.7,7.3,rural countryside
20,2013,place,,4.0,1.2,3.9,seaside resort or town
21,2013,place,,3.2,0.6,1.5,seaside coastline - a beach
22,2013,place,,1.0,0.4,1.7,other seaside coastline
23,2013,place,,1.0,0.2,1.2,other
24,2014,place,,40.8,6.0,6.3,city/large town
25,2014,place,,21.9,3.0,3.2,small town
26,2014,place,,9.0,0.4,1.0,village
27,2014,place,,9.8,3.1,1.9,rural countryside
28,2014,place,,4.7,1.1,0.4,seaside resort or town
29,2014,place,,2.3,1.0,0.6,seaside coastline - a beach
30,2014,place,,2.1,0.0,0.2,other seaside coastline
31,2015,place,,40.8,8.6,6.9,city/large town
32,2015,place,,17.9,4.9,5.5,small town
33,2015,place,,6.4,0.6,1.6,village
34,2015,place,,9.9,2.1,2.0,rural countryside
35,2015,place,,3.7,0.7,1.1,seaside resort or town
36,2015,place,,2.5,0.1,1.1,seaside coastline - a beach
37,2015,place,,0.8,0.1,0.2,other seaside coastline
38,2016,place,,33.8,8.7,4.8,city/large town
39,2016,place,,21.2,4.9,4.0,small town
40,2016,place,,9.9,1.1,1.2,village
41,2016,place,,11.6,2.4,1.4,rural countryside
42,2016,place,,4.0,0.3,0.2,seaside resort or town
