"Start month of trip"
"Base : Total trips (including child trips)"

"All Scotland"
"All figures shown in thousands - except unweighted base"
"Tables based on start date of trip"
"","","SEX",,"AGE",,,,,,"CHILDREN IN HOUSEHOLD",,"SOCIAL CLASS OF HOUSEHOLD",,,,,,
"","TOTAL","Male","Female","16-24","25-34","35-44","45-54","55-64","65+","Yes","No","A","B","C1","C2","D","E",
"Unweighted Base","1859","887","972","202","297","459","316","288","297","696","1163","110","418","592","370","204","164",
"","","","","","","","","","","","","","","","","","",""

"Weighted Base","12701","6644","6057","1472","2041","3388","2396","1881","1524","4354","8347","809","3375","4299","2280","1317","621",
"","","","","","","","","","","","","","","","","","",""

"Jan 2007","622","349","273","135","90","142","128","90","37","189","433","30","94","269","133","84","12",
"","5%","5%","5%","9%","4%","4%","5%","5%","2%","4%","5%","4%","3%","6%","6%","6%","2%",""

"Feb 2007","702","336","366","60","128","217","138","92","68","246","456","72","180","311","101","27","12",
"","6%","5%","6%","4%","6%","6%","6%","5%","4%","6%","5%","9%","5%","7%","4%","2%","2%",""

"Mar 2007","1005","585","420","82","179","262","227","154","101","466","539","90","218","353","202","82","60",
"","8%","9%","7%","6%","9%","8%","9%","8%","7%","11%","6%","11%","6%","8%","9%","6%","10%",""

"Apr 2007","1165","634","531","101","164","324","234","186","156","477","688","85","327","361","192","122","78",
"","9%","10%","9%","7%","8%","10%","10%","10%","10%","11%","8%","11%","10%","8%","8%","9%","13%",""

"May 2007","1241","651","590","107","182","359","225","224","144","365","875","51","344","392","200","159","95",
"","10%","10%","10%","7%","9%","11%","9%","12%","9%","8%","10%","6%","10%","9%","9%","12%","15%",""

"Jun 2007","1089","528","561","186","211","214","165","137","177","274","815","103","262","293","195","158","78",
"","9%","8%","9%","13%","10%","6%","7%","7%","12%","6%","10%","13%","8%","7%","9%","12%","13%",""

"Jul 2007","1218","545","673","85","233","325","240","199","137","466","752","100","342","379","256","94","46",
"","10%","8%","11%","6%","11%","10%","10%","11%","9%","11%","9%","12%","10%","9%","11%","7%","7%",""

"Aug 2007","1356","753","603","201","238","366","233","209","110","580","775","47","367","351","337","197","57",
"","11%","11%","10%","14%","12%","11%","10%","11%","7%","13%","9%","6%","11%","8%","15%","15%","9%",""

"Sep 2007","1101","570","530","128","130","283","213","192","154","309","792","84","314","336","141","169","57",
"","9%","9%","9%","9%","6%","8%","9%","10%","10%","7%","9%","10%","9%","8%","6%","13%","9%",""

"Oct 2007","1102","573","529","95","167","301","243","167","129","451","650","95","304","291","235","130","47",
"","9%","9%","9%","6%","8%","9%","10%","9%","8%","10%","8%","12%","9%","7%","10%","10%","8%",""

"Nov 2007","1011","629","382","163","150","236","234","88","139","246","765","26","319","473","100","60","33",
"","8%","9%","6%","11%","7%","7%","10%","5%","9%","6%","9%","3%","9%","11%","4%","5%","5%",""

"Dec 2007","1088","491","598","129","169","359","114","144","173","282","806","26","305","490","187","35","46",
"","9%","7%","10%","9%","8%","11%","5%","8%","11%","6%","10%","3%","9%","11%","8%","3%","7%",""
