"Start month of trip"
"Base: Total trip"

"All Scotland"
""," ","Gender",,"Working status",,,"Age",,,,,,,,,"SEC",,,,,,"Marital status",,,
"","Total","Male","Female","Full time","Part time","Other","16-24","25-34","35-44","45-54","55-64","55+","65+","16-34","35-54","A","B","C1","C2","D","E","Married","Single","Separated/Widowed/Divorced",
"Unweighted Base","1395","722","673","618","171","606","131","199","191","250","259","624","365","330","441","114","404","417","253","112","95","909","289","197",
"","","","","","","","","","","","","","","","","","","","","","","","","",""

"Total","11664.0","6057.5","5606.5","6054.2","1513.4","4096.4","1164.6","1869.2","2053.5","2464.6","2082.3","4112.2","2029.8","3033.8","4518.1","1209.8","4130.8","3252.9","1923.5","785.7","361.3","7911.3","2438.8","1313.9",
"","","","","","","","","","","","","","","","","","","","","","","","","",""

" Start month of trip","11664.0","6057.5","5606.5","6054.2","1513.4","4096.4","1164.6","1869.2","2053.5","2464.6","2082.3","4112.2","2029.8","3033.8","4518.1","1209.8","4130.8","3252.9","1923.5","785.7","361.3","7911.3","2438.8","1313.9",
"","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%",""

"January-2017","563.9","308.6","255.3","321.9","86.6","155.4","92.0","93.2","108.7","70.5","108.9","199.4","90.5","185.3","179.2","75.1","146.1","146.7","118.3","58.5","19.1","371.2","140.9","51.8",
"","4.8%","5.1%","4.6%","5.3%","5.7%","3.8%","7.9%","5.0%","5.3%","2.9%","5.2%","4.8%","4.5%","6.1%","4.0%","6.2%","3.5%","4.5%","6.2%","7.4%","5.3%","4.7%","5.8%","3.9%",""

"February-2017","514.1","290.1","224.0","267.0","66.1","181.0","50.5","74.4","159.4","105.5","65.0","124.2","59.2","125.0","264.9","6.4","188.2","188.6","57.9","46.2","26.7","358.2","111.7","44.2",
"","4.4%","4.8%","4.0%","4.4%","4.4%","4.4%","4.3%","4.0%","7.8%","4.3%","3.1%","3.0%","2.9%","4.1%","5.9%","0.5%","4.6%","5.8%","3.0%","5.9%","7.4%","4.5%","4.6%","3.4%",""

"March-2017","701.5","325.0","376.6","357.1","126.7","217.7","54.9","106.2","111.2","149.5","146.3","279.8","133.4","161.1","260.6","41.9","190.7","198.6","164.0","85.1","21.2","451.7","168.7","81.1",
"","6.0%","5.4%","6.7%","5.9%","8.4%","5.3%","4.7%","5.7%","5.4%","6.1%","7.0%","6.8%","6.6%","5.3%","5.8%","3.5%","4.6%","6.1%","8.5%","10.8%","5.9%","5.7%","6.9%","6.2%",""

