"Month"
"Base: All respondents"

"All Scotland"
""," ","Gender",,"Age",,,,,,"Marital Status",,"Children in household",,"Car in household",,"Social Grade",,,,"Working Status",,,
"","Total","Male","Female","16-24","25-34","35-44","45-54","55-64","65+","Married","Not Married","Yes","No","Access to car (1+)","No access to car (0)","AB","C1","C2","DE","Employed/self-employed (full or part time)","In full or part time education","Unemployed/not working",
" ","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Unweighted Base","2577","1218","1359","263","540","293","442","518","521","1610","967","614","1963","2207","370","956","700","479","442","1494","189","230",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Total","151.1","72.9","78.2","33.7","30.6","19.5","20.2","23.9","23.2","81.9","69.2","44.0","107.0","127.3","23.8","49.7","42.3","30.6","28.5","88.1","16.4","16.1",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Month","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"January","10.7","4.5","6.2","1.7","2.9","1.4","1.5","1.9","1.4","5.7","5.0","2.4","8.3","8.5","2.3","4.3","3.6","1.4","1.5","6.8","1.2","0.8",
"","7.1%","6.2%","8.0%","5.0%","9.4%","7.0%","7.4%","8.0%","6.1%","7.0%","7.3%","5.5%","7.8%","6.7%","9.5%","8.6%","8.6%","4.5%","5.2%","7.8%","7.1%","5.1%",""

"February","9.0","3.8","5.2","1.6","2.5","1.0","1.8","0.9","1.1","4.4","4.6","2.2","6.8","6.6","2.4","3.2","2.7","1.5","1.7","5.2","0.8","1.3",
"","6.0%","5.2%","6.7%","4.8%","8.2%","5.3%","9.0%","3.7%","4.9%","5.4%","6.6%","4.9%","6.4%","5.2%","10.1%","6.3%","6.5%","4.8%","5.8%","5.9%","4.9%","8.0%",""

"March","13.8","7.2","6.6","3.4","3.2","1.6","1.5","2.0","2.1","7.7","6.1","5.7","8.2","12.0","1.8","4.0","4.9","3.0","2.0","7.4","2.6","0.7",
"","9.1%","9.9%","8.5%","10.0%","10.4%","8.5%","7.6%","8.4%","8.9%","9.4%","8.8%","12.8%","7.6%","9.4%","7.7%","8.0%","11.6%","9.8%","6.9%","8.4%","15.8%","4.2%",""

"April","14.0","6.0","8.0","3.2","2.4","1.9","2.5","1.9","2.1","7.5","6.5","4.2","9.8","10.8","3.2","4.7","3.6","1.9","3.8","8.7","0.8","2.4",
"","9.2%","8.2%","10.2%","9.4%","7.9%","10.0%","12.4%","8.0%","8.9%","9.1%","9.4%","9.5%","9.1%","8.5%","13.5%","9.4%","8.5%","6.3%","13.3%","9.8%","5.1%","14.7%",""

"May","13.3","6.4","6.9","2.5","2.3","2.2","2.4","1.5","2.4","7.0","6.3","3.9","9.4","12.0","1.3","4.7","2.5","3.3","2.8","7.9","1.6","1.5",
"","8.8%","8.8%","8.8%","7.5%","7.4%","11.4%","12.0%","6.2%","10.3%","8.5%","9.1%","8.8%","8.8%","9.4%","5.5%","9.5%","5.8%","10.8%","9.8%","9.0%","9.5%","9.3%",""

"June","11.7","5.0","6.7","2.9","1.1","1.8","1.3","3.2","1.4","6.5","5.2","3.1","8.7","10.4","1.3","4.3","3.3","2.8","1.3","5.6","1.1","1.7",
"","7.8%","6.9%","8.6%","8.7%","3.5%","9.3%","6.6%","13.4%","6.0%","7.9%","7.6%","7.0%","8.1%","8.2%","5.4%","8.7%","7.8%","9.1%","4.5%","6.3%","6.8%","10.8%",""

"July","12.8","6.0","6.8","2.8","3.0","1.3","1.7","2.1","2.0","7.1","5.7","2.9","9.9","10.8","2.0","3.3","4.3","2.8","2.5","6.6","1.4","1.5",
"","8.5%","8.2%","8.7%","8.3%","9.7%","6.8%","8.4%","8.7%","8.6%","8.7%","8.3%","6.6%","9.3%","8.5%","8.6%","6.6%","10.1%","9.0%","8.8%","7.4%","8.8%","9.5%",""

"August","19.0","10.8","8.3","6.8","2.3","1.9","2.5","2.4","3.2","8.4","10.6","6.7","12.3","15.8","3.2","7.9","5.0","3.2","3.0","11.8","2.0","1.9",
"","12.6%","14.8%","10.6%","20.3%","7.5%","9.7%","12.2%","9.9%","13.7%","10.2%","15.4%","15.3%","11.5%","12.4%","13.6%","15.9%","11.8%","10.4%","10.4%","13.4%","12.1%","12.1%",""

"September","11.0","5.0","6.0","3.6","1.3","1.2","0.9","2.1","1.8","5.7","5.2","2.5","8.5","8.8","2.1","3.5","2.6","2.0","2.9","5.9","1.0","1.6",
"","7.3%","6.8%","7.7%","10.8%","4.1%","6.3%","4.5%","8.8%","8.0%","7.0%","7.6%","5.7%","7.9%","6.9%","9.0%","7.1%","6.2%","6.4%","10.0%","6.7%","6.1%","10.2%",""

"October","13.2","7.1","6.2","1.3","4.3","1.0","1.7","2.1","2.9","8.5","4.7","3.7","9.5","12.0","1.2","3.0","3.1","3.1","4.1","7.8","1.1","1.1",
"","8.8%","9.7%","7.9%","3.8%","14.1%","5.0%","8.2%","9.0%","12.4%","10.4%","6.8%","8.4%","8.9%","9.5%","5.0%","6.0%","7.4%","10.0%","14.3%","8.9%","6.5%","6.9%",""

"November","10.7","6.0","4.7","1.4","3.1","1.8","1.0","1.8","1.5","6.2","4.5","3.4","7.3","9.3","1.4","3.0","3.3","2.3","2.1","7.2","0.9","0.7",
"","7.1%","8.2%","6.0%","4.3%","10.3%","9.4%","5.1%","7.4%","6.4%","7.5%","6.6%","7.7%","6.8%","7.3%","5.9%","6.0%","7.8%","7.5%","7.4%","8.2%","5.7%","4.1%",""

"December","11.7","5.2","6.6","2.4","2.3","2.2","1.3","2.1","1.3","7.2","4.5","3.4","8.4","10.3","1.5","3.9","3.3","3.5","1.0","7.2","1.9","0.8",
"","7.8%","7.1%","8.4%","7.2%","7.5%","11.5%","6.7%","8.7%","5.7%","8.8%","6.6%","7.7%","7.8%","8.1%","6.2%","7.8%","7.9%","11.4%","3.6%","8.2%","11.8%","5.1%",""
