"Month"
"Base: All respondents"

"All Scotland"
""," ","Gender",,"Age",,,,,,"Marital Status",,"Children in household",,"Car in household",,"Social Grade",,,,"Working Status",,,
"","Total","Male","Female","16-24","25-34","35-44","45-54","55-64","65+","Married","Not Married","Yes","No","Yes","No","AB","C1","C2","DE","Employed full or part time","In full or part time education","Unemployed/not working",
" ","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Unweighted Base","2391","994","1397","181","396","353","471","569","421","1549","842","576","1815","1977","414","886","749","363","393","1357","127","215",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Total","146.2","69.5","76.6","27.7","20.7","23.9","20.3","26.8","26.7","84.4","61.8","36.1","110.1","116.2","30.0","53.6","46.7","21.0","25.0","82.7","12.4","12.7",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Month","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"January","12.1","6.0","6.1","2.3","1.8","2.2","2.4","1.8","1.7","6.5","5.6","4.0","8.1","10.2","1.9","5.0","2.4","2.7","2.0","8.0","0.5","0.6",
"","8.3%","8.6%","8.0%","8.4%","8.6%","9.1%","11.6%","6.7%","6.3%","7.7%","9.1%","11.1%","7.4%","8.8%","6.3%","9.4%","5.2%","12.8%","7.8%","9.7%","4.0%","4.8%",""

"February","8.1","4.0","4.0","1.5","1.3","0.9","1.6","1.4","1.5","3.5","4.6","1.4","6.7","6.2","1.8","2.4","1.8","1.3","2.6","5.0","0.7","0.9",
"","5.5%","5.8%","5.3%","5.3%","6.1%","3.7%","8.0%","5.1%","5.5%","4.1%","7.4%","3.9%","6.0%","5.4%","6.1%","4.5%","3.8%","6.0%","10.5%","6.1%","5.9%","7.2%",""

"March","10.3","4.2","6.1","1.9","1.6","1.8","1.5","1.4","2.1","5.7","4.6","2.5","7.8","8.7","1.6","3.2","4.3","1.5","1.4","6.1","0.6","0.6",
"","7.0%","6.1%","7.9%","6.7%","7.6%","7.4%","7.5%","5.3%","8.0%","6.7%","7.4%","6.9%","7.1%","7.5%","5.4%","5.9%","9.2%","7.1%","5.5%","7.3%","4.9%","4.5%",""

"April","12.1","6.2","6.0","2.4","1.7","2.9","2.1","1.2","1.7","7.2","4.9","4.8","7.3","9.3","2.8","4.4","4.0","1.7","2.1","6.7","1.7","1.2",
"","8.3%","8.8%","7.8%","8.7%","8.0%","12.2%","10.5%","4.6%","6.6%","8.6%","7.9%","13.3%","6.6%","8.0%","9.4%","8.2%","8.5%","8.1%","8.3%","8.1%","13.4%","9.1%",""

"May","9.7","5.0","4.7","1.8","1.4","2.3","1.2","2.1","0.9","5.2","4.5","2.2","7.5","7.3","2.4","4.9","2.7","0.8","1.4","5.1","1.1","1.6",
"","6.7%","7.3%","6.1%","6.7%","6.8%","9.7%","5.8%","7.8%","3.3%","6.2%","7.3%","6.1%","6.8%","6.3%","8.0%","9.2%","5.8%","3.8%","5.4%","6.1%","8.7%","12.4%",""

"June","13.6","6.7","6.9","1.7","2.1","2.2","2.0","2.1","3.5","8.1","5.5","3.5","10.1","11.2","2.4","4.8","4.6","1.8","2.4","6.9","1.3","1.4",
"","9.3%","9.7%","8.9%","6.0%","10.0%","9.0%","10.0%","7.9%","13.2%","9.6%","8.8%","9.7%","9.2%","9.6%","8.0%","8.9%","9.8%","8.7%","9.7%","8.3%","10.2%","10.7%",""

"July","16.1","7.7","8.5","3.4","2.8","2.5","2.8","2.1","2.4","10.6","5.5","5.3","10.8","12.1","4.0","4.7","4.9","1.8","4.7","9.9","1.0","1.5",
"","11.0%","11.0%","11.0%","12.3%","13.7%","10.6%","13.8%","7.9%","9.1%","12.6%","8.9%","14.8%","9.8%","10.4%","13.3%","8.8%","10.5%","8.5%","18.8%","11.9%","8.2%","11.9%",""

"August","19.2","10.3","8.9","5.3","2.1","1.9","1.5","4.9","3.5","11.0","8.2","2.8","16.5","15.8","3.5","8.1","8.6","1.2","1.3","11.3","2.4","0.6",
"","13.2%","14.8%","11.6%","19.1%","10.4%","7.7%","7.6%","18.2%","13.1%","13.1%","13.3%","7.7%","15.0%","13.6%","11.5%","15.1%","18.3%","5.9%","5.3%","13.7%","19.0%","4.4%",""

"September","12.0","5.8","6.2","1.9","2.5","1.9","0.7","2.5","2.4","7.5","4.5","2.9","9.1","8.9","3.1","3.4","4.6","2.4","1.6","6.4","1.5","1.2",
"","8.2%","8.3%","8.1%","7.0%","12.1%","8.0%","3.7%","9.4%","8.8%","8.9%","7.2%","7.9%","8.3%","7.7%","10.2%","6.4%","9.8%","11.4%","6.4%","7.7%","11.8%","9.4%",""

"October","12.9","4.7","8.1","2.3","1.2","2.4","1.5","2.5","3.0","7.5","5.4","3.5","9.4","11.1","1.8","5.8","3.0","3.1","1.0","5.8","0.8","1.7",
"","8.8%","6.8%","10.6%","8.2%","5.8%","10.0%","7.3%","9.3%","11.3%","8.9%","8.7%","9.6%","8.5%","9.5%","6.0%","10.7%","6.5%","14.8%","3.9%","7.0%","6.4%","13.3%",""

"November","8.3","3.4","4.9","1.1","0.7","1.4","0.9","2.4","1.8","4.9","3.4","1.4","6.9","7.0","1.4","3.2","2.4","1.2","1.6","4.4","0.3","0.5",
"","5.7%","4.9%","6.4%","3.9%","3.5%","5.7%","4.6%","9.1%","6.6%","5.8%","5.5%","3.8%","6.3%","6.0%","4.5%","6.0%","5.1%","5.6%","6.3%","5.3%","2.3%","4.2%",""

"December","11.8","5.5","6.3","2.2","1.5","1.6","1.9","2.3","2.2","6.6","5.2","1.9","9.9","8.4","3.4","3.7","3.5","1.5","3.0","7.2","0.6","1.0",
"","8.0%","7.9%","8.2%","7.8%","7.5%","6.9%","9.6%","8.6%","8.2%","7.8%","8.4%","5.3%","9.0%","7.2%","11.3%","6.8%","7.5%","7.4%","12.2%","8.7%","5.2%","8.0%",""
