"Activities undertaken"
"Base: All respondents"

"All Scotland"
""," ","Gender",,"Age",,,,,,"Marital Status",,"Children in household",,"Car in household",,"Social Grade",,,,"Working Status",,,
"","Total","Male","Female","16-24","25-34","35-44","45-54","55-64","65+","Married","Not Married","Yes","No","Access to car (1+)","No access to car (0)","AB","C1","C2","DE","Employed/self-employed (full or part time)","In full or part time education","Unemployed/not working",
" ","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Unweighted Base","2577","1218","1359","263","540","293","442","518","521","1610","967","614","1963","2207","370","956","700","479","442","1494","189","230",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Total","151.1","72.9","78.2","33.7","30.6","19.5","20.2","23.9","23.2","81.9","69.2","44.0","107.0","127.3","23.8","49.7","42.3","30.6","28.5","88.1","16.4","16.1",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Activities undertaken","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Visited friends or family for leisure","49.1","23.4","25.6","13.6","10.7","5.3","5.4","6.7","7.3","23.4","25.7","15.9","33.2","40.3","8.7","15.3","13.9","10.9","8.9","28.7","6.0","5.2",
"","32.5%","32.1%","32.8%","40.5%","35.0%","27.1%","26.8%","28.2%","31.4%","28.6%","37.1%","36.1%","31.0%","31.7%","36.8%","30.8%","32.8%","35.7%","31.4%","32.6%","36.9%","32.2%",""

"'Special' shopping for items that you do not regularly buy","20.6","9.0","11.6","4.4","4.0","2.9","3.4","2.3","3.6","12.0","8.6","7.7","12.9","18.1","2.5","5.7","6.4","4.5","4.0","11.7","2.1","3.2",
"","13.6%","12.4%","14.8%","13.2%","13.2%","14.9%","16.7%","9.5%","15.4%","14.7%","12.4%","17.5%","12.1%","14.2%","10.6%","11.5%","15.1%","14.7%","14.2%","13.3%","12.7%","19.6%",""

"Went out for a meal","38.5","16.1","22.4","4.9","9.1","4.6","4.8","6.9","8.1","21.4","17.1","8.6","29.9","33.2","5.3","12.4","11.4","7.8","6.9","22.0","3.8","3.2",
"","25.5%","22.0%","28.7%","14.7%","29.9%","23.5%","23.9%","28.9%","34.8%","26.2%","24.7%","19.4%","28.0%","26.1%","22.2%","24.9%","27.1%","25.5%","24.2%","25.0%","23.0%","19.7%",""

"Went on a night out to a bar, pub and/or club","22.8","13.6","9.2","5.0","6.1","3.5","2.7","3.3","2.2","11.1","11.7","4.8","18.0","17.8","5.0","6.4","6.3","4.6","5.5","14.8","3.1","1.6",
"","15.1%","18.7%","11.7%","14.8%","20.1%","18.0%","13.3%","14.0%","9.3%","13.6%","16.9%","11.0%","16.8%","14.0%","21.0%","12.9%","14.9%","15.0%","19.5%","16.8%","18.7%","10.2%",""

"Went out for entertainment – to a cinema, concert or theatre","15.1","7.3","7.8","3.7","4.1","2.2","2.2","2.0","0.9","7.4","7.6","4.4","10.7","13.2","1.9","4.4","4.9","2.7","3.1","10.8","1.8","0.8",
"","10.0%","10.0%","10.0%","11.0%","13.4%","11.5%","10.7%","8.3%","3.8%","9.1%","11.0%","10.0%","10.0%","10.3%","8.0%","8.8%","11.6%","8.7%","11.0%","12.2%","10.9%","5.1%",""

"Undertook outdoor leisure activities such as walking, cycling, golf, etc.","34.6","18.1","16.5","5.5","8.6","3.8","5.5","6.1","5.1","20.5","14.1","8.1","26.5","28.9","5.7","10.6","9.0","9.0","6.0","20.5","3.3","4.0",
"","22.9%","24.8%","21.2%","16.4%","28.0%","19.6%","27.4%","25.3%","22.0%","25.0%","20.5%","18.4%","24.8%","22.7%","23.9%","21.2%","21.2%","29.6%","21.2%","23.3%","20.0%","25.0%",""

"Took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)","9.4","6.0","3.4","3.3","1.9","1.3","0.7","1.5","0.7","4.6","4.8","3.7","5.7","8.0","1.4","3.1","2.6","2.1","1.7","5.6","0.9","2.1",
"","6.2%","8.2%","4.4%","9.9%","6.3%","6.6%","3.7%","6.2%","2.8%","5.7%","6.9%","8.5%","5.3%","6.3%","5.9%","6.2%","6.1%","6.7%","6.0%","6.3%","5.6%","13.1%",""

"Took part in sports, including exercise classes, going to the gym","10.2","6.0","4.2","3.2","3.1","1.6","0.8","0.9","0.7","4.4","5.9","3.1","7.1","8.2","2.1","3.4","2.1","2.2","2.5","7.3","1.1","0.8",
"","6.8%","8.2%","5.4%","9.4%","10.0%","8.4%","3.8%","3.7%","3.1%","5.3%","8.5%","7.0%","6.7%","6.4%","8.7%","6.9%","5.1%","7.2%","8.7%","8.2%","6.5%","5.0%",""

"Watched live sporting event (not on TV)","11.7","8.9","2.8","1.8","3.1","2.9","1.6","1.2","1.1","6.0","5.7","5.4","6.3","10.4","1.3","3.3","3.1","2.4","2.9","8.0","0.9","1.0",
"","7.8%","12.2%","3.6%","5.5%","10.1%","14.8%","8.1%","5.0%","4.6%","7.4%","8.2%","12.3%","5.9%","8.2%","5.6%","6.7%","7.2%","7.9%","10.3%","9.1%","5.5%","6.0%",""

"Went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.","14.4","7.3","7.2","3.6","3.1","2.6","1.2","1.5","2.3","7.3","7.1","4.8","9.6","11.2","3.2","5.2","4.5","1.9","2.8","8.4","2.3","1.9",
"","9.6%","10.0%","9.2%","10.8%","10.2%","13.5%","6.1%","6.3%","9.9%","9.0%","10.2%","10.9%","9.0%","8.8%","13.6%","10.5%","10.6%","6.2%","9.8%","9.6%","14.3%","11.6%",""

"Went to a special public event such as a festival, exhibition, etc.","10.1","5.0","5.0","3.2","2.1","1.7","0.7","1.1","1.3","4.2","5.8","3.2","6.8","8.1","1.9","3.2","2.8","1.7","2.3","5.8","1.5","1.6",
"","6.7%","6.9%","6.4%","9.6%","6.7%","8.7%","3.5%","4.7%","5.4%","5.2%","8.4%","7.3%","6.4%","6.4%","8.0%","6.5%","6.7%","5.6%","7.9%","6.5%","9.1%","9.7%",""

"Went to a special event of a personal nature such as a wedding, graduation, christening, etc.","6.4","3.0","3.4","1.7","1.5","0.8","0.6","0.9","0.8","3.4","3.0","1.3","5.0","5.2","1.1","1.9","3.0","1.1","0.4","3.4","1.6","0.2",
"","4.2%","4.1%","4.3%","5.1%","5.1%","4.0%","3.2%","3.7%","3.5%","4.1%","4.3%","3.0%","4.7%","4.1%","4.7%","3.7%","7.1%","3.5%","1.4%","3.8%","9.8%","1.5%",""

"Went on days out to a beauty/health centre/spa, etc.","3.8","1.6","2.2","0.8","1.2","1.0","0.2","0.3","0.3","1.3","2.5","2.2","1.6","3.4","0.4","0.9","1.3","1.0","0.5","2.8","0.3","0.3",
"","2.5%","2.1%","2.9%","2.4%","4.0%","5.1%","0.9%","1.1%","1.2%","1.5%","3.7%","5.0%","1.5%","2.6%","1.8%","1.9%","3.2%","3.3%","1.8%","3.1%","1.5%","1.7%",""

"Went on general days out/ to explore an area","25.1","11.6","13.5","4.6","4.9","3.0","2.8","5.5","4.3","14.5","10.6","5.3","19.8","22.1","3.0","7.6","6.4","5.7","5.4","13.6","2.9","2.6",
