"Activities undertaken"
"Base : All respondents"

"All Scotland"
"","","Sex",,"Age",,,,,,"MARITAL STATUS",,"CHILDREN IN HOUSEHOLD",,"CAR IN HOUSEHOLD",,"SOCIAL CLASS OF HOUSEHOLD",,,,"WORKING STATUS",,,
"","Total","Male","Female","16-24","25-34","35-44","45-54","55-64","65+","Married","Not married","Yes","No","Yes","No","AB","C1","C2","DE","Employed full or part time","In full or part time education","Unemployed/not working",
"Unweighted base","2873","1263","1610","306","791","469","562","470","275","1904","969","817","2056","2442","431","1038","889","541","405","2088","190","633",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Weighted base","163.5","72.8","90.7","26.6","32.4","20","28.8","25.1","30.6","105.8","57.7","38.3","125.1","135.8","27.7","51.3","57.9","31.7","22.6","113","11","42.5",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Visiting friends or family for leisure","55.4","22.6","32.8","9.8","11.8","6.8","9.3","6.9","10.9","33.1","22.3","11.5","43.9","45","10.5","19","18","10","8.4","38.4","4.4","14.1",
"","33.9%","31.1%","36.2%","36.9%","36.4%","33.9%","32.2%","27.4%","35.6%","31.3%","38.7%","30%","35.1%","33.1%","37.8%","37.1%","31.2%","31.7%","36.9%","34%","39.9%","33.2%",""

"'Special' shopping for items that you do not regularly buy","21.7","6.3","15.4","2.4","3.6","2.1","5.2","4.1","4.2","15.1","6.6","5.8","15.9","18.5","3.2","7.3","6.3","5.3","2.9","14.2","1.9","5.9",
"","13.3%","8.7%","17%","9%","11.2%","10.7%","18.2%","16.4%","13.7%","14.3%","11.5%","15.2%","12.7%","13.6%","11.6%","14.2%","10.8%","16.7%","12.8%","12.6%","17%","13.8%",""

"Going out for a meal","42.4","15.8","26.6","5.7","7","4.4","7","6.9","11.4","27.5","14.9","8.2","34.2","36.9","5.5","13.7","16.1","8.5","4.1","30","2.4","10.9",
"","25.9%","21.7%","29.3%","21.5%","21.5%","22%","24.3%","27.5%","37.2%","26%","25.7%","21.3%","27.3%","27.1%","19.9%","26.7%","27.8%","26.8%","18%","26.5%","21.9%","25.6%",""

"Going on a night out to a bar, pub and/or club","25.7","13.3","12.4","6.5","6.5","2.6","4.7","3.1","2.3","15.7","10","6","19.6","20.1","5.6","6.5","9.4","6.2","3.6","20.2","1.9","3.9",
"","15.7%","18.3%","13.6%","24.3%","20%","12.9%","16.4%","12.5%","7.5%","14.8%","17.4%","15.7%","15.7%","14.8%","20.3%","12.7%","16.2%","19.7%","15.8%","17.8%","16.8%","9.1%",""

"Going out for entertainment - to a cinema, concert or theatre","16.3","6.7","9.6","4.3","3.6","1.6","2.4","1.8","2.6","9.1","7.2","4.2","12.1","12.2","4.1","4.7","6.8","2.8","2.1","10.6","1.5","4.2",
"","10%","9.3%","10.6%","16.3%","11.1%","8%","8.3%","7.1%","8.5%","8.6%","12.5%","11.1%","9.6%","9%","14.9%","9.2%","11.7%","8.8%","9.1%","9.4%","13.8%","10%",""

"Undertaking outdoor leisure activities such as walking, cycling, golf, etc.","29.1","16","13.2","4","5.6","4","5.4","4.7","5.5","19.1","10.1","7","22.2","24.4","4.7","9.6","10.4","5.5","3.6","19.8","3","7.6",
"","17.8%","22%","14.5%","14.9%","17.3%","20.2%","18.9%","18.5%","17.8%","18%","17.5%","18.2%","17.7%","18%","17.1%","18.8%","18%","17.4%","15.9%","17.5%","26.8%","17.9%",""

"Taking part in other leisure activities such as hobbies, evening classes, etc (outside of your home)","10.6","5.7","4.8","2.3","1.8","1.4","1.9","1.7","1.5","6.2","4.3","2.1","8.4","8.5","2","3.4","4.3","2.2","0.7","7.5","0.9","2.2",
"","6.5%","7.9%","5.3%","8.7%","5.5%","6.9%","6.7%","6.8%","4.7%","5.9%","7.5%","5.6%","6.7%","6.3%","7.3%","6.6%","7.5%","6.9%","3%","6.6%","7.9%","5.3%",""

"Taking part in sports, including events or competitions","6.8","3.8","3.1","1","2.5","0.8","1.4","1","0.2","4.7","2.1","2.1","4.7","6.1","0.7","2.9","1.8","1.9","0.2","5.5","0.5","0.8",
"","4.2%","5.2%","3.4%","3.6%","7.7%","4%","4.7%","3.8%","0.8%","4.5%","3.6%","5.4%","3.8%","4.5%","2.5%","5.6%","3.1%","6.1%","1%","4.9%","4.7%","2%",""

"Watching live sporting events (not on TV)","11.9","8","3.9","1.5","3.1","1.6","2.4","1.5","1.7","8.4","3.5","3.8","8.1","10.7","1.2","3.3","3.9","3.2","1.4","9.1","0.9","2",
"","7.3%","10.9%","4.3%","5.5%","9.7%","8.2%","8.3%","6%","5.6%","7.9%","6%","9.9%","6.5%","7.8%","4.4%","6.5%","6.8%","10%","6.4%","8%","8.1%","4.6%",""

"Going to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.","12.1","3.8","8.3","1.8","2.2","1.7","1.1","2.9","2.4","7.3","4.7","3","9.1","9.1","3","4.4","4.5","1.7","1.5","7.7","0.8","4",
