"Activities undertaken"
"Base: All respondents"

"All Scotland"
""," ","Gender",,"Age",,,,,,"Marital Status",,"Children in household",,"Car in household",,"Social Grade",,,,"Working Status",,,
"","Total","Male","Female","16-24","25-34","35-44","45-54","55-64","65+","Married","Not Married","Yes","No","Yes","No","AB","C1","C2","DE","Employed full or part time","In full or part time education","Unemployed/not working",
" ","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Unweighted Base","2391","994","1397","181","396","353","471","569","421","1549","842","576","1815","1977","414","886","749","363","393","1357","127","215",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Total","146.2","69.5","76.6","27.7","20.7","23.9","20.3","26.8","26.7","84.4","61.8","36.1","110.1","116.2","30.0","53.6","46.7","21.0","25.0","82.7","12.4","12.7",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Activities undertaken","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Visited friends or family for leisure","47.0","18.7","28.3","8.6","7.3","6.9","6.4","7.5","10.3","26.0","21.0","11.5","35.5","36.0","11.0","14.7","14.7","7.4","10.2","24.6","4.6","3.1",
"","32.2%","27.0%","36.9%","31.0%","35.1%","28.8%","31.7%","27.9%","38.7%","30.8%","34.0%","31.9%","32.2%","31.0%","36.7%","27.5%","31.5%","35.4%","40.6%","29.7%","37.0%","24.2%",""

"'Special' shopping for items that you do not regularly buy","19.6","8.1","11.4","3.8","2.9","2.2","3.2","3.8","3.7","11.2","8.4","3.4","16.2","16.2","3.4","7.3","5.3","3.0","4.0","12.0","0.4","1.6",
"","13.4%","11.7%","14.9%","13.8%","14.2%","9.3%","15.5%","14.1%","13.7%","13.3%","13.6%","9.3%","14.7%","14.0%","11.2%","13.6%","11.4%","14.2%","15.9%","14.5%","3.2%","12.9%",""

"Went out for a meal","36.1","14.6","21.6","5.1","4.4","5.2","5.6","8.6","7.2","22.4","13.7","6.7","29.5","30.3","5.8","12.7","12.4","4.9","6.2","21.7","1.6","1.4",
"","24.7%","20.9%","28.1%","18.5%","21.3%","21.8%","27.5%","31.9%","27.1%","26.5%","22.2%","18.4%","26.8%","26.1%","19.4%","23.6%","26.6%","23.2%","24.9%","26.3%","12.6%","11.3%",""

"Went on a night out to a bar, pub and/or club","22.7","13.3","9.4","7.1","3.8","3.3","3.3","3.4","1.8","10.1","12.6","6.4","16.3","18.1","4.6","7.9","6.3","4.3","4.2","16.3","1.6","1.8",
"","15.5%","19.1%","12.3%","25.5%","18.4%","13.9%","16.1%","12.6%","6.9%","12.0%","20.3%","17.8%","14.8%","15.6%","15.3%","14.7%","13.4%","20.7%","17.0%","19.7%","12.8%","14.1%",""

"Went out for entertainment - to a cinema, concert or theatre","13.2","6.4","6.8","2.0","2.4","2.1","2.1","3.1","1.5","6.9","6.3","3.3","9.9","10.7","2.5","4.8","3.5","1.6","3.3","9.0","1.3","0.9",
"","9.0%","9.2%","8.9%","7.3%","11.5%","8.9%","10.2%","11.5%","5.7%","8.1%","10.2%","9.2%","9.0%","9.2%","8.5%","9.0%","7.5%","7.7%","13.1%","10.9%","10.2%","7.2%",""

"Undertook outdoor leisure activities such as walking, cycling, golf, etc.","24.8","13.0","11.7","5.7","2.5","4.2","3.1","5.2","4.0","13.2","11.6","4.4","20.3","18.7","6.1","8.1","8.9","3.4","4.4","13.6","3.0","2.7",
"","16.9%","18.7%","15.3%","20.7%","12.1%","17.5%","15.3%","19.2%","15.1%","15.6%","18.7%","12.2%","18.5%","16.1%","20.3%","15.1%","19.0%","16.3%","17.7%","16.5%","24.2%","21.4%",""

"Took part in other leisure activities such as hobbies, evening classes, etc (outside of your home)","9.7","5.8","3.8","3.0","1.5","1.8","0.9","1.4","1.1","4.8","4.9","2.0","7.7","8.8","0.9","4.8","1.9","1.6","1.4","7.2","0.4","0.4",
"","6.6%","8.4%","5.0%","10.8%","7.0%","7.6%","4.5%","5.3%","4.1%","5.6%","8.0%","5.7%","7.0%","7.6%","2.9%","9.0%","4.1%","7.4%","5.6%","8.7%","3.4%","3.5%",""

"Took part in sports, including exercise classes, going to the gym, etc.","5.4","3.3","2.1","1.0","0.9","1.4","0.7","1.0","0.4","2.9","2.5","2.3","3.1","4.8","0.6","2.1","1.3","0.7","1.3","3.5","0.4","0.6",
"","3.7%","4.7%","2.8%","3.6%","4.3%","6.0%","3.2%","3.7%","1.6%","3.4%","4.1%","6.4%","2.8%","4.1%","2.1%","3.8%","2.9%","3.3%","5.2%","4.2%","2.9%","4.8%",""

"Watched live sporting events (not on TV)","10.5","8.1","2.4","0.3","1.4","3.0","1.7","2.9","1.3","6.4","4.1","3.1","7.4","8.8","1.7","3.8","2.5","1.9","2.2","6.6","0.7","0.9",
"","7.2%","11.6%","3.2%","1.1%","6.5%","12.6%","8.2%","10.6%","4.9%","7.6%","6.6%","8.7%","6.7%","7.6%","5.7%","7.1%","5.4%","9.3%","8.9%","7.9%","5.6%","7.1%",""

"Went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.","13.1","6.1","7.0","3.6","1.9","2.5","1.1","2.9","1.0","8.4","4.7","3.2","9.9","8.7","4.4","4.6","3.5","1.8","3.2","7.7","1.6","1.5",
"","9.0%","8.7%","9.2%","13.1%","9.4%","10.5%","5.4%","10.8%","3.8%","10.0%","7.6%","8.8%","9.0%","7.5%","14.5%","8.6%","7.6%","8.6%","12.7%","9.3%","12.5%","11.8%",""

"Went to a special public event such as a festival, exhibition, etc.","8.7","3.7","5.0","0.9","1.9","1.7","0.9","1.7","1.5","5.3","3.4","2.3","6.5","7.4","1.3","4.3","2.2","0.5","1.7","5.5","0.7","0.4",
"","6.0%","5.3%","6.5%","3.4%","9.2%","7.2%","4.4%","6.4%","5.7%","6.3%","5.5%","6.2%","5.9%","6.4%","4.2%","8.0%","4.8%","2.5%","6.7%","6.7%","5.4%","3.2%",""

"Went to special events of a personal nature such as a wedding, graduation, christening, etc.","5.0","2.1","2.8","0.2","1.2","1.2","0.7","0.9","0.7","3.2","1.8","2.3","2.7","4.1","0.8","1.3","1.7","0.7","1.3","3.2","0.6","0.5",
"","3.4%","3.1%","3.7%","0.6%","6.0%","5.1%","3.4%","3.4%","2.7%","3.8%","2.9%","6.3%","2.4%","3.6%","2.7%","2.4%","3.5%","3.5%","5.2%","3.9%","5.2%","4.1%",""

"Went on a day out to a beauty or health spa/centre, etc","2.0","0.9","1.1","0.5","0.4","0.2","0.2","0.6","0.1","1.4","0.6","0.5","1.5","1.4","0.6","0.6","0.4","0.3","0.6","1.0","0.7","0.1",
"","1.3%","1.2%","1.4%","1.8%","2.1%","0.6%","1.0%","2.1%","0.4%","1.6%","0.9%","1.4%","1.3%","1.2%","1.9%","1.2%","0.8%","1.6%","2.6%","1.2%","5.9%","0.8%",""

"Went on general days out/ to explore an area","22.0","9.8","12.2","5.7","3.7","3.0","3.0","3.5","3.1","12.8","9.2","5.0","17.0","17.9","4.1","8.1","6.4","2.4","5.1","12.1","2.8","1.4",
"","15.0%","14.0%","16.0%","20.7%","17.7%","12.4%","14.8%","12.9%","11.8%","15.1%","14.9%","13.9%","15.4%","15.4%","13.5%","15.1%","13.8%","11.4%","20.4%","14.6%","22.4%","11.3%",""

"Went on day trips/excursions for other leisure purpose not mentioned above","11.7","4.3","7.4","3.2","1.2","1.9","1.3","1.8","2.2","7.0","4.6","2.8","8.9","8.2","3.5","4.8","2.7","1.0","3.2","6.6","1.6","0.6",
"","8.0%","6.2%","9.6%","11.6%","6.0%","8.0%","6.4%","6.8%","8.2%","8.3%","7.5%","7.6%","8.1%","7.1%","11.6%","8.9%","5.8%","4.8%","12.8%","7.9%","13.1%","5.1%",""

"None","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"","","","","","","","","","","","","","","","","","","","","","","",""
