"Type of place visited"
"Base : All respondents"

"All Scotland"
"","","Sex",,"Age",,,,,,"MARITAL STATUS",,"CHILDREN IN HOUSEHOLD",,"CAR IN HOUSEHOLD",,"SOCIAL CLASS OF HOUSEHOLD",,,,"WORKING STATUS",,,
"","Total","Male","Female","16-24","25-34","35-44","45-54","55-64","65+","Married","Not married","Yes","No","Yes","No","AB","C1","C2","DE","Employed full or part time","In full or part time education","Unemployed/not working",
"Unweighted base","2873","1263","1610","306","791","469","562","470","275","1904","969","817","2056","2442","431","1038","889","541","405","2088","190","633",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Weighted base","163.5","72.8","90.7","26.6","32.4","20","28.8","25.1","30.6","105.8","57.7","38.3","125.1","135.8","27.7","51.3","57.9","31.7","22.6","113","11","42.5",
"","","","","","","","","","","","","","","","","","","","","","","",""

"City/large town","75.3","32.5","42.8","14.3","16.7","9.1","13.6","10.8","10.7","45.5","29.8","19","56.3","61.7","13.6","22.8","27.4","15.2","9.8","53.2","6.3","17.5",
"","46.1%","44.7%","47.2%","53.9%","51.6%","45.7%","47.2%","43.2%","34.9%","43%","51.6%","49.6%","45%","45.4%","49.2%","44.5%","47.4%","48.1%","43.4%","47.1%","56.9%","41.1%",""

"Small town","44","18.4","25.6","5.9","7.7","4.9","8","6.2","11.3","30.1","13.9","10.1","33.9","36.4","7.5","13.7","14.6","8.3","7.4","30.1","2","12.4",
"","26.9%","25.3%","28.2%","22.2%","23.7%","24.5%","27.8%","24.7%","36.9%","28.4%","24.1%","26.3%","27.1%","26.8%","27.3%","26.7%","25.2%","26.1%","32.8%","26.6%","18.5%","29.2%",""

"Village","18.5","8.4","10.1","3.5","3.4","3","2.5","2.8","3.3","11.8","6.7","4.3","14.2","14.5","4","5.3","6.9","3.1","3.2","13.4","1.4","4.4",
"","11.3%","11.5%","11.1%","13.2%","10.4%","14.9%","8.7%","11.2%","10.8%","11.1%","11.6%","11.2%","11.3%","10.7%","14.4%","10.3%","11.9%","9.7%","14.1%","11.8%","13%","10.4%",""

"Rural countryside","24.4","11.3","13.1","2.6","4.5","2.7","4.1","5","5.5","16.5","7.9","5","19.3","21.4","3","8.5","9.5","3.7","2.7","15.1","2","8.1",
"","14.9%","15.5%","14.4%","9.9%","13.8%","13.5%","14.2%","19.8%","18%","15.6%","13.7%","13.1%","15.5%","15.8%","10.7%","16.6%","16.4%","11.7%","11.9%","13.3%","17.9%","19.2%",""

"Seaside resort or town","8.7","3.7","5","1.9","1.1","1.2","1.9","1.8","0.9","5.5","3.3","2","6.7","7","1.7","2.3","3.1","2.5","0.9","7.4","0.7","1",
"","5.3%","5%","5.6%","7.1%","3.3%","6.2%","6.5%","7.1%","2.8%","5.2%","5.6%","5.2%","5.4%","5.1%","6.3%","4.4%","5.3%","7.8%","4.1%","6.6%","6.1%","2.4%",""

"Seaside coastline - a beach","6.2","2.5","3.7","0.9","1.9","0.9","1.1","0.3","1.2","4.2","2","1.9","4.3","5.8","0.4","2","2.2","1.2","0.8","5","0.6","0.9",
"","3.8%","3.4%","4.1%","3.3%","5.8%","4.7%","3.8%","1.2%","3.8%","4%","3.5%","4.9%","3.5%","4.3%","1.4%","3.9%","3.8%","3.9%","3.5%","4.5%","5.3%","2.2%",""

"Other seaside coastline","2.2","1.5","0.8","0.1","0.2","0.3","0.1","0.3","1.3","1.9","0.3","0.3","2","2.2","0.1","0.5","1.5","0.2","0","0.7","0.1","1.4",
"","1.4%","2%","0.9%","0.5%","0.5%","1.3%","0.2%","1.3%","4.2%","1.8%","0.6%","0.7%","1.6%","1.6%","0.3%","1.1%","2.5%","0.6%","0.2%","0.6%","1.2%","3.2%",""

"Other","3.5","1.8","1.7","0.5","0.3","0.4","0.3","0.2","1.8","2.4","1.1","0.4","3.1","3","0.5","0.6","2.2","0.6","0.1","1","0.4","2.1",
"","2.1%","2.5%","1.9%","2%","0.8%","1.9%","1%","1%","5.8%","2.2%","1.9%","1.1%","2.5%","2.2%","1.6%","1.2%","3.8%","1.8%","0.5%","0.9%","3.4%","5%",""
