"Form of transport used on trip"
"Base : All respondents"

"All Scotland"
"","","Sex",,"Age",,,,,,"MARITAL STATUS",,"CHILDREN IN HOUSEHOLD",,"CAR IN HOUSEHOLD",,"SOCIAL CLASS OF HOUSEHOLD",,,,"WORKING STATUS",,,
"","Total","Male","Female","16-24","25-34","35-44","45-54","55-64","65+","Married","Not married","Yes","No","Yes","No","AB","C1","C2","DE","Employed full or part time","In full or part time education","Unemployed/not working",
"Unweighted base","2403","1082","1321","226","511","394","492","417","363","1560","843","650","1753","1978","425","851","730","381","441","1385","174","887",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Weighted base","142.5","66.1","76.4","24.9","24.3","20.3","24.8","21.3","26.8","86.8","55.7","36.2","106.3","115","27.5","44.7","46","26.8","25","78.3","14.9","53.1",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Any car (Net)","93.6","41.4","52.2","12.3","15.5","13.2","17.1","15.3","20.2","62.9","30.6","25","68.6","85.6","8","31.6","29.6","17.2","15.1","51.2","7.2","36.6",
"","65.7%","62.6%","68.4%","49.5%","63.7%","64.7%","68.8%","71.9%","75.4%","72.5%","55%","69.1%","64.5%","74.4%","29.1%","70.7%","64.4%","64.4%","60.4%","65.4%","48.6%","68.8%",""

"Car - own/friends/family","91.6","40","51.6","11.5","15.3","13","16.8","15.1","19.9","62.1","29.5","24.4","67.2","83.9","7.7","30.6","29.2","16.8","15","49.6","7","36.3",
"","64.3%","60.6%","67.5%","46%","63%","63.8%","67.7%","71.1%","74.4%","71.6%","52.9%","67.4%","63.3%","73%","28.1%","68.4%","63.6%","62.7%","60.1%","63.3%","46.7%","68.4%",""

"Car - hired","2","1.3","0.6","0.9","0.2","0.2","0.3","0.2","0.3","0.8","1.2","0.6","1.3","1.7","0.3","1.1","0.4","0.4","0.1","1.6","0.3","0.3",
"","1.4%","2%","0.8%","3.6%","0.6%","1%","1.1%","0.9%","1%","0.9%","2.1%","1.7%","1.3%","1.5%","0.9%","2.4%","0.8%","1.7%","0.3%","2%","1.9%","0.5%",""

"Public transport (Net)","30","15.2","14.8","8.6","5.1","3.7","4.3","4.4","4","15.2","14.8","7","23","16.4","13.6","7.6","10.1","6.1","6.2","16.4","4.7","10.9",
"","21%","23%","19.3%","34.6%","20.8%","18%","17.1%","20.4%","15%","17.5%","26.5%","19.3%","21.6%","14.2%","49.5%","17%","22%","22.6%","24.7%","21%","31.4%","20.6%",""

"Train","15.2","8.3","7","5.1","2.8","2.1","2.4","1.7","1","7.5","7.7","4.5","10.7","9.9","5.4","4.8","5.2","2.7","2.5","9.7","3.4","3.6",
