"Form of transport used on trip"
"Base: All respondents"

"All Scotland"
""," ","Gender",,"Age",,,,,,"Marital Status",,"Children in household",,"Car in household",,"Social Grade",,,,"Working Status",,,
"","Total","Male","Female","16-24","25-34","35-44","45-54","55-64","65+","Married","Not Married","Yes","No","Yes","No","AB","C1","C2","DE","Employed full or part time","In full or part time education","Unemployed/not working",
" ","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Unweighted Base","2391","994","1397","181","396","353","471","569","421","1549","842","576","1815","1977","414","886","749","363","393","1357","127","215",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Total","146.2","69.5","76.6","27.7","20.7","23.9","20.3","26.8","26.7","84.4","61.8","36.1","110.1","116.2","30.0","53.6","46.7","21.0","25.0","82.7","12.4","12.7",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Form of transport used on trip","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Car - own/friends/family","94.5","42.9","51.6","14.1","13.1","16.1","12.8","18.3","20.1","59.4","35.1","24.8","69.7","85.5","9.0","36.2","30.3","14.1","13.9","53.3","5.7","7.1",
"","64.6%","61.7%","67.3%","50.7%","63.2%","67.3%","63.3%","68.2%","75.4%","70.4%","56.8%","68.7%","63.3%","73.6%","30.0%","67.5%","65.0%","67.4%","55.6%","64.4%","45.8%","55.9%",""

"Car - hired","1.6","1.1","0.5","1.3","0.1","0.1","0.1","-","-","0.5","1.1","0.2","1.4","1.2","0.4","1.1","0.1","0.2","0.2","1.4","-","0.2",
"","1.1%","1.6%","0.6%","4.5%","0.4%","0.6%","0.6%","","","0.6%","1.8%","0.7%","1.2%","1.1%","1.3%","2.1%","0.3%","0.9%","0.6%","1.7%","0.2%","1.3%",""

"Public transport","29.7","15.0","14.8","5.4","5.2","4.3","4.9","5.2","4.7","15.8","13.9","6.8","22.9","16.8","12.9","8.6","9.9","4.3","6.9","16.8","3.0","2.3",
"","20.3%","21.5%","19.3%","19.4%","25.1%","18.1%","24.2%","19.2%","17.8%","18.7%","22.5%","18.8%","20.8%","14.5%","43.1%","16.1%","21.2%","20.3%","27.8%","20.3%","23.8%","18.0%",""

"Train","16.4","9.7","6.7","4.2","3.3","2.3","2.8","2.3","1.3","8.8","7.6","4.5","11.9","9.8","6.6","4.7","6.2","2.4","3.1","10.3","2.3","1.2",
"","11.2%","13.9%","8.8%","15.3%","16.0%","9.8%","14.0%","8.7%","5.0%","10.4%","12.3%","12.5%","10.8%","8.4%","22.0%","8.8%","13.2%","11.6%","12.3%","12.4%","18.7%","9.2%",""

"A regular bus\coach","13.3","5.3","8.0","1.1","1.9","2.0","2.1","2.8","3.4","7.0","6.3","2.3","11.1","7.0","6.3","3.9","3.7","1.8","3.9","6.5","0.6","1.1",
"","9.1%","7.6%","10.5%","4.1%","9.1%","8.3%","10.3%","10.5%","12.8%","8.3%","10.2%","6.3%","10.1%","6.0%","21.0%","7.3%","8.0%","8.7%","15.5%","7.9%","5.1%","8.7%",""

"Organised coach tour","0.8","0.6","0.2","-","0.1","0.2","0.3","0.1","0.1","0.7","0.1","0.1","0.7","0.7","0.1","0.1","0.4","0.2","-","0.5","-","0.1",
"","0.5%","0.9%","0.2%","0.1%","0.4%","0.6%","1.6%","0.2%","0.4%","0.8%","0.2%","0.3%","0.6%","0.6%","0.3%","0.3%","0.9%","1.0%","","0.6%","0.3%","0.9%",""

"Taxi","5.0","2.7","2.2","1.8","0.8","0.7","0.6","0.7","0.3","1.8","3.1","1.2","3.8","3.2","1.8","2.4","0.9","0.5","1.1","2.7","0.9","0.9",
"","3.4%","3.9%","2.9%","6.7%","3.6%","3.1%","3.2%","2.7%","1.0%","2.2%","5.1%","3.3%","3.4%","2.8%","5.9%","4.5%","1.8%","2.6%","4.5%","3.3%","7.1%","7.0%",""

"Walked\on foot","9.4","4.4","5.0","3.6","0.9","1.1","0.8","2.0","1.0","4.2","5.3","1.1","8.3","5.4","4.1","2.7","4.5","0.7","1.5","4.6","2.4","1.2",
"","6.4%","6.4%","6.5%","12.9%","4.6%","4.6%","3.9%","7.4%","3.9%","4.9%","8.5%","3.1%","7.6%","4.6%","13.5%","5.0%","9.6%","3.4%","6.2%","5.6%","19.2%","9.9%",""

"Bicycle","1.5","0.9","0.6","0.4","0.1","0.6","0.2","0.3","-","0.3","1.2","-","1.5","0.9","0.5","0.8","-","0.5","0.2","0.9","0.3","0.2",
"","1.0%","1.3%","0.8%","1.3%","0.3%","2.4%","0.9%","1.2%","","0.3%","2.0%","0.1%","1.3%","0.8%","1.8%","1.4%","0.1%","2.4%","0.8%","1.1%","2.3%","1.7%",""

"Minibus","0.3","-","0.3","0.1","0.1","-","-","-","-","0.1","0.2","0.1","0.2","0.1","0.2","-","0.1","0.2","-","0.3","0.1","-",
"","0.2%","","0.4%","0.4%","0.3%","0.1%","","0.2%","0.2%","0.1%","0.3%","0.4%","0.1%","0.1%","0.7%","","0.3%","0.7%","0.1%","0.3%","0.6%","",""

"Motor cycle","0.2","0.2","-","-","-","0.1","-","-","-","-","0.1","-","0.2","0.2","-","0.2","-","-","-","0.2","-","-",
"","0.1%","0.2%","","","","0.5%","","0.2%","","0.1%","0.2%","","0.2%","0.2%","","0.3%","","0.1%","","0.2%","","",""

"Tube","0.1","-","-","-","-","-","-","-","-","-","-","-","-","0.1","-","-","-","-","-","0.1","-","-",
"","","","","","0.2%","","0.1%","","","","0.1%","0.1%","","0.1%","","0.1%","0.1%","","","0.1%","","",""

"Tram","0.5","0.3","0.2","0.5","-","-","-","-","-","0.3","0.2","0.3","0.2","0.3","0.2","-","-","-","0.5","0.5","-","-",
"","0.3%","0.4%","0.3%","1.8%","","","","","","0.4%","0.3%","0.8%","0.2%","0.3%","0.7%","","","","2.0%","0.6%","","",""

"Motorised caravan\campervan","0.1","-","0.1","-","-","-","-","-","0.1","0.1","-","-","0.1","0.1","-","0.1","-","-","-","-","-","-",
"","0.1%","","0.1%","","","","0.2%","","0.3%","0.1%","","","0.1%","0.1%","","0.1%","0.1%","","","0.1%","","",""

"Plane","0.6","0.6","-","-","-","0.6","-","-","-","-","0.6","0.5","0.1","0.5","0.1","-","-","0.1","0.5","0.5","-","0.1",
"","0.4%","0.8%","","","","2.3%","","","","","0.9%","1.4%","","0.4%","0.2%","","","0.3%","2.0%","0.6%","","0.4%",""

"Boat\ship\ferry","0.7","0.2","0.5","-","0.2","-","0.3","0.1","-","0.6","0.1","0.1","0.6","0.7","-","0.3","0.3","0.1","-","0.6","-","-",
"","0.4%","0.3%","0.6%","","1.0%","","1.2%","0.5%","0.2%","0.7%","0.1%","0.2%","0.5%","0.6%","","0.5%","0.7%","0.2%","","0.7%","","",""

"Lorry\truck\van","0.2","0.2","-","-","0.1","-","0.1","-","-","0.1","0.1","-","0.1","0.1","0.1","0.1","-","-","0.1","0.1","-","-",
"","0.1%","0.2%","","","0.5%","","0.4%","","","0.1%","0.2%","0.1%","0.1%","0.1%","0.2%","0.2%","","0.2%","0.3%","0.2%","","0.2%",""

"Other","1.1","0.4","0.7","0.6","0.1","0.1","-","0.1","0.2","0.5","0.7","0.7","0.4","0.4","0.7","1.0","-","0.1","-","0.3","0.1","0.6",
"","0.8%","0.6%","0.9%","2.1%","0.5%","0.4%","0.2%","0.3%","0.8%","0.6%","1.1%","2.0%","0.4%","0.4%","2.4%","1.8%","0.1%","0.5%","","0.3%","0.8%","4.7%",""
