"month","total","male","female","16-24","25-34","35-44","45-54","55-64","65+","married","not married","yes","no","access to car (1+)","no access to car (0)","ab","c1","c2","de","employed/self-employed (full or part time)","in full or part time education","unemployed/not working",
" ","","","","","","","","","","","","","","","","","","","","","","",
"total","133.6","62.2","71.4","24.5","24.9","19.7","17.4","23.3","23.9","78.0","55.6","42.9","90.8","110.4","23.3","36.1","35.9","27.1","34.5","74.4","13.6","16.7",
"january","10.6","4.4","6.2","2.4","1.7","1.3","1.4","2.1","1.7","5.9","4.8","2.7","7.9","8.7","1.9","2.9","2.9","2.8","2.0","5.7","1.3","1.0",
"february","8.9","3.3","5.6","1.5","1.2","1.3","1.5","1.4","2.0","6.1","2.8","2.9","6.1","7.5","1.4","2.1","2.6","2.2","2.0","5.2","0.6","0.9",
"march","9.8","5.5","4.3","3.0","2.5","1.0","0.6","1.4","1.3","5.5","4.4","4.1","5.7","8.4","1.4","3.0","3.2","1.1","2.5","5.9","0.7","2.1",
"april","11.2","5.4","5.8","1.2","2.0","1.7","1.0","2.7","2.6","6.7","4.5","2.6","8.6","8.4","2.8","3.9","3.0","2.1","2.2","6.3","0.4","1.2",
"may","10.8","5.4","5.4","1.3","2.4","1.1","1.6","2.3","2.1","6.0","4.8","3.1","7.7","8.9","1.9","3.3","3.0","2.2","2.3","5.8","1.0","1.3",
"june","11.4","6.4","5.0","3.6","1.6","1.3","1.3","1.3","2.4","5.6","5.8","3.6","7.8","9.6","1.8","2.6","4.0","3.0","1.8","5.6","2.8","0.9",
"july","13.6","5.7","7.9","2.1","3.2","1.8","1.5","2.2","2.8","7.7","5.9","5.0","8.6","11.1","2.4","3.9","2.7","2.3","4.6","6.9","1.5","1.9",
"august","14.6","5.9","8.7","2.7","2.7","2.4","1.9","2.1","2.9","9.4","5.3","5.7","8.9","12.7","1.9","3.8","3.3","1.8","5.7","8.0","1.1","1.5",
"september","10.1","5.2","4.9","1.7","1.8","1.3","1.2","2.0","2.1","5.6","4.5","2.8","7.3","8.6","1.5","3.5","2.4","2.0","2.3","4.8","1.7","1.0",
"october","10.9","5.1","5.8","1.2","1.8","2.3","2.4","1.7","1.5","6.6","4.3","3.0","7.9","8.7","2.2","1.2","3.3","2.8","3.7","6.7","1.0","1.6",
"november","10.1","5.0","5.0","1.9","1.9","1.9","1.4","1.9","1.1","5.3","4.7","4.1","6.0","8.1","2.0","2.9","2.9","1.4","2.9","5.5","0.8","2.1",
"december","11.6","4.7","6.8","1.8","2.1","2.2","1.5","2.3","1.5","7.7","3.9","3.2","8.4","9.6","2.0","2.9","2.7","3.4","2.6","7.9","0.7","1.3",
