"activity","total","male","female","16-24","25-34","35-44","45-54","55-64","65+","married","not married","yes","no","access to car (1+)","no access to car (0)","ab","c1","c2","de","employed/self-employed (full or part time)","in full or part time education","unemployed/not working",
"visited friends or family for leisure","44.4","16.3","28.1","7.3","9.0","7.2","4.5","7.6","8.8","25.2","19.3","10.6","33.9","36.6","7.9","14.0","14.3","7.5","8.7","24.2","4.6","3.6",
"'special' shopping for items that you do not regularly buy","17.8","7.1","10.7","2.3","2.7","3.3","2.6","4.1","2.8","12.2","5.7","5.5","12.3","14.3","3.5","4.9","5.5","3.6","3.8","10.5","1.2","1.3",
"went out for a meal","36.2","14.6","21.6","2.6","5.1","7.6","5.0","7.7","8.3","23.6","12.6","8.0","28.2","31.9","4.3","13.4","11.2","6.8","4.8","20.6","2.1","2.4",
"went on a night out to a bar, pub and/or club","20.1","11.5","8.6","3.7","2.5","4.2","3.2","3.6","2.9","11.4","8.7","4.8","15.3","17.1","3.0","8.2","5.7","2.9","3.2","11.6","3.1","1.4",
"went out for entertainment – to a cinema, concert or theatre","13.0","7.1","5.9","4.8","2.0","2.3","1.6","1.5","0.8","6.5","6.5","3.8","9.2","11.1","1.8","6.6","3.3","1.8","1.2","7.6","3.6","1.0",
"undertook outdoor leisure activities such as walking, cycling, golf, etc.","29.5","13.2","16.2","5.4","3.1","5.2","2.6","6.6","6.5","19.0","10.5","5.9","23.6","24.9","4.6","11.8","7.5","4.6","5.5","15.3","4.2","1.5",
"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)","8.7","5.6","3.2","3.4","1.1","1.2","0.5","0.9","1.7","3.7","5.0","1.7","7.0","7.7","1.0","4.6","2.1","0.5","1.6","3.5","2.2","1.0",
"took part in sports, including exercise classes, going to the gym","8.3","5.9","2.4","3.2","1.4","1.6","0.6","0.8","0.7","3.8","4.5","2.7","5.6","7.7","0.6","4.1","2.2","1.2","0.8","4.7","2.2","0.3",
"watched live sporting event (not on tv)","12.4","9.1","3.3","2.9","2.5","2.0","1.9","2.0","1.0","6.1","6.2","3.7","8.7","9.8","2.5","4.4","3.8","2.3","1.8","7.6","2.5","0.7",
"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.","12.8","6.3","6.4","3.8","1.5","2.2","1.1","1.2","2.8","6.1","6.7","3.5","9.3","11.1","1.7","6.2","3.5","1.6","1.5","6.1","3.2","0.7",
"went to a special public event such as a festival, exhibition, etc.","6.3","2.3","3.9","1.5","1.0","0.9","1.0","1.0","0.8","2.9","3.3","1.8","4.5","4.5","1.7","2.2","1.8","0.9","1.3","3.6","0.9","1.0",
"went to a special event of a personal nature such as a wedding, graduation, christening, etc.","5.3","2.9","2.4","0.3","1.3","1.0","0.8","0.9","1.0","3.0","2.3","1.4","3.9","4.5","0.8","2.1","1.5","0.9","0.8","3.3","0.2","0.4",
"went on days out to a beauty/health centre/spa, etc.","1.9","0.8","1.1","0.9","0.5","0.3","0.1","0.1","0.1","1.5","0.5","0.7","1.2","1.3","0.6","0.7","0.3","0.3","0.7","1.1","0.2","0.6",
"went on general days out/ to explore an area","19.2","7.9","11.3","3.5","2.7","3.7","2.1","3.3","3.9","12.5","6.6","4.4","14.8","15.7","3.4","6.2","6.5","2.6","3.9","10.2","1.7","1.9",
"went on day trips/excursions for another leisure purpose not mentioned above","11.6","7.7","3.9","4.6","1.9","1.0","0.9","1.9","1.3","7.3","4.4","2.3","9.4","9.8","1.8","4.5","2.9","1.7","2.5","6.1","2.9","1.2",
