 ,,,,,,,,,,,,,,,,,,,,,,,
visited friends or family for leisure,45.1,21.6,23.4,8.2,11.0,5.7,5.7,6.8,7.7,24.8,20.3,13.8,31.2,37.1,8.0,14.4,12.7,8.6,9.4,25.3,4.5,6.1,
'special' shopping for items that you do not regularly buy,17.6,7.1,10.5,3.0,4.1,1.9,2.2,3.5,2.8,11.0,6.6,6.3,11.2,15.1,2.5,6.5,4.4,3.2,3.5,9.9,1.2,2.3,
went out for a meal,37.5,16.0,21.5,6.5,7.9,3.5,5.1,7.8,6.6,23.5,13.9,11.3,26.2,32.6,4.9,13.8,11.9,6.2,5.5,20.8,3.7,3.4,
"went on a night out to a bar, pub and/or club",18.7,11.7,7.0,4.1,4.7,1.8,2.3,3.3,2.5,10.7,8.0,5.5,13.2,15.6,3.2,6.5,6.4,3.5,2.2,11.9,2.3,0.9,
"went out for entertainment – to a cinema, concert or theatre",13.3,7.3,6.0,2.2,3.7,1.6,2.4,1.9,1.6,7.9,5.4,4.9,8.4,11.0,2.3,4.4,4.2,2.2,2.5,8.2,0.7,1.9,
"undertook outdoor leisure activities such as walking, cycling, golf, etc.",25.3,11.6,13.7,4.0,4.4,3.8,4.8,4.6,3.7,15.5,9.8,7.5,17.8,21.2,4.1,10.1,7.2,4.4,3.7,15.1,2.7,2.6,
"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",8.9,4.8,4.1,2.4,3.4,1.2,0.7,0.5,0.7,3.3,5.6,3.0,5.9,7.6,1.3,2.8,2.5,2.3,1.3,4.0,1.5,2.0,
"took part in sports, including exercise classes, going to the gym",8.6,5.7,2.9,3.0,3.0,1.1,0.6,0.4,0.5,5.4,3.3,3.7,4.9,7.6,1.0,3.6,2.1,1.8,1.2,5.8,1.7,0.5,
watched live sporting event (not on tv),11.2,7.3,4.0,1.4,3.4,2.3,1.4,1.4,1.3,7.3,3.9,5.2,6.0,9.5,1.7,3.0,2.9,2.8,2.6,7.3,0.6,1.6,
"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",13.7,6.0,7.7,2.6,4.1,1.9,1.8,1.6,1.5,8.7,5.0,5.8,7.9,11.4,2.3,4.6,4.6,2.9,1.7,8.5,1.9,1.7,
"went to a special public event such as a festival, exhibition, etc.",6.6,2.8,3.8,1.3,1.1,1.2,1.3,0.9,0.8,4.1,2.6,1.9,4.8,5.6,1.0,1.9,2.3,1.7,0.7,4.1,0.4,1.0,
"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",4.9,2.1,2.7,1.3,1.4,0.6,0.4,0.7,0.5,2.5,2.4,1.4,3.4,4.1,0.8,1.8,1.1,1.1,0.9,2.9,0.9,0.3,
"went on days out to a beauty/health centre/spa, etc.",2.6,0.4,2.1,0.6,1.2,0.2,0.1,0.3,0.2,1.8,0.7,1.3,1.3,2.3,0.3,1.2,0.5,0.5,0.4,1.6,0.5,0.1,
went on general days out/ to explore an area,25.3,11.7,13.6,5.9,5.1,3.4,3.3,4.3,3.2,14.5,10.8,7.6,17.7,20.5,4.8,8.0,8.1,5.8,3.3,14.4,3.5,3.0,
went on day trips/excursions for another leisure purpose not mentioned above,10.2,3.9,6.3,2.1,2.0,1.4,1.1,1.7,1.8,5.9,4.3,3.0,7.2,8.6,1.6,3.5,2.8,1.9,1.9,4.4,1.6,1.8,
