transport,total,male,female,16-24,25-34,35-44,45-54,55-64,65+,married,not married,yes,no,access to car (1+),no access to car (0),ab,c1,c2,de,employed/self-employed (full or part time),in full or part time education,unemployed/not working,
any car (net),103.4,47.0,56.4,14.9,18.5,17.9,20.0,16.1,16.2,72.3,31.2,28.0,75.5,97.2,6.2,35.9,32.0,22.7,12.8,68.9,7.4,28.3,
car - own/friends/family,101.1,45.1,56.0,13.8,17.6,17.6,20.0,15.9,16.0,71.2,29.9,26.8,74.3,95.3,5.8,35.6,31.7,21.0,12.7,66.6,7.3,28.3,
car - hired,2.3,1.9,0.5,1.1,0.8,0.2,0.0,0.1,0.1,1.0,1.3,1.2,1.2,1.9,0.4,0.3,0.2,1.7,0.1,2.2,0.0,0.1,
public transport (net),25.6,11.7,13.9,8.0,5.1,2.4,4.2,2.6,3.3,12.1,13.6,4.3,21.3,12.4,13.3,8.1,10.0,2.5,5.0,15.5,5.2,5.5,
train,12.8,5.9,6.9,3.9,3.5,1.3,2.1,1.5,0.4,6.1,6.7,2.9,9.9,7.5,5.3,5.0,5.1,0.8,1.9,9.6,1.8,1.8,
a regular bus\coach,12.8,5.8,7.0,4.0,1.7,1.1,2.0,1.1,2.9,5.9,6.9,1.4,11.4,4.9,7.9,3.2,5.0,1.6,3.1,5.9,3.4,3.7,
organised coach tour,2.2,1.3,0.9,0.3,0.3,0.2,0.6,0.2,0.6,1.5,0.7,0.3,1.9,2.2,0.0,0.4,1.2,0.3,0.4,1.4,0.3,0.5,
taxi,4.9,3.2,1.6,1.3,0.7,1.1,1.0,0.5,0.2,3.4,1.4,1.3,3.5,4.3,0.5,1.8,1.6,0.7,0.7,2.7,1.1,1.1,
walked\on foot,11.8,4.1,7.7,3.6,2.6,0.8,1.8,2.0,1.0,6.1,5.7,2.4,9.4,7.0,4.8,4.0,4.1,2.0,1.6,8.2,1.5,2.7,
bicycle,0.7,0.5,0.2,0.1,0.1,0.3,0.2,0.0,0.0,0.3,0.4,0.3,0.4,0.5,0.2,0.3,0.2,0.1,0.2,0.5,0.2,0.0,
minibus,0.7,0.4,0.3,0.3,0.0,0.1,0.2,0.0,0.2,0.4,0.3,0.1,0.6,0.7,0.1,0.3,0.4,0.1,0.0,0.2,0.3,0.3,
motor cycle,0.6,0.3,0.3,0.2,0.3,0.0,0.0,0.1,0.0,0.1,0.5,0.3,0.3,0.4,0.2,0.3,0.2,0.0,0.0,0.5,0.3,0.1,
tube,0.8,0.5,0.2,0.4,0.2,0.0,0.1,0.1,0.0,0.3,0.4,0.1,0.7,0.7,0.1,0.1,0.2,0.3,0.2,0.6,0.2,0.1,
tram,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,
motorised caravan\campervan,0.6,0.5,0.0,0.4,0.0,0.0,0.0,0.2,0.0,0.2,0.4,0.4,0.2,0.2,0.4,0.2,0.4,0.0,0.0,0.2,0.4,0.0,
plane,1.5,0.7,0.9,0.6,0.2,0.3,0.1,0.0,0.4,0.8,0.8,0.2,1.3,1.2,0.4,0.0,0.9,0.4,0.2,1.4,0.3,0.2,
boat\ship\ferry,0.5,0.1,0.4,0.3,0.0,0.0,0.0,0.1,0.0,0.1,0.4,0.0,0.5,0.4,0.1,0.1,0.1,0.0,0.4,0.2,0.0,0.3,
lorry\truck\van,0.2,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.2,0.0,0.1,0.0,0.1,0.0,0.2,0.0,0.0,
other,0.2,0.2,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,
