transport,total,male,female,16-24,25-34,35-44,45-54,55-64,65+,married,not married,yes,no,access to car (1+),no access to car (0),ab,c1,c2,de,employed/self-employed (full or part time),in full or part time education,unemployed/not working,
any car (net),93.6,41.4,52.2,12.3,15.5,13.2,17.1,15.3,20.2,62.9,30.6,25.0,68.6,85.6,8.0,31.6,29.6,17.2,15.1,51.2,7.2,36.6,
car - own/friends/family,91.6,40.0,51.6,11.5,15.3,13.0,16.8,15.1,19.9,62.1,29.5,24.4,67.2,83.9,7.7,30.6,29.2,16.8,15.0,49.6,7.0,36.3,
car - hired,2.0,1.3,0.6,0.9,0.2,0.2,0.3,0.2,0.3,0.8,1.2,0.6,1.3,1.7,0.3,1.1,0.4,0.4,0.1,1.6,0.3,0.3,
public transport (net),30.0,15.2,14.8,8.6,5.1,3.7,4.3,4.4,4.0,15.2,14.8,7.0,23.0,16.4,13.6,7.6,10.1,6.1,6.2,16.4,4.7,10.9,
train,15.2,8.3,7.0,5.1,2.8,2.1,2.4,1.7,1.0,7.5,7.7,4.5,10.7,9.9,5.4,4.8,5.2,2.7,2.5,9.7,3.4,3.6,
a regular bus\coach,14.7,6.9,7.8,3.5,2.3,1.5,1.8,2.7,3.0,7.7,7.1,2.5,12.3,6.5,8.2,2.8,4.9,3.4,3.7,6.7,1.2,7.4,
organised coach tour,1.6,1.1,0.6,0.3,0.1,0.6,0.4,0.0,0.2,0.6,1.0,0.2,1.4,0.9,0.7,0.2,0.6,0.5,0.2,0.8,0.3,0.5,
taxi,3.2,1.3,1.9,0.3,1.1,0.6,0.6,0.0,0.6,1.5,1.6,0.9,2.2,2.7,0.4,0.5,1.4,0.9,0.3,1.7,0.4,1.1,
walked\on foot,8.5,4.0,4.5,2.2,1.5,1.5,1.7,0.5,1.1,4.0,4.5,1.6,6.9,5.1,3.4,2.6,2.7,1.2,2.0,5.3,1.2,2.4,
bicycle,1.7,1.3,0.4,0.3,0.6,0.3,0.1,0.4,0.0,0.8,1.0,0.3,1.4,0.8,1.0,0.4,0.6,0.5,0.3,1.2,0.3,0.3,
minibus,0.2,0.1,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.0,0.1,0.1,0.0,0.0,0.2,0.1,0.0,
motor cycle,0.5,0.4,0.1,0.4,0.0,0.0,0.1,0.0,0.0,0.0,0.5,0.3,0.2,0.5,0.0,0.5,0.0,0.0,0.0,0.2,0.3,0.0,
tube,0.2,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.2,0.1,0.1,0.2,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.1,
tram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
motorised caravan\campervan,0.5,0.2,0.2,0.0,0.1,0.1,0.1,0.0,0.1,0.2,0.2,0.1,0.3,0.5,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,
plane,0.3,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.0,0.2,0.0,0.0,0.1,0.0,0.2,
boat\ship\ferry,0.9,0.2,0.7,0.0,0.0,0.1,0.1,0.4,0.3,0.6,0.3,0.1,0.8,0.8,0.1,0.4,0.1,0.0,0.5,0.6,0.0,0.3,
lorry\truck\van,0.4,0.2,0.2,0.2,0.0,0.0,0.1,0.0,0.0,0.1,0.3,0.2,0.2,0.4,0.0,0.3,0.0,0.0,0.0,0.0,0.2,0.1,
other,0.9,0.4,0.4,0.1,0.1,0.1,0.1,0.3,0.2,0.4,0.4,0.1,0.7,0.7,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.4,
